id_zoom,pourcentage,type,nbr_point_t
0,0.2,out,25
1,0.23333333333333334,out,30
2,0.21212121212121213,out,33
3,0.3333333333333333,in,21
4,0.21052631578947367,out,57
5,0.3076923076923077,in,26
6,0.28,out,25
7,0.52,in,25
8,0.11764705882352941,in,17
9,0.14285714285714285,in,21
10,0.8135593220338984,out,59
11,0.25925925925925924,out,27
12,0.85,out,20
13,0.08,out,75
14,0.5,out,8
15,0.14814814814814814,in,54
21,1.0,out,4
22,1.0,in,22
23,0.21428571428571427,in,14
24,0.5909090909090909,in,22
25,0.7647058823529411,in,17
26,0.5454545454545454,in,11
27,0.6428571428571429,in,14
28,0.6956521739130435,in,23
29,0.5454545454545454,in,22
30,0.2857142857142857,in,14
31,0.8181818181818182,in,11
32,0.2727272727272727,out,11
33,1.0,in,14
34,0.6,in,10
35,0.23076923076923078,in,13
36,0.2727272727272727,in,11
37,0.07547169811320754,in,53
38,0.41379310344827586,in,29
39,0.3333333333333333,in,21
41,0.2857142857142857,in,14
42,0.625,out,32
43,0.5238095238095238,in,21
44,0.42105263157894735,in,19
45,0.34782608695652173,in,23
46,1.0,in,23
47,0.3888888888888889,in,18
48,0.5,out,14
49,0.4444444444444444,in,18
50,0.26666666666666666,in,15
51,0.29411764705882354,in,17
52,0.4,in,15
