id_zoom,pourcentage,type,nbr_point_t
0,0.05555555555555555,out,54
1,0.058823529411764705,out,34
2,0.125,out,24
3,0.07692307692307693,out,26
4,0.04,out,75
5,0.17391304347826086,out,23
6,0.08108108108108109,out,37
7,0.6153846153846154,out,13
8,0.2222222222222222,out,9
10,1.0,in,2
12,0.25,in,12
13,0.13725490196078433,in,51
14,0.6428571428571429,in,14
15,0.6666666666666666,in,9
16,0.1724137931034483,out,29
17,0.25925925925925924,in,27
18,0.2,out,25
19,1.0,in,9
20,0.5555555555555556,in,9
21,1.0,in,23
22,1.0,in,15
23,1.0,in,9
24,0.9285714285714286,in,14
25,0.16,in,25
26,0.14285714285714285,in,28
27,0.8636363636363636,in,44
28,0.625,out,8
29,0.3076923076923077,out,13
30,0.4,in,10
31,0.2857142857142857,in,14
32,0.4,out,5
33,1.0,in,9
34,0.38461538461538464,in,13
35,0.5555555555555556,in,9
36,0.8,in,45
37,0.16,in,25
38,0.6363636363636364,in,11
39,0.3333333333333333,in,33
40,0.8333333333333334,out,6
41,0.7777777777777778,in,9
42,0.38095238095238093,in,42
43,0.08333333333333333,out,36
44,0.11290322580645161,in,62
45,0.375,in,8
46,0.5,in,10
47,0.5,in,8
