id_zoom,pourcentage,type,nbr_point_t
0,0.07142857142857142,out,28
1,0.4,in,10
2,0.2727272727272727,out,11
3,0.6923076923076923,out,13
4,0.5454545454545454,in,11
5,0.9508196721311475,out,61
6,0.16393442622950818,out,61
7,0.0821917808219178,out,73
8,1.0,out,8
9,0.9333333333333333,in,15
10,0.10526315789473684,in,38
11,0.0625,in,32
12,1.0,in,8
13,0.4,in,10
14,0.1875,out,32
15,0.1,in,30
16,0.45,in,20
17,0.3,in,10
18,0.42857142857142855,in,7
19,0.18181818181818182,in,11
20,0.125,in,8
21,0.25806451612903225,in,31
22,0.6875,in,16
23,1.0,in,18
24,0.16666666666666666,out,12
25,0.2,in,20
26,0.4,in,10
27,0.4166666666666667,in,12
28,0.8571428571428571,in,14
29,0.5,out,22
30,1.0,in,14
31,0.3076923076923077,in,13
32,0.06818181818181818,in,44
33,0.7391304347826086,in,23
34,0.35,in,20
35,0.4166666666666667,in,12
36,1.0,in,2
37,0.047619047619047616,in,84
38,0.4,in,5
