id_zoom,pourcentage,type,nbr_point_t
0,0.19444444444444445,out,36
1,0.15789473684210525,out,19
2,0.125,in,56
3,0.1875,out,16
4,0.125,out,40
5,1.0,out,7
6,0.7307692307692307,out,78
7,0.4782608695652174,out,23
8,0.7692307692307693,out,13
9,0.05172413793103448,out,58
10,0.2857142857142857,out,21
11,0.23809523809523808,out,21
12,0.30303030303030304,in,33
13,0.5238095238095238,in,21
14,0.03125,in,96
16,0.3,in,20
17,0.125,in,56
18,0.28,out,50
19,0.3103448275862069,in,29
20,0.30434782608695654,in,23
21,0.4444444444444444,in,18
22,0.3125,in,48
23,0.5384615384615384,in,13
24,0.08333333333333333,in,84
25,0.06451612903225806,in,62
26,0.12359550561797752,in,89
27,0.23529411764705882,in,34
28,0.18518518518518517,in,27
29,0.375,in,16
30,1.0,in,21
31,0.34146341463414637,in,41
32,0.11290322580645161,in,62
33,0.45454545454545453,out,11
34,0.4,in,20
