id_zoom,pourcentage,type,nbr_point_t
0,0.3076923076923077,out,13
1,0.10714285714285714,out,28
2,0.5,out,12
3,0.4444444444444444,out,9
4,0.14285714285714285,in,14
5,0.2857142857142857,out,7
6,0.5384615384615384,out,13
7,0.3333333333333333,out,9
8,0.25,out,12
9,0.7142857142857143,out,7
10,0.6666666666666666,out,12
11,0.25,out,12
12,0.38461538461538464,in,13
13,0.3,out,10
14,0.4,out,10
15,0.4,out,10
16,0.46153846153846156,out,13
17,0.5833333333333334,out,12
18,0.625,out,8
19,0.3333333333333333,out,3
20,0.35714285714285715,out,14
21,0.3,out,10
22,0.18181818181818182,out,11
23,0.8333333333333334,out,12
24,0.3333333333333333,out,6
25,0.047619047619047616,in,63
26,0.375,out,8
27,0.18181818181818182,in,33
28,0.5454545454545454,in,11
29,0.25,in,8
30,0.15384615384615385,in,26
31,0.12195121951219512,in,41
32,0.041666666666666664,in,24
33,0.22727272727272727,in,22
34,0.18518518518518517,in,27
35,0.3076923076923077,out,13
36,0.4,out,10
37,0.125,out,8
38,0.3333333333333333,in,12
39,0.35714285714285715,in,14
40,0.45454545454545453,in,11
41,0.5,in,8
42,0.11538461538461539,out,26
43,0.6666666666666666,out,9
44,0.8461538461538461,in,13
45,0.5833333333333334,in,12
46,0.02564102564102564,in,39
47,0.6923076923076923,in,13
48,0.6666666666666666,in,9
49,1.0,out,4
50,0.06976744186046512,in,43
51,0.4444444444444444,in,9
52,0.30434782608695654,in,23
53,0.5833333333333334,in,12
54,0.6666666666666666,in,9
55,0.23076923076923078,in,26
56,0.36363636363636365,out,11
57,1.0,in,8
58,0.2222222222222222,in,18
