id_zoom,pourcentage,type,nbr_point_t
0,0.25,out,20
1,0.375,in,8
2,0.125,out,8
3,0.23529411764705882,in,17
4,1.0,out,3
5,0.25,out,8
6,0.18181818181818182,out,11
7,0.6666666666666666,out,3
8,0.23076923076923078,in,13
9,0.1111111111111111,out,9
10,0.2727272727272727,out,11
12,0.42857142857142855,out,7
13,0.38461538461538464,out,13
14,1.0,in,10
15,0.3076923076923077,in,13
16,0.23076923076923078,in,13
17,0.04,out,25
18,0.2727272727272727,in,22
19,1.0,in,8
20,0.35714285714285715,in,14
21,0.3333333333333333,in,3
22,1.0,in,8
23,0.6666666666666666,out,3
24,0.4,in,10
25,0.21052631578947367,in,19
26,0.7058823529411765,in,17
27,0.5833333333333334,in,12
28,0.88,in,25
29,0.5,in,8
30,0.06896551724137931,in,29
31,0.25,in,8
32,0.375,out,16
33,0.7272727272727273,in,11
34,0.7857142857142857,in,14
35,0.20833333333333334,in,24
36,0.2857142857142857,in,7
37,0.4444444444444444,in,9
38,0.06976744186046512,in,43
39,0.3125,in,16
40,0.42857142857142855,in,14
41,0.375,out,8
42,0.1935483870967742,out,31
43,1.0,in,10
44,0.875,in,8
45,0.4444444444444444,in,9
46,0.25,in,16
47,0.6153846153846154,out,13
48,0.1,in,10
49,0.17647058823529413,in,17
50,0.23529411764705882,out,17
51,0.25,out,8
52,0.45454545454545453,in,11
53,0.7692307692307693,in,13
54,0.75,out,8
55,0.5,in,12
