id_zoom,pourcentage,type,nbr_point_t
0,0.2222222222222222,out,18
1,0.2222222222222222,out,9
2,0.38461538461538464,out,13
3,0.18181818181818182,out,11
4,0.4,out,10
5,0.19230769230769232,out,26
6,0.3333333333333333,out,9
7,0.13043478260869565,out,23
8,0.38461538461538464,out,13
9,0.42857142857142855,out,14
10,0.5454545454545454,in,11
11,1.0,in,23
12,0.4,in,10
13,1.0,in,10
14,0.8461538461538461,in,13
15,0.38461538461538464,out,13
16,0.375,out,8
17,1.0,out,4
18,1.0,in,24
19,0.35714285714285715,out,14
20,0.6666666666666666,in,15
21,1.0,in,15
22,1.0,in,4
23,1.0,in,10
26,0.5,in,10
28,1.0,in,5
29,1.0,in,4
30,1.0,in,19
31,0.5,out,8
32,0.375,in,16
33,0.3333333333333333,out,18
34,0.9545454545454546,in,22
35,0.5263157894736842,in,19
36,0.9375,in,16
37,0.8947368421052632,in,19
38,1.0,in,13
39,0.21621621621621623,in,37
40,1.0,in,29
41,0.8,in,10
42,0.625,in,8
43,1.0,in,41
44,1.0,in,13
45,1.0,out,4
46,1.0,in,5
47,0.5,in,8
48,0.5384615384615384,in,13
49,0.625,in,8
50,1.0,in,16
51,0.11764705882352941,out,17
52,0.5,in,10
53,0.2727272727272727,out,11
54,0.23076923076923078,in,13
55,0.29411764705882354,in,17
