id_zoom,pourcentage,type,nbr_point_t
0,0.5384615384615384,out,26
1,0.2,in,10
2,0.5,out,10
3,0.3333333333333333,out,18
4,0.15384615384615385,out,13
5,0.6956521739130435,out,23
6,0.625,out,8
7,0.5,out,6
8,0.3333333333333333,out,12
9,0.35714285714285715,out,14
10,0.5,out,10
11,0.4375,out,16
12,0.2,out,5
13,0.5555555555555556,out,18
14,0.4166666666666667,in,12
15,0.2857142857142857,out,14
16,0.5555555555555556,out,9
17,0.42857142857142855,out,7
18,0.25,out,4
19,1.0,out,9
20,1.0,in,25
21,0.125,in,8
22,0.2222222222222222,out,9
23,0.9117647058823529,in,34
25,1.0,in,3
26,0.6818181818181818,in,22
27,0.3333333333333333,in,12
28,0.8333333333333334,out,12
29,0.16129032258064516,in,31
30,1.0,in,3
31,0.3181818181818182,in,22
32,0.896551724137931,in,29
33,1.0,in,8
34,0.09090909090909091,in,11
35,0.45454545454545453,out,11
36,0.375,in,8
37,0.7096774193548387,in,31
38,0.3076923076923077,in,13
39,0.06493506493506493,in,77
40,1.0,in,5
41,0.625,in,8
42,0.42857142857142855,in,7
43,0.3333333333333333,out,3
44,0.4444444444444444,in,9
45,0.3333333333333333,in,6
46,0.8333333333333334,in,12
47,0.3333333333333333,in,18
48,0.875,in,8
49,0.5,out,12
50,0.35714285714285715,out,14
51,0.8974358974358975,in,39
52,0.3333333333333333,in,27
