id_zoom,pourcentage,type,nbr_point_t
0,0.35714285714285715,out,14
1,0.5625,out,16
2,0.4,out,15
3,0.2222222222222222,out,9
4,1.0,out,5
5,0.4166666666666667,out,12
6,0.2857142857142857,out,14
7,0.6,out,15
8,0.6,out,10
9,0.6363636363636364,out,11
10,0.5333333333333333,out,15
11,0.35294117647058826,out,17
12,0.36363636363636365,out,11
13,0.25,in,8
14,0.11764705882352941,in,17
15,1.0,in,40
16,0.4,in,15
17,0.35714285714285715,in,14
18,0.75,in,16
19,1.0,in,11
20,0.1518987341772152,in,79
21,0.3333333333333333,out,9
22,0.2727272727272727,in,11
23,0.4166666666666667,out,12
24,0.5294117647058824,in,34
25,0.8787878787878788,out,33
26,1.0,in,40
27,1.0,in,11
28,0.5,in,12
29,1.0,in,11
30,0.46153846153846156,out,13
31,0.6363636363636364,in,11
32,0.11764705882352941,in,34
33,1.0,in,15
34,1.0,in,11
35,0.4666666666666667,in,15
36,0.25806451612903225,in,31
37,0.2647058823529412,out,34
38,0.5294117647058824,in,17
39,0.8333333333333334,in,12
40,0.29411764705882354,in,17
41,0.07042253521126761,in,71
42,0.4666666666666667,in,15
