id_zoom,pourcentage,type,nbr_point_t
0,0.46153846153846156,out,13
1,0.45,out,20
2,0.3333333333333333,out,18
3,0.1,out,50
4,0.2,out,45
5,0.35714285714285715,out,14
6,0.3333333333333333,out,21
7,1.0,out,7
8,0.044444444444444446,out,45
9,0.5555555555555556,out,9
10,0.7142857142857143,out,14
11,0.25,out,4
12,0.6470588235294118,in,17
13,0.075,in,40
14,0.7222222222222222,in,18
15,0.46153846153846156,in,13
16,0.5263157894736842,in,19
17,0.21052631578947367,in,19
18,1.0,in,18
19,0.6470588235294118,in,17
20,0.42857142857142855,out,14
21,0.2692307692307692,out,26
22,0.23076923076923078,in,13
23,0.6,in,15
24,0.8947368421052632,in,19
25,0.5333333333333333,in,15
26,0.13793103448275862,in,58
27,0.25,out,28
28,0.375,out,16
29,0.41304347826086957,in,46
30,0.15384615384615385,in,26
31,0.9230769230769231,in,26
32,0.3181818181818182,in,22
33,0.38461538461538464,in,13
34,1.0,in,14
35,0.5384615384615384,in,13
36,0.5263157894736842,in,38
37,0.5714285714285714,in,14
38,0.3870967741935484,in,31
39,0.3333333333333333,in,18
40,0.5555555555555556,in,18
41,0.6,out,10
42,0.3888888888888889,in,18
43,0.5,out,6
44,0.5294117647058824,in,17
45,1.0,in,19
46,0.9,in,10
47,1.0,in,13
48,0.75,in,20
49,0.4782608695652174,in,23
50,0.16666666666666666,out,18
51,0.23529411764705882,in,17
52,1.0,in,14
53,1.0,in,18
54,0.5,in,18
