id_zoom,pourcentage,type,nbr_point_t
0,0.2413793103448276,out,29
1,0.3333333333333333,in,12
2,0.3,in,10
3,0.3,out,40
4,0.12,in,25
5,0.5384615384615384,in,13
6,0.16666666666666666,out,18
7,0.3333333333333333,out,9
8,0.6,out,5
9,0.6666666666666666,in,15
10,0.4444444444444444,out,9
11,0.2727272727272727,out,11
12,1.0,out,2
14,1.0,in,3
15,1.0,in,3
16,0.03571428571428571,out,28
17,0.7142857142857143,out,7
18,0.5,out,6
19,0.14285714285714285,out,7
20,0.2,out,5
21,0.12,in,50
22,0.057692307692307696,in,52
24,0.3333333333333333,in,3
25,0.041666666666666664,in,24
26,0.15789473684210525,in,19
27,1.0,out,2
28,1.0,in,4
29,1.0,out,2
30,0.18181818181818182,out,22
31,0.42857142857142855,out,7
32,0.058823529411764705,in,17
34,0.3333333333333333,in,3
37,0.5,in,4
42,0.1111111111111111,in,18
43,0.3333333333333333,in,6
44,0.5,in,10
45,0.5,in,2
46,0.25,out,12
48,1.0,out,2
49,0.2222222222222222,in,18
50,1.0,in,3
51,0.2857142857142857,in,7
53,0.25,in,4
55,0.42857142857142855,out,7
56,0.6666666666666666,in,3
58,0.2857142857142857,in,7
59,0.25,out,4
60,0.42857142857142855,in,7
61,0.3,in,10
62,0.4444444444444444,out,9
63,0.5,out,6
64,0.25,in,4
67,0.4375,in,16
68,0.4,in,5
69,0.8571428571428571,in,7
71,0.3333333333333333,out,6
72,0.375,in,8
73,1.0,in,2
74,0.5714285714285714,in,7
