id_zoom,pourcentage,type,nbr_point_t
0,0.2777777777777778,out,18
1,0.4,out,5
2,0.7333333333333333,out,15
3,0.4666666666666667,out,15
4,0.25,out,12
5,0.2,out,10
6,0.6153846153846154,out,13
7,0.2,out,25
8,0.21621621621621623,out,37
9,0.3333333333333333,out,15
10,0.4,out,15
11,0.375,out,16
12,0.75,in,20
13,0.25,in,12
14,1.0,in,7
17,0.6,in,10
18,0.17857142857142858,in,28
19,0.8333333333333334,in,12
20,0.15,in,20
21,0.26666666666666666,in,15
22,0.5,out,12
23,0.16666666666666666,in,30
24,1.0,in,20
25,0.16666666666666666,out,12
26,0.21052631578947367,in,19
27,0.7777777777777778,in,18
28,1.0,in,14
29,1.0,in,15
30,0.21739130434782608,in,23
31,0.7142857142857143,in,14
32,0.2727272727272727,in,22
33,0.3125,in,16
34,0.375,in,8
35,0.3333333333333333,in,9
36,0.6428571428571429,in,14
37,0.65,in,20
