id_zoom,pourcentage,type,nbr_point_t
0,0.35294117647058826,out,17
1,0.25,out,16
2,0.3333333333333333,out,33
3,0.38095238095238093,in,21
4,0.23809523809523808,in,21
5,0.3125,in,16
6,0.19047619047619047,out,21
7,0.2608695652173913,out,23
8,0.35294117647058826,out,17
9,0.14285714285714285,out,7
10,0.42857142857142855,out,7
11,0.4,out,15
12,0.2,out,10
13,0.9166666666666666,out,12
15,0.5454545454545454,out,11
16,0.4166666666666667,out,12
17,0.4,out,5
18,0.23529411764705882,out,17
19,0.17647058823529413,out,17
20,0.15625,in,32
21,0.13333333333333333,in,15
22,0.10526315789473684,in,19
23,0.2916666666666667,in,24
24,0.1,in,20
25,0.125,in,16
26,0.10294117647058823,in,68
27,0.16666666666666666,out,42
28,0.4,in,20
29,0.21052631578947367,in,19
30,0.3,in,20
31,0.2,in,20
32,0.23809523809523808,in,21
33,0.3684210526315789,in,19
34,0.3125,in,16
35,0.32,in,25
36,0.4117647058823529,out,17
37,0.47619047619047616,in,21
38,0.18518518518518517,in,54
39,0.19047619047619047,in,21
40,0.2857142857142857,in,28
41,0.38095238095238093,out,21
42,0.7647058823529411,out,17
43,0.23529411764705882,in,17
44,0.4666666666666667,in,15
45,0.15384615384615385,in,26
46,0.3333333333333333,in,12
47,0.043478260869565216,in,23
48,0.0898876404494382,in,89
49,0.3333333333333333,in,15
50,0.4166666666666667,out,12
51,0.4666666666666667,in,15
