id_fixation,x,y
42,565331.9528864113,6527684.022933927
42,565331.8067145621,6527683.974081688
42,565331.574484236,6527683.954729242
42,565331.5534138042,6527684.036620769
42,565332.2583279458,6527683.915480744
42,565332.1623151136,6527683.697880497
43,565292.1229823045,6527694.03920144
43,565291.9894299356,6527694.121890259
43,565291.9079727853,6527694.205883737
43,565291.9573573216,6527694.347910389
43,565292.3400191411,6527694.4480067445
43,565292.6743442512,6527694.244141661
43,565292.8486251952,6527693.583947852
44,565291.647382797,6527689.676348512
44,565291.4283869799,6527689.050655693
44,565291.7147853997,6527687.772754062
44,565291.8496817206,6527687.595876096
45,565312.1865663225,6527683.918911515
45,565312.1370223343,6527683.868778775
45,565312.199732495,6527683.830255088
45,565312.3656991606,6527683.734108951
45,565312.1999602835,6527683.851637003
45,565311.8574575679,6527684.1841922235
45,565312.1102116336,6527684.416651089
46,565318.3751913059,6527684.560465608
46,565318.4865115221,6527684.388335152
46,565318.3517290953,6527684.352867749
46,565318.5789708544,6527684.413135757
46,565319.0896270047,6527684.375155677
46,565319.5589851087,6527684.415104826
46,565320.3709370437,6527684.381147445
47,565321.5300841362,6527686.820980998
47,565321.9356159162,6527686.33383574
47,565322.8128975789,6527685.930551076
47,565323.218862157,6527685.822385163
47,565323.0138297719,6527685.408771948
47,565322.694174238,6527684.986014038
47,565322.376614358,6527684.516530001
48,565323.3689975253,6527690.325343995
48,565322.5458839562,6527689.811743148
48,565321.0653273589,6527689.720223719
48,565319.4098747885,6527689.734780333
48,565317.5867015815,6527690.431371718
49,565272.128782649,6527670.011497864
49,565271.8385801619,6527670.399271578
49,565271.3250310983,6527670.479568521
49,565270.8545796097,6527670.292386162
50,565300.161249513,6527672.909556727
50,565299.7323010803,6527672.253446019
50,565299.136474828,6527672.059559163
50,565298.8141769482,6527671.916517775
50,565298.9987083727,6527671.406927546
51,565304.1113290483,6527676.717627481
51,565304.6239441793,6527676.4117090525
51,565305.3906573277,6527675.8344456665
51,565305.5630248489,6527675.241212285
51,565306.1193298048,6527674.555855466
51,565306.7406000271,6527673.79056411
52,565343.8582498223,6527705.240715619
52,565343.544835692,6527705.375482085
52,565343.7455628753,6527705.3129671635
52,565343.4895058771,6527705.183890462
52,565342.528580295,6527705.0498125665
53,565335.9940129906,6527689.603867444
53,565335.2047487855,6527689.4264941905
