center,time,id_pan
"(232285.87005206704, 6347467.76874509)",1652443149039,26
"(232300.2019948705, 6347461.797102255)",1652443149140,26
"(232300.2019948705, 6347461.797102255)",1652443149244,26
"(232300.2019948705, 6347461.797102255)",1652443149339,26
"(232300.2019948705, 6347461.797102255)",1652443149439,26
"(232327.8151837849, 6347620.977351919)",1652443153539,27
"(232324.23219808404, 6347619.185859068)",1652443153644,27
"(232324.23219808404, 6347619.185859068)",1652443153740,27
"(232324.23219808404, 6347619.185859068)",1652443153849,27
"(232324.23219808404, 6347619.185859068)",1652443153943,27
"(232324.23219808404, 6347619.185859068)",1652443154039,27
"(232298.5541338945, 6347671.139151731)",1652443154138,27
"(232256.75263405108, 6347743.396030032)",1652443154238,27
"(232256.75263405108, 6347743.993194316)",1652443154349,27
"(232256.75263405108, 6347743.993194316)",1652443154445,27
"(232256.75263405108, 6347743.993194316)",1652443154539,27
"(232256.75263405108, 6347743.993194316)",1652443154651,27
"(232242.42069124762, 6347754.144987135)",1652443154740,27
"(232227.49158416066, 6347764.296779955)",1652443154840,27
"(232226.29725559373, 6347765.491108522)",1652443154939,27
"(232220.32561275893, 6347788.780515579)",1652443155039,27
"(537006.7701648237, 5739110.015564933)",1652443166339,28
"(536844.3414797179, 5738756.494309113)",1652443166439,28
"(536834.7868511822, 5738727.830423506)",1652443166539,28
"(536834.7868511822, 5738727.830423506)",1652443166638,28
"(536834.7868511822, 5738727.830423506)",1652443166739,28
"(536649.257621078, 5738154.569236152)",1652443168038,29
"(537083.99321945, 5738197.565064563)",1652443168139,29
"(536888.1233344692, 5738293.11134992)",1652443169239,30
"(536873.7913916657, 5738297.888664188)",1652443169346,30
"(536873.7913916657, 5738297.888664188)",1652443169440,30
"(536873.7913916657, 5738297.888664188)",1652443169550,30
"(536711.3627065598, 5737949.144722635)",1652443171738,31
"(536625.3710497391, 5737428.417467441)",1652443171838,31
"(536534.6020786505, 5737265.988782333)",1652443173638,32
"(536009.0975091899, 5737213.438325386)",1652443173739,32
"(535923.1058523691, 5737213.438325386)",1652443173839,32
"(535677.4671807467, 5737201.951175324)",1652443176439,33
"(535586.6982096581, 5736979.806061869)",1652443176538,33
"(535581.9208953903, 5736953.530833396)",1652443176652,33
"(535581.9208953903, 5736953.530833396)",1652443176745,33
"(535581.9208953903, 5736953.530833396)",1652443176839,33
"(535581.9208953903, 5736953.530833396)",1652443176947,33
"(535581.9208953903, 5736953.530833396)",1652443177041,33
"(535581.9208953903, 5736953.530833396)",1652443177152,33
"(535581.9208953903, 5736953.530833396)",1652443177246,33
"(535581.9208953903, 5736953.530833396)",1652443177353,33
"(535598.6414953277, 5736877.09380511)",1652443177444,33
"(535605.8074667294, 5736843.652605235)",1652443177538,33
"(535605.8074667294, 5736843.652605235)",1652443177650,33
"(535605.8074667294, 5736843.652605235)",1652443177739,33
"(535605.8074667294, 5736843.652605235)",1652443177839,33
"(535605.8074667294, 5736843.652605235)",1652443177938,33
"(535051.4080572159, 5736533.661254796)",1652443182639,34
"(534959.4447575603, 5736445.280940842)",1652443182739,34
"(534945.1128147567, 5736428.560340904)",1652443182839,34
"(534945.1128147567, 5736428.560340904)",1652443182941,34
"(534945.1128147567, 5736428.560340904)",1652443183039,34
"(534945.1128147567, 5736428.560340904)",1652443183138,34
"(534945.1128147567, 5736428.560340904)",1652443183239,34
"(534945.1128147567, 5736428.560340904)",1652443183338,34
"(535033.4931287115, 5736643.539482955)",1652443183439,34
"(535047.825071515, 5736681.757997097)",1652443183538,34
"(535047.825071515, 5736681.757997097)",1652443183638,34
"(535047.825071515, 5736681.757997097)",1652443183739,34
