center,time,id_pan
"(260291.53807434713, 6255257.701443018)",1655819969815,0
"(260335.72823132447, 6255249.341143049)",1655819969909,0
"(260310.6473314184, 6255252.92412875)",1655819970012,0
"(260308.2586742845, 6255195.596357536)",1655819970114,0
"(260395.4446596722, 6255121.547986383)",1655819970219,0
"(260428.88585954698, 6255104.827386444)",1655819970313,0
"(260428.88585954698, 6255104.827386444)",1655819970414,0
"(260428.88585954698, 6255104.827386444)",1655819970509,0
"(260436.05183094868, 6255103.633057877)",1655819970617,0
"(260727.4680012859, 6255080.940815105)",1655819970714,0
"(260746.57725835725, 6255104.8273864435)",1655819972417,1
"(260622.3670873938, 6255207.539643202)",1655819972513,1
"(260593.70320178685, 6255221.871586006)",1655819972610,1
"(260593.70320178685, 6255221.871586006)",1655819972710,1
"(260593.70320178685, 6255221.871586006)",1655819972818,1
"(260593.70320178685, 6255221.871586006)",1655819972911,1
"(260593.70320178685, 6255221.871586006)",1655819973019,1
"(260593.70320178685, 6255221.871586006)",1655819973114,1
"(260593.70320178685, 6255221.871586006)",1655819973224,1
"(260593.70320178685, 6255221.871586006)",1655819973316,1
"(260593.70320178685, 6255221.871586006)",1655819973411,1
"(260591.31454465297, 6255221.871586006)",1655819973517,1
"(260526.82080203737, 6255215.899943171)",1655819973612,1
"(260391.86167397126, 6255195.596357532)",1655819973712,1
"(260303.4813600166, 6255171.709786192)",1655819973812,1
"(260281.9834458114, 6255163.3494862225)",1655819973910,1
"(260268.84583157487, 6255156.18351482)",1655819974012,1
"(260231.82164599927, 6255138.268586315)",1655819974112,1
"(260184.04850332107, 6255109.604700707)",1655819974212,1
"(260161.35626054893, 6255092.884100769)",1655819974312,1
"(259509.04860004323, 6254991.954405934)",1655819987709,2
"(259743.13699916657, 6254538.10955049)",1655819987810,2
"(259991.55734109343, 6254246.693380152)",1655819987910,2
"(260268.64156862715, 6253979.163781155)",1655819988010,2
"(260311.6373970376, 6253917.058695672)",1655819988110,2
"(260311.6373970376, 6253917.058695672)",1655819988209,2
"(260311.6373970376, 6253917.058695672)",1655819988309,2
"(260263.86425435933, 6253826.289724584)",1655819988410,2
"(259724.0277420953, 6253095.360641607)",1655819988509,2
"(259251.0736295808, 6252789.612528466)",1655819990509,3
"(258415.04363271166, 6252244.998701934)",1655819990614,3
"(258582.24963208547, 6252426.5366441095)",1655819992021,4
"(260263.86425435933, 6253826.289724581)",1655819992116,4
"(260493.1753392149, 6254447.340579398)",1655819994122,5
"(260388.07442532276, 6254681.428978521)",1655819994216,5
"(259570.0137804583, 6246727.37279692)",1655820009010,6
"(259514.4775020949, 6246819.933260858)",1655820009112,6
"(259491.7852593228, 6246847.999982183)",1655820009211,6
"(259448.78943091238, 6246888.009989178)",1655820010515,7
"(259373.5467311942, 6246950.115074659)",1655820010610,7
"(259240.3790959786, 6247079.699724173)",1655820011716,8
"(259228.43581030902, 6247085.671367008)",1655820011810,8
"(259228.43581030902, 6247085.671367008)",1655820011910,8
"(259228.43581030902, 6247085.671367008)",1655820012011,8
"(259179.4683390639, 6247167.482873844)",1655820012117,8
"(259163.94206769345, 6247184.800638066)",1655820012210,8
"(259163.94206769345, 6247184.800638066)",1655820012320,8
"(259163.94206769345, 6247184.800638066)",1655820012412,8
"(259163.94206769345, 6247184.800638066)",1655820012522,8
"(259163.94206769345, 6247184.800638066)",1655820012612,8
"(259163.94206769345, 6247184.800638066)",1655820012711,8
"(259163.94206769345, 6247184.800638066)",1655820012811,8
"(259163.94206769345, 6247184.800638066)",1655820012911,8
"(259095.865339377, 6247259.4461735)",1655820013012,8
"(258954.93456847616, 6247369.32440166)",1655820013122,8
"(258920.89620431795, 6247418.291872906)",1655820014521,9
"(258856.99962598586, 6247519.809801096)",1655820014612,9
"(258838.48753319806, 6247544.293536719)",1655820014711,9
"(258838.48753319806, 6247544.293536719)",1655820014823,9
"(258838.48753319806, 6247544.293536719)",1655820014917,9
"(258838.48753319806, 6247544.293536719)",1655820015011,9
"(258838.48753319806, 6247544.293536719)",1655820015120,9
"(258838.48753319806, 6247544.293536719)",1655820015211,9
"(258838.48753319806, 6247544.293536719)",1655820015310,9
"(258846.84783316674, 6247553.848165255)",1655820015411,9
"(258996.13890403626, 6247691.793114739)",1655820015512,9
"(259068.99294662054, 6247746.135064536)",1655820015612,9
"(259076.75608230574, 6247750.912378804)",1655820015710,9
"(259077.3532465892, 6247750.912378804)",1655820015811,9
"(259077.3532465892, 6247750.912378804)",1655820015922,9
"(259077.3532465892, 6247750.912378804)",1655820016018,9
