center,time,id_pan
"(260316.3633119865, 6255353.411374766)",1652360665222,0
"(260324.72361195518, 6255383.269588942)",1652360665322,0
"(260321.1406262543, 6255416.710788818)",1652360665423,0
"(260318.7519691204, 6255422.682431653)",1652360665523,0
"(260318.7519691204, 6255422.682431653)",1652360665633,0
"(260318.7519691204, 6255422.682431653)",1652360665728,0
"(260356.970483263, 6255414.322131684)",1652360665822,0
"(260380.85705460206, 6255405.961831715)",1652360665922,0
"(260398.7719831064, 6255401.184517447)",1652360666022,0
"(260403.5492973742, 6255388.04690321)",1652360667222,1
"(260401.1606402403, 6255371.326303272)",1652360667322,1
"(260376.07974033424, 6255356.994360467)",1652360667422,1
"(260337.8612261917, 6255365.3546604365)",1652360667527,1
"(260303.22569775, 6255374.909288973)",1652360667626,1
"(260255.4525550718, 6255378.492274674)",1652360667722,1
"(260231.5659837327, 6255382.075260375)",1652360667827,1
"(260222.01135519706, 6255379.686603241)",1652360667922,1
"(260222.01135519706, 6255379.686603241)",1652360668022,1
"(260222.01135519706, 6255379.686603241)",1652360668122,1
"(260222.01135519706, 6255379.686603241)",1652360668221,1
"(260222.01135519706, 6255379.686603241)",1652360668322,1
"(260222.01135519706, 6255379.686603241)",1652360668422,1
"(259560.6024231675, 6255197.334730965)",1652360670425,2
"(259536.7158518284, 6255087.4565028045)",1652360670525,2
"(259512.8292804893, 6255006.242160251)",1652360670625,2
"(259488.9427091502, 6254953.691703304)",1652360670723,2
"(259484.16539488238, 6254934.5824462315)",1652360670822,2
"(259479.38808061456, 6254934.5824462315)",1652360670922,2
"(259479.38808061456, 6254934.5824462315)",1652360671022,2
"(259503.2746519537, 6254934.5824462315)",1652360671125,2
"(259723.03110827354, 6255082.679188534)",1652360671224,2
"(259727.80842254136, 6255092.23381707)",1652360671322,2
"(259727.80842254136, 6255092.23381707)",1652360671430,2
"(259727.80842254136, 6255092.23381707)",1652360671525,2
"(259589.26630877447, 6255082.679188534)",1652360671622,2
"(259584.48899450665, 6255077.901874266)",1652360671722,2
"(259645.84488605056, 6246720.0719988765)",1652360677923,3
"(259626.43704683753, 6246709.024459632)",1652360678022,3
"(259625.54130041227, 6246708.42729535)",1652360678123,3
"(259625.54130041227, 6246708.42729535)",1652360678231,3
"(259624.3469718453, 6246711.413116767)",1652360678322,3
"(259624.94413612876, 6246719.176252451)",1652360678421,3
"(259633.30443609745, 6246728.133716702)",1652360678523,3
"(259643.15764677495, 6246733.508195252)",1652360678623,3
"(259654.80235030278, 6246737.986927377)",1652360678725,3
"(259662.2669038463, 6246741.569913078)",1652360678822,3
"(259664.05839669678, 6246742.465659501)",1652360678922,3
"(259664.35697883854, 6246743.361405925)",1652360679023,3
"(259664.35697883854, 6246744.854316631)",1652360679121,3
"(259655.10093244462, 6246745.451480914)",1652360679222,3
"(259633.60301823937, 6246745.451480914)",1652360679323,3
"(259628.52712182974, 6246738.584091655)",1652360679422,3
"(259627.92995754624, 6246735.896852381)",1652360679523,3
"(259627.92995754624, 6246735.896852381)",1652360679622,3
"(259627.92995754624, 6246735.896852381)",1652360679723,3
"(259627.92995754624, 6246735.896852381)",1652360679822,3
"(259627.92995754624, 6246735.896852381)",1652360679923,3
"(259582.6372249723, 6246731.299112056)",1652360682523,4
"(259567.70811788537, 6246715.175676402)",1652360682622,4
"(259567.1109536019, 6246713.384183551)",1652360682722,4
"(259567.1109536019, 6246713.384183551)",1652360682831,4
"(259567.1109536019, 6246713.384183551)",1652360682927,4
"(259567.1109536019, 6246713.384183551)",1652360683035,4
"(259567.1109536019, 6246713.384183551)",1652360683130,4
"(259567.1109536019, 6246713.384183551)",1652360683226,4
"(259567.1109536019, 6246710.398362134)",1652360683322,4
"(259568.90244645235, 6246705.621047866)",1652360683422,4
"(259570.09677501928, 6246702.635226448)",1652360683523,4
"(259571.8882678697, 6246702.635226448)",1652360683622,4
"(259583.23438925578, 6246702.635226448)",1652360683722,4
"(259594.58051064186, 6246708.009705)",1652360683822,4
"(259600.55215347663, 6246716.370004969)",1652360683922,4
"(259601.74648204359, 6246722.341647804)",1652360684023,4
"(259601.74648204359, 6246725.327469221)",1652360684123,4
"(259601.74648204359, 6246731.299112056)",1652360684222,4
"(259604.1351391775, 6246739.6594120255)",1652360684322,4
"(259605.92663202796, 6246745.631054861)",1652360684422,4
"(259607.1209605949, 6246750.408369129)",1652360684522,4
"(259607.71812487836, 6246752.797026263)",1652360684621,4
"(259607.71812487836, 6246755.185683397)",1652360684722,4
"(259608.91245344531, 6246759.365833381)",1652360684823,4
"(259608.91245344531, 6246762.948819082)",1652360684922,4
"(259608.91245344531, 6246767.72613335)",1652360685023,4
"(259608.91245344531, 6246778.475090453)",1652360685122,4
"(259606.5237963114, 6246796.390018959)",1652360685223,4
"(259602.3436463271, 6246812.513454613)",1652360685322,4
"(259599.95498919318, 6246824.456740283)",1652360685422,4
"(259598.7606606262, 6246829.234054551)",1652360685522,4
"(259598.7606606262, 6246829.234054551)",1652360685637,4
"(259598.7606606262, 6246829.234054551)",1652360685731,4
"(259598.7606606262, 6246829.234054551)",1652360685825,4
"(259598.7606606262, 6246829.234054551)",1652360685934,4
"(259585.02588210622, 6246816.693604598)",1652360686022,4
"(259577.262746421, 6246789.82121184)",1652360686123,4
"(259577.262746421, 6246789.2240475565)",1652360686222,4
"(259577.262746421, 6246789.2240475565)",1652360686323,4
"(259577.262746421, 6246789.2240475565)",1652360686424,4
"(259577.262746421, 6246789.2240475565)",1652360686534,4
"(259339.29573145288, 6246974.075187213)",1652360689322,5
"(259346.46170285466, 6246938.245330203)",1652360689423,5
"(259351.23901712245, 6246902.415473193)",1652360689522,5
"(259356.01633139024, 6246868.974273317)",1652360689622,5
"(259363.18230279197, 6246842.699044842)",1652360689723,5
"(259370.3482741937, 6246821.201130636)",1652360689822,5
"(259377.51424559546, 6246804.480530698)",1652360689923,5
"(259377.51424559546, 6246794.925902162)",1652360690023,5
"(259379.90290272937, 6246790.148587894)",1652360690123,5
"(259382.29155986328, 6246785.371273626)",1652360690221,5
"(259384.68021699722, 6246780.593959358)",1652360690322,5
"(259387.0688741311, 6246778.205302224)",1652360690421,5
"(259389.457531265, 6246778.205302224)",1652360690522,5
"(259389.457531265, 6246775.81664509)",1652360690622,5
