x,y,time,id_pan
256507.9798490768,6254605.835402885,1655812153899,0
256570.0849345585,6254615.390031422,1655812153999,0
256574.8622488263,6254615.390031422,1655812154099,0
256574.8622488263,6254615.390031422,1655812154208,0
260167.7667431005,6254603.456506607,1655812155598,1
260263.313028457,6254603.456506607,1655812155699,1
260263.313028457,6254603.456506607,1655812155798,1
260263.313028457,6254603.456506607,1655812155898,1
260263.313028457,6254603.456506607,1655812155998,1
259632.6707435645,6246877.42931256,1655812165506,2
259637.44805783237,6246890.566926797,1655812165599,2
259638.04522211582,6246891.761255364,1655812165698,2
273278.51282418246,6251568.375262167,1655812179201,4
273202.0757958974,6251649.589604721,1655812179300,4
273130.4160818801,6251745.135890079,1655812179400,4
273087.4202534697,6251778.577089953,1655812179499,4
273087.4202534697,6251778.577089953,1655812179604,4
273087.4202534697,6251778.577089953,1655812179713,4
273254.6262528436,6251826.350232632,1655812179800,4
273565.1516802521,6251855.014118239,1655812179900,4
273617.7021371981,6251855.014118239,1655812180000,4
273617.7021371981,6251855.014118239,1655812180103,4
273617.7021371981,6251855.014118239,1655812180212,4
273617.7021371981,6251855.014118239,1655812180307,4
273617.7021371981,6251855.014118239,1655812180400,4
273612.9248229303,6251840.682175436,1655812180499,4
273517.3785375739,6251759.467832882,1655812180598,4
273517.3785375739,6251759.467832882,1655812180713,4
273517.3785375739,6251759.467832882,1655812180805,4
256489.61425856533,6255023.459361706,1655812192798,5
256652.04294367137,6254918.3584478125,1655812192908,5
256986.45494241902,6254775.0390197765,1655812192999,5
257234.87528434582,6254689.047362954,1655812193097,5
257808.15299648466,6254144.4335364215,1655812193199,5
258199.89276644622,6253790.912280601,1655812193299,5
550020.9582601747,5751356.416652651,1655812212997,6
546237.3253600585,5752120.786935502,1655812213097,6
552703.2981207061,5749298.023131947,1655812215100,7
552206.4574368525,5749603.7712450875,1655812215199,7
542546.9461651332,5747451.305961712,1655812217301,8
541323.9537125704,5747107.339334429,1655812217398,8
541323.9537125704,5747107.339334429,1655812217498,8
541323.9537125704,5747107.339334429,1655812217599,8
540155.5779103772,5745752.163163687,1655812218307,9
540079.1149600614,5745646.571470393,1655812218399,9
539977.1643596403,5745504.568848377,1655812218510,9
539831.5206447534,5745271.538904559,1655812218599,9
539725.9289514602,5745176.870489882,1655812218698,9
539696.8002084828,5745162.306118393,1655812218801,9
539696.8002084828,5745162.306118393,1655812218902,9
539696.8002084828,5745162.306118393,1655812218999,9
539696.8002084828,5745162.306118393,1655812219099,9
539696.8002084828,5745162.306118393,1655812219197,9
539696.8002084828,5745162.306118393,1655812219308,9
539620.337258167,5745111.330818182,1655812219399,9
559766.4342064782,5995309.393110632,1655812243898,10
559498.9046074802,5995314.1704249,1655812243999,10
559451.131464802,5995275.9519107565,1655812244103,10
560031.1707940603,5995111.2224492375,1655812245199,11
559983.3976513821,5995335.756219826,1655812245309,11
559863.1384635066,5994639.382322475,1655812247599,12
560125.8907482367,5993784.243068534,1655812247707,12
560130.6680625045,5993755.5791829275,1655812247798,12
560130.6680625045,5993755.5791829275,1655812247898,12
560130.6680625045,5993755.5791829275,1655812247997,12
560130.6680625045,5993755.5791829275,1655812248098,12
560130.6680625045,5993755.5791829275,1655812248199,12
