x,y,time,id_pan
273748.633174697,6250727.1021422595,1652880495031,5
273751.02183183096,6250723.519156558,1652880495130,5
273751.02183183096,6250723.519156558,1652880495229,5
273751.02183183096,6250723.519156558,1652880495344,5
273751.02183183096,6250723.519156558,1652880495440,5
257734.38840478729,6257071.885449224,1652880522129,6
257681.8379478412,6257172.209048849,1652880522230,6
257629.2874908952,6257315.528476885,1652880522330,6
257595.84629102045,6257434.96133358,1652880522431,6
257586.29166248481,6257477.957161993,1652880522530,6
257595.84629102045,6257544.839561743,1652880522630,6
257624.51017662737,6257635.608532832,1652880522730,6
255634.3926819888,6255373.727321094,1652880523929,7
255562.73296797147,6255330.731492681,1652880524029,7
255471.96399688284,6255292.512978537,1652880524129,7
255395.52696859773,6255244.7398358565,1652880524230,7
255328.64456884822,6255187.412064641,1652880524329,7
255285.6487404378,6255144.416236229,1652880524430,7
255247.4302262953,6255096.64309355,1652880524530,7
255223.5436549562,6255058.424579405,1652880524630,7
255204.4343978849,6255015.428750993,1652880524730,7
255194.8797693493,6254986.764865384,1652880524830,7
255185.32514081366,6254967.655608312,1652880524930,7
255185.32514081366,6254958.100979776,1652880525030,7
255175.770512278,6254919.882465632,1652880525130,7
255175.770512278,6254900.7732085595,1652880525230,7
255170.99319801014,6254881.663951487,1652880525330,7
255170.99319801014,6254881.663951487,1652880525441,7
255170.99319801014,6254881.663951487,1652880525535,7
255180.5478265458,6254833.890808808,1652880525630,7
255209.2117121527,6254771.785723326,1652880525730,7
255233.0982834918,6254733.567209181,1652880525830,7
255252.20754056307,6254714.457952109,1652880525930,7
255295.20336897348,6254704.903323573,1652880526029,7
255314.31262604476,6254704.903323573,1652880526130,7
539263.219885903,5744835.872383615,1652880542580,8
539244.1106288317,5745046.074211399,1652880542680,8
539186.7828576178,5745562.024152324,1652880542780,8
539148.5643434753,5746269.066663961,1652880542880,8
539263.219885903,5746689.470319529,1652880542980,8
539454.3124566157,5747128.9832321685,1652880543080,8
539511.6402278296,5747224.529517525,1652880543180,8
539511.6402278296,5747224.529517525,1652880543280,8
539511.6402278296,5747224.529517525,1652880543380,8
539511.6402278296,5747224.529517525,1652880543480,8
539511.6402278296,5747224.529517525,1652880543580,8
539511.6402278296,5747224.529517525,1652880543681,8
539511.6402278296,5747224.529517525,1652880543780,8
540237.7919965388,5748619.505283728,1652880543881,8
540753.7419374639,5749861.606993361,1652880543982,8
540906.6159940341,5750224.682877716,1652880544082,8
541059.4900506043,5750434.8847055,1652880544180,8
541059.4900506043,5750434.8847055,1652880544280,8
541059.4900506043,5750434.8847055,1652880544381,8
541059.4900506043,5750434.8847055,1652880544480,8
541059.4900506043,5750434.8847055,1652880544580,8
541059.4900506043,5750434.8847055,1652880544680,8
541059.4900506043,5750434.8847055,1652880544780,8
541556.3307344579,5751237.473502493,1652880544881,8
542550.0121021651,5752727.995554053,1652880544982,8
543065.9620430903,5753377.710294477,1652880545082,8
543467.2564415875,5753759.895435902,1652880545181,8
543677.4582693715,5753874.55097833,1652880545281,8
544040.5341537261,5753931.878749544,1652880545382,8
544174.298953225,5753931.878749544,1652880545480,8
544384.5007810091,5753950.988006615,1652880545581,8
544537.3748375793,5753950.988006615,1652880545680,8
544613.8118658644,5753950.988006615,1652880545781,8
544728.4674082921,5753950.988006615,1652880545882,8
544804.9044365772,5753950.988006615,1652880545980,8
550368.6105136463,5749999.663692457,1652880548880,9
550368.6105136463,5749999.663692457,1652880548991,9
550368.6105136463,5749999.663692457,1652880549087,9
550368.6105136463,5749999.663692457,1652880549181,9
550368.6105136463,5749999.663692457,1652880549291,9
550387.7197707176,5749942.335921243,1652880549381,9
550387.7197707176,5749923.226664172,1652880549481,9
550387.7197707176,5749904.1174071,1652880549581,9
550425.9382848601,5749827.680378815,1652880549680,9
550425.9382848601,5749827.680378815,1652880549792,9
550445.0475419314,5749808.571121744,1652880549880,9
550483.266056074,5749713.0248363875,1652880549981,9
550502.3753131452,5749655.697065174,1652880550080,9
550540.5938272878,5749560.150779817,1652880550180,9
550578.8123414303,5749445.49523739,1652880550280,9
550617.0308555729,5749349.948952033,1652880550379,9
550655.2493697155,5749254.402666677,1652880550480,9
550674.3586267867,5749216.184152534,1652880550580,9
550731.6863980006,5749158.85638132,1652880550680,9
550750.7956550719,5749101.528610107,1652880550781,9
550827.232683357,5748967.763810608,1652880550882,9
550884.5604545708,5748833.999011109,1652880550980,9
550960.9974828559,5748585.578669182,1652880551080,9
551018.3252540698,5748203.393527756,1652880551181,9
551075.6530252836,5747954.97318583,1652880551280,9
551075.6530252836,5747687.443586832,1652880551380,9
551075.6530252836,5747477.241759048,1652880551480,9
551075.6530252836,5747419.913987834,1652880551580,9
550980.1067399272,5747400.804730763,1652880551680,9
549890.8790868634,5747267.039931264,1652880551781,9
548515.0125777301,5746980.401075195,1652880551880,9
547502.2219529516,5746693.762219125,1652880551981,9
546871.616469599,5746445.341877199,1652880552080,9
546871.616469599,5746445.341877199,1652880552181,9
546871.616469599,5746445.341877199,1652880552280,9
546871.616469599,5746445.341877199,1652880552380,9
546871.616469599,5746445.341877199,1652880552480,9
545056.237047826,5745012.147596853,1652880552580,9
543661.2612816215,5743674.499601863,1652880552680,9
543431.950196766,5743464.297774079,1652880552780,9
543431.950196766,5743464.297774079,1652880552880,9
543431.950196766,5743464.297774079,1652880552980,9
543431.950196766,5743464.297774079,1652880553080,9
543431.950196766,5743464.297774079,1652880553181,9
543183.5298548391,5742011.994236662,1652880553280,9
542744.0169421993,5740731.674012886,1652880553380,9
