world_index,id_fixation,x,y,zoom,etape,id_zoom,x_rel,y_rel,x_pixel,y_pixel
440,62,260294.1214334604,6255311.11831706,19.0,1,0,0.4961593447549957,0.35441174109776813,574.6139717102051,552.6470446586609
441,62,260294.8815454305,6255311.032573816,19.0,1,0,0.48978307159477263,0.3554866631825765,567.3322677612304,553.2919979095459
442,62,260295.93697175,6255310.26611263,19.0,1,0,0.49287833766636613,0.3512083252271016,570.8670616149901,550.724995136261
443,62,260294.8671256844,6255310.387683135,19.0,1,0,0.48974078256904335,0.3518869241078694,567.2839736938475,551.1321544647217
444,62,260295.2244763712,6255299.301024921,18.38391390532184,1,0,0.49568664964986553,0.35158952077229816,574.0741539001465,550.9537124633789
445,62,260294.2546635765,6255299.129775779,18.38391390532184,1,0,0.4938309931713311,0.3509658535321553,571.9549942016602,550.5795121192932
446,62,260294.002410123,6255298.92556125,18.38391390532184,1,0,0.4933483270755373,0.3502221306165059,571.4037895202636,550.1332783699036
447,62,260291.9484748924,6255288.9152403725,18.045505230420268,1,0,0.4926513097332154,0.3458471258481343,570.607795715332,547.5082755088806
447,63,260298.6741480237,6255295.137875289,18.045505230420268,1,0,0.4926513097332154,0.3458471258481343,570.607795715332,547.5082755088806
448,63,260299.6105712907,6255295.770787892,18.045505230420268,1,0,0.5042467200818703,0.3655938704808553,583.849754333496,559.3563222885132
449,63,260297.96541569507,6255295.391792733,18.045505230420268,1,0,0.5017570288502814,0.364502211411794,581.0065269470214,558.7013268470764
450,63,260300.08997641265,6255293.659641565,18.000033655582474,1,0,0.504969391430322,0.3628541549046834,584.6750450134277,557.7124929428101
451,63,260298.03333122504,6255294.981682749,18.000033655582474,1,0,0.5019535425456727,0.3665440162022908,581.2309455871582,559.9264097213745
451,64,260306.555509874,6255280.064878172,18.000033655582474,1,0,0.5019535425456727,0.3665440162022908,581.2309455871582,559.9264097213745
452,64,260305.9360903033,6255279.87519417,18.000033655582474,1,0,0.5135420884434687,0.32438129981358843,594.4650650024413,534.6287798881531
453,64,260304.6717667106,6255278.973436884,18.0,1,0,0.511687935129356,0.3218678553899129,592.3476219177245,533.1207132339478
454,64,260307.71440147192,6255277.007358324,18.0,1,0,0.5161495275547542,0.31638059218724557,597.4427604675293,529.8283553123473
455,64,260307.0347257157,6255276.6495277975,18.0,1,0,0.5151528794377154,0.3153818984826405,596.304588317871,529.2291390895842
460,65,260309.06155428925,6255241.255097147,18.0,1,0,0.5181249361322139,0.21659715970357257,599.6986770629883,469.95829582214355
461,65,260310.0424387223,6255239.926816856,18.0,1,0,0.5195632640618159,0.21288997133572893,601.3412475585938,467.7339828014374
462,65,260312.88502896312,6255167.934645732,17.126735333141525,1,0,0.5153704374350098,0.2193673988183338,596.5530395507811,471.6204392910003
463,65,260307.33687034977,6255163.56256965,17.126735333141525,1,0,0.510929137729304,0.2127060254414876,591.4810752868652,467.6236152648926
464,65,260313.83412280504,6255159.579264951,17.126735333141525,1,0,0.5161301868391954,0.20663699110349015,597.4206733703612,463.9821946620941
465,65,260314.2360881971,6255148.860622313,17.01000653067003,1,0,0.5155866425843246,0.2119445463021596,596.7999458312987,467.1667277812958
466,65,260315.5261845936,6255149.588973826,17.01000653067003,1,0,0.5165390976673666,0.2129680236180623,597.8876495361327,467.7808141708374
536,77,260322.87511896505,6255264.266870644,17.0,1,1,0.5110310522770923,0.37013613780339555,591.5974617004395,562.0816826820374
537,77,260326.1572171872,6255268.330266245,17.0,1,1,0.5242559930697839,0.3804373224576314,606.7003440856932,568.2623934745789
538,77,260323.2630853084,6255274.114062273,17.0,1,1,0.5221340760666935,0.38850851853688556,604.277114868164,573.1051111221313
539,77,260329.4117743777,6255276.879603845,17.0,1,1,0.5266421663782015,0.3923677881558736,609.4253540039061,575.4206728935242
540,77,260334.133181946,6255280.454410953,17.0,1,1,0.5301038037248333,0.397356375058492,613.3785438537598,578.4138250350952
541,77,260335.1612209989,6255278.533654647,17.0,1,1,0.5308575404713325,0.39467598994572956,614.2393112182617,576.8055939674377
542,77,260323.3219260732,6255279.790453403,17.0,1,1,0.522177216885595,0.3964298327763875,604.3263816833495,577.8578996658325
543,78,260343.0572279241,6255298.519345821,17.0,1,1,0.5366467277139373,0.42256570657094317,620.8505630493164,593.5394239425659
544,78,260337.0500027144,6255298.123785191,17.0,1,1,0.5322423557475235,0.4220137079556783,615.8207702636719,593.208224773407
545,78,260334.82881509897,6255297.219954141,17.0,1,1,0.5306138274131013,0.4207524259885152,613.9609909057616,592.4514555931091
546,78,260353.23249570845,6255275.296579134,16.39772395881359,1,1,0.5332598978500233,0.4163455565770467,616.9828033447266,589.807333946228
547,78,260349.6540314089,6255270.333809803,16.39772395881359,1,1,0.5315316596089644,0.4117836554845174,615.0091552734374,587.0701932907104
548,79,260472.1138051353,6255231.355541841,16.07791943567723,1,1,0.5750965211938432,0.39403365453084305,664.760227203369,576.4201927185059
549,79,260483.30453216148,6255221.145811487,16.07791943567723,1,1,0.5794265867323466,0.3865145643552144,669.7051620483398,571.9087386131287
550,79,260469.3017171905,6255222.237104527,16.07791943567723,1,1,0.5740084305744871,0.3873182614644368,663.5176277160643,572.3909568786621
551,79,260475.84322734972,6255223.055537886,16.07791943567723,1,1,0.5765395590386332,0.38792100747426345,666.4081764221191,572.7526044845581
563,80,260514.3677729188,6255221.02800827,15.665160902924182,1,1,0.5716686048357373,0.40624264081319167,660.8455467224121,583.745584487915
564,80,260599.36917113853,6255174.719158526,15.095438110611056,1,1,0.5688101873715161,0.4084450562795003,657.5812339782714,585.0670337677002
