id_participant,id_pan,distance,zoom,norm
1,0,207.22293255556357,17.0,25.902866569445447
1,1,804.9469545935744,16.219522260713127,58.57739633952016
1,2,1915.4104932305636,15.0,59.85657791345511
1,3,209.36022375550974,18.30356402765837,64.59755202701206
1,4,151.07348819600338,18.0,37.768372049000845
1,5,1220.7827337920758,16.0,76.29892086200473
1,6,1573.023444778138,15.411956394357974,65.40281614846215
1,7,179.86685903541542,15.0,5.620839344856732
1,8,983.560703689057,15.441746192368695,41.747458825606095
1,9,3359.318514281079,14.0,52.48935178564186
1,10,1855.2811573197273,16.0,115.95507233248296
1,11,68.0150000684318,16.0,4.250937504276988
1,12,174.3322849830509,16.0,10.895767811440681
1,13,175.77959711357545,16.0,10.986224819598466
1,14,103934.42814784108,10.0,101.49846498812606
1,15,339.80354198909026,14.0,5.309430343579535
1,16,24622.416205180532,12.25823414964095,115.03418707821429
1,17,10433.431943851674,13.0,81.5111870613412
1,19,5951.475705464281,14.0,92.9918078978794
1,20,706.7489399253154,14.0,11.042952186333054
1,21,492.1313468627484,15.0,15.379104589460887
1,22,288.73916112044463,16.0,18.04619757002779
1,23,1855.2773907711978,15.949575302208824,111.97202253791626
1,24,779.5884809108614,14.933413270118802,23.26327379424519
1,25,5240.382791131438,13.0,40.94049055571436
1,26,5707.064882033303,14.0,89.17288878177035
1,27,137.83221570646015,16.0,8.61451348165376
1,28,1331.7707201114279,16.0,83.23567000696424
1,29,461.4646460087163,16.169186530613782,32.430128696595226
1,31,1283.8878730211698,14.043057180377724,20.66848412311175
1,32,229.37912786526272,16.432561342998987,19.34852458765926
1,33,6.366418122268933,19.0,3.1832090611344666
1,34,5937.63467130107,12.0,23.193885434769804
1,35,2191.1339149154983,13.0,17.11823371027733
1,36,1032.1838542084413,14.425361853937462,21.658270048473902
1,37,290.0646547172975,15.0,9.064520459915547
1,39,47569.663584343514,11.0,92.90949918817093
1,40,1347.515336245287,13.0,10.527463564416305
1,41,664.4548153650912,14.0,10.38210649007955
1,42,1633.770399317033,16.388814291498797,133.69519686285506
1,43,214.95200324151585,17.0,26.86900040518948
1,44,305.11229503895805,17.0,38.13903687986976
1,45,47.535824410217174,17.0,5.941978051277147
1,46,111.91761677229725,18.0,27.979404193074313
1,47,465.4018414456107,17.0,58.17523018070134
1,48,26.68547993354387,19.0,13.342739966771935
1,49,35.03381795202608,19.0,17.51690897601304
