id_participant,id_pan,distance,zoom
1,0,207.22293255556357,17.0
1,1,804.9469545935744,16.219522260713127
1,2,1915.4104932305636,15.0
1,3,209.36022375550974,18.30356402765837
1,4,151.07348819600338,18.0
1,5,1220.7827337920758,16.0
1,6,1573.023444778138,15.411956394357974
1,7,179.86685903541542,15.0
1,8,983.560703689057,15.441746192368695
1,9,3359.318514281079,14.0
1,10,1855.2811573197273,16.0
1,11,68.0150000684318,16.0
1,12,174.3322849830509,16.0
1,13,175.77959711357545,16.0
1,14,103934.42814784108,10.0
1,15,339.80354198909026,14.0
1,16,24622.416205180532,12.25823414964095
1,17,10433.431943851674,13.0
1,19,5951.475705464281,14.0
1,20,706.7489399253154,14.0
1,21,492.1313468627484,15.0
1,22,288.73916112044463,16.0
1,23,1855.2773907711978,15.949575302208824
1,24,779.5884809108614,14.933413270118802
1,25,5240.382791131438,13.0
1,26,5707.064882033303,14.0
1,27,137.83221570646015,16.0
1,28,1331.7707201114279,16.0
1,29,461.4646460087163,16.169186530613782
1,31,1283.8878730211698,14.043057180377724
1,32,229.37912786526272,16.432561342998987
1,33,6.366418122268933,19.0
1,34,5937.63467130107,12.0
1,35,2191.1339149154983,13.0
1,36,1032.1838542084413,14.425361853937462
1,37,290.0646547172975,15.0
1,39,47569.663584343514,11.0
1,40,1347.515336245287,13.0
1,41,664.4548153650912,14.0
1,42,1633.770399317033,16.388814291498797
1,43,214.95200324151585,17.0
1,44,305.11229503895805,17.0
1,45,47.535824410217174,17.0
1,46,111.91761677229725,18.0
1,47,465.4018414456107,17.0
1,48,26.68547993354387,19.0
1,49,35.03381795202608,19.0
1,50,227.74409114597418,18.0
1,51,385.7984125470103,18.0
1,52,7310.574834126376,11.0
1,53,962.3691222137946,13.0
1,54,4418.8556433984695,14.0
1,55,1364.9227350805334,15.0
1,56,838.062768151062,15.0
1,57,2828.5601891325778,15.0
1,58,2416.5446375867323,13.289777869361174
1,59,403.4800621965875,14.0
1,60,1867.055645331755,15.0
1,61,690.762498876816,16.0
10,0,102.20642592607327,19.0
10,1,15.328460365943428,21.441746192368697
10,2,14.489823501343372,19.0
10,3,137.7271628737902,19.0
10,4,209.18239856352213,18.0
10,5,195.72212646285996,17.0
10,6,749.3834253099837,15.0
10,7,145.02772586997668,17.0
10,8,205.7320146692266,19.0
10,10,232.0849843702949,17.0
10,11,881.4952543114248,16.0
10,12,67.6296711117966,15.0
10,13,1000.6065015348192,15.0
10,14,1957.2859059228333,15.0
10,15,9082.00524013506,13.0
10,16,5833.806352127312,13.0
10,17,27200.019748929106,11.190728105192507
10,18,7778.681565913183,11.8413860019734
10,20,1277.012086806976,12.0
10,22,541.0745171951513,16.0
10,23,710.6347083848958,16.0
10,24,414.2281618577161,15.0
10,25,43.051732689825215,17.03886373368771
10,26,641.138454440747,15.0
10,27,2076.491702625307,15.0
10,28,1824.3528237694186,15.641265705359904
10,30,155.64368502064886,18.0
10,31,41.30426520615951,18.0
10,32,72.51369428159015,18.0
10,34,12.004301584775032,18.0
10,35,587.029221840234,14.0
10,36,202.21012300932705,16.0
10,37,83.17750578351686,18.0
10,38,96.41120040701654,18.0
10,39,237.44102113002813,18.0
10,40,465.5485313063738,15.65279041852049
10,42,643.6549046726172,16.0
10,43,265.6736702743843,16.388814291498797
10,44,189.19755306803245,17.0
10,45,505.2148344413858,17.0
10,46,905.9134125312215,17.0
10,47,85.77012109862343,17.0
10,48,940.0536380239164,15.0
10,49,27.252767191287642,16.0
10,50,138.8006653491636,17.0
10,51,219.70372283893582,17.0
10,52,170.07645066834326,18.0
10,53,16583.928913804866,12.0
10,54,2174.4535177131866,13.0
10,55,864.2579721537658,14.0
10,56,497.78267512648125,14.0
10,57,266.07417786927897,16.0
10,58,157.77831306991106,17.0
10,59,403.6107867422609,17.0
10,60,633.7194904333289,17.0
10,61,751.3115315666397,17.0
11,0,2750.095512881789,15.0
11,1,4265.163829824771,14.0
11,2,1487.362282795256,16.0
11,4,462.92034380428413,15.0
11,5,405.83262821386336,18.0
11,6,433.05837553168885,15.0
11,7,1879.6425780446993,15.0
11,8,8023.245254679103,13.0
11,9,11194.541331510254,13.0
11,10,2173.642191200523,14.0
11,11,2329.8467357832023,14.0
11,12,2675.2375426026656,14.0
11,14,555.2872028788695,16.0
11,15,72.16757282189715,17.0
11,16,2821.9389319540824,12.077161764562202
11,17,1011.8248543206272,14.0
11,18,4555.151526459874,12.0
11,19,1671.3562135774866,14.0
11,20,3174.92190950235,14.0
11,21,361.5783135476242,16.0
11,22,227.05461403959208,16.0
11,23,131.24253631321957,16.0
11,24,4904.944917131442,11.0
11,25,1484.804570884862,15.0
11,26,2968.324427576334,15.0
11,27,202.43702547652273,16.0
11,28,148.64827041353934,16.0
11,29,91.5286734852174,18.0
11,30,278.51326161505517,18.0
11,31,198.2651213915516,18.0
11,32,1043.3425565487776,14.0
11,33,1567.928949251658,14.0
11,34,224.1391393116301,15.0
11,35,418.28731818932033,17.0
11,37,572.1162796488177,17.0
11,38,62.160954288474805,17.0
11,39,129.32646971772084,17.0
11,40,61.06819628484885,17.0
12,0,49.61844648160853,18.800841406675
12,1,12.055668270206192,17.0
12,2,3427.8848463125078,12.0
12,3,7884.698150295524,12.0
12,4,19604.902316219384,12.0
12,5,4145.2368267274705,14.0
12,7,4872.201775774162,12.800841406675003
12,8,6182.951157692414,13.0
12,9,1328.8740545581031,12.256408060395632
12,10,435.1965547659042,15.0
12,11,1005.3897200936213,15.0
12,12,777.822734803695,15.0
12,13,1115.598407467863,13.0
12,14,54.16937074157788,15.0
12,16,161.1485768668387,15.336175346170164
12,18,788.5527286972393,16.0
12,19,32.76192623100032,17.127696023897585
12,20,1016.0981913382245,12.0
