id_participant,id_zoom,somme_pixel,somme_norm
1,0,53.33346602446161,0.17897136249819331
1,1,184.20808306441535,0.6140269435480512
1,2,103.44700984334149,0.2573308702570684
1,3,603.5883666782621,0.40158906631953567
1,4,1052.2652329589591,0.8131879698291802
1,5,46.07391527690721,0.1530694859697914
1,6,586.3129088282778,0.9675130508717457
1,7,106.17531469305561,0.26543828673263903
1,8,632.6909363346091,0.4515995262916553
1,9,128.1716615302883,0.4301062467459339
1,10,35.610412842488834,0.09225495555048921
1,11,39.15268688567164,0.13007537171319483
1,12,93.36481800241528,0.3264504125958576
1,13,312.0834515391944,0.23969543128970386
1,14,81.65421860479992,0.2796377349479449
1,15,13.547856749047094,0.033954528193100485
1,16,96.93949564534313,0.24234873911335783
1,17,281.58889676726176,0.7039722419181544
1,18,131.36598531883044,0.4364318449130579
1,19,136.05102517074366,0.4519967613645969
1,20,218.13285217434554,0.528166712286551
1,21,643.1218838152824,0.9187455483075464
1,22,169.7104121892743,0.5657013739642477
1,23,112.12355743974999,0.37127005774751654
1,24,147.61290010462915,0.37088668367997274
1,25,119.35026307678814,0.2976315787451076
1,26,519.3772889382963,0.2733564678622612
1,27,394.8550735642178,0.43824092515451474
1,28,203.87697999236903,0.6795899333078967
1,29,680.3972668063343,0.4859980477188102
1,30,103.12785032202476,0.14484248640733813
1,31,236.76976089007886,0.5934079220302728
1,32,207.111041922663,0.5177776048066575
1,33,39.28561816092065,0.13051700385687923
1,34,111.0311629396815,0.37384229946020703
1,35,69.66563165713605,0.17329759118690558
1,36,160.20589936359522,0.17820455991501136
1,37,145.59914655512924,0.48695366740845897
1,38,160.0323786890537,0.17683135766746266
1,39,191.12940253713117,0.47902105899030367
1,40,72.23299681013691,0.18058249202534227
1,41,127.53941807132183,0.3196476643391525
1,42,107.15532694000352,0.2678883173500088
1,43,55.17223546201088,0.1832964633289398
1,44,243.7388548800912,0.609347137200228
1,45,111.43167822042642,0.27857919555106603
1,46,114.21967403157245,0.3807322467719082
1,47,99.96576193774668,0.33433365196570797
1,48,203.63051545583326,0.6787683848527776
1,49,320.0136815968044,0.7980391062264449
1,50,542.0876131862752,0.7744108759803932
1,51,135.29239631984237,0.33823099079960595
1,52,61.646565490399205,0.20617580431571642
1,53,130.66764577219647,0.3266691144304912
1,54,92.65743101199436,0.22935007676236227
10,0,1630.9434770562364,0.9045720893268089
10,1,432.8190006390214,0.3339652782708498
10,2,0,0.0
10,3,346.1876854702056,0.8362021388169218
10,4,211.94621448904797,0.41721695765560624
10,5,181.2286076090871,0.36029544256279744
10,6,270.52821031030226,0.898764818306652
10,7,655.8786995518396,1.3091391208619554
10,8,158.26834519328403,0.39765915877709557
10,9,710.4815238833925,1.7896260047440615
10,10,644.440059627035,1.0740667660450582
10,11,380.06972504940234,0.6334495417490039
