id_participant,id_pan,pourcentage,nbr_point_t
1,0,0.18421052631578946,38
1,1,0.22,50
1,2,0.08333333333333333,36
1,3,0.043478260869565216,69
1,4,0.02962962962962963,135
1,5,0.04216867469879518,166
1,6,0.0546875,128
1,7,0.16666666666666666,12
1,8,0.125,64
1,9,0.03614457831325301,83
1,10,0.11320754716981132,106
1,12,0.29411764705882354,17
1,14,0.24242424242424243,33
1,15,0.5833333333333334,12
1,16,0.2,40
1,17,0.13333333333333333,30
1,19,0.06896551724137931,116
1,20,0.4583333333333333,24
1,21,0.10526315789473684,95
1,22,0.5882352941176471,17
1,23,0.09174311926605505,109
1,24,0.4,15
1,25,0.15625,32
1,26,0.3157894736842105,19
1,27,0.125,16
1,28,0.19230769230769232,26
1,29,0.13793103448275862,58
1,30,0.2727272727272727,11
1,31,0.16279069767441862,43
1,32,0.15555555555555556,45
1,33,1.0,16
1,34,0.2894736842105263,38
1,35,0.18604651162790697,43
1,36,0.09230769230769231,65
1,37,0.36363636363636365,33
1,38,0.8666666666666667,15
1,39,0.5454545454545454,22
1,40,0.13793103448275862,29
1,41,0.1702127659574468,47
1,42,0.1450381679389313,131
1,43,0.14814814814814814,27
1,44,0.01694915254237288,295
1,45,0.5714285714285714,21
1,46,0.034482758620689655,29
1,47,0.027888446215139442,251
1,48,0.3125,16
1,49,0.5384615384615384,13
1,50,0.03076923076923077,65
1,51,0.38095238095238093,21
1,52,0.6,30
1,53,0.11538461538461539,26
1,54,0.06818181818181818,132
1,55,0.07142857142857142,42
1,56,0.0625,16
1,57,0.1111111111111111,18
1,58,0.11363636363636363,44
1,60,0.09345794392523364,107
1,61,0.07142857142857142,56
10,0,0.02127659574468085,47
10,1,1.0,24
10,2,0.7,20
10,3,0.12359550561797752,89
10,4,0.47058823529411764,17
10,5,0.09090909090909091,33
10,6,0.1111111111111111,45
10,7,0.10526315789473684,19
10,8,0.3333333333333333,12
10,10,0.14285714285714285,28
10,13,0.14285714285714285,28
10,14,0.2631578947368421,19
10,15,0.05319148936170213,94
10,16,0.11764705882352941,51
10,17,0.4444444444444444,18
10,18,0.43478260869565216,23
10,20,1.0,16
10,21,0.42857142857142855,14
10,22,0.15789473684210525,19
10,23,0.08,50
10,25,0.6153846153846154,13
10,26,0.36363636363636365,11
10,27,0.2413793103448276,29
10,28,0.2028985507246377,69
10,29,0.18181818181818182,11
10,30,0.1282051282051282,39
10,31,0.5,14
10,32,0.03571428571428571,56
10,35,0.6842105263157895,19
10,36,0.09090909090909091,33
10,37,0.26666666666666666,15
10,38,0.35714285714285715,14
10,39,0.11428571428571428,35
10,40,0.3181818181818182,22
10,41,0.5,14
10,42,0.1282051282051282,39
10,43,0.0967741935483871,31
10,44,0.025,40
10,45,0.1,20
10,46,0.05714285714285714,35
10,47,0.16666666666666666,18
10,50,0.2631578947368421,38
10,51,0.1016949152542373,59
10,52,0.08196721311475409,61
10,53,0.052083333333333336,96
10,54,0.03333333333333333,30
10,55,0.5263157894736842,19
10,56,0.11764705882352941,17
10,57,0.6153846153846154,13
10,58,0.1,20
10,59,0.21875,32
10,60,0.06666666666666667,105
10,61,0.08888888888888889,90
11,0,0.1076923076923077,65
11,1,0.35714285714285715,28
11,2,0.061224489795918366,49
11,4,0.6842105263157895,19
11,5,0.21052631578947367,38
11,6,0.16,25
11,7,0.09803921568627451,51
11,8,0.2222222222222222,81
11,9,0.02643171806167401,227
11,10,0.03896103896103896,77
11,11,0.6666666666666666,12
11,12,0.041666666666666664,24
11,14,0.14925373134328357,67
11,15,0.1388888888888889,36
11,16,0.13333333333333333,30
11,17,0.32142857142857145,28
11,18,0.6,20
11,19,0.02857142857142857,70
11,20,0.05,120
11,21,0.2,25
11,22,0.21428571428571427,14
11,24,0.45454545454545453,11
11,25,0.22727272727272727,66
11,26,0.08163265306122448,49
11,27,0.125,24
11,28,0.08,25
11,29,0.11764705882352941,17
11,30,0.2876712328767123,73
11,31,0.125,40
11,32,0.11764705882352941,17
11,33,0.7647058823529411,17
11,34,0.6111111111111112,18
11,35,0.1,70
11,37,0.02097902097902098,143
11,41,0.05263157894736842,38
12,0,0.5,26
12,2,0.125,16
12,3,0.17777777777777778,45
12,4,0.16666666666666666,24
12,5,0.3333333333333333,18
12,7,0.30434782608695654,23
12,8,0.09523809523809523,21
12,9,0.5789473684210527,19
12,11,0.21428571428571427,28
12,12,0.36363636363636365,11
12,13,0.8461538461538461,13
12,16,0.5769230769230769,26
12,18,0.07894736842105263,38
12,19,1.0,18
12,20,0.5714285714285714,21
12,21,0.1935483870967742,31
