id_participant,id_zoom,pourcentage,type,nbr_point_t
20,0,0.13636363636363635,out,22
20,1,0.38461538461538464,out,13
20,2,0.65,out,20
20,3,0.3684210526315789,out,19
20,4,0.6153846153846154,in,13
20,5,0.8421052631578947,in,19
20,6,0.14814814814814814,in,27
20,7,0.6363636363636364,out,11
20,8,0.5666666666666667,in,30
20,9,0.18181818181818182,out,22
20,10,0.8536585365853658,in,41
20,11,0.5714285714285714,in,14
20,12,0.6111111111111112,in,18
20,13,0.5625,out,16
20,14,0.42105263157894735,out,19
20,15,0.5652173913043478,in,46
20,16,0.9555555555555556,in,45
20,17,0.5,out,16
20,18,0.3333333333333333,out,15
20,19,0.75,in,28
20,20,0.29411764705882354,in,17
20,21,0.2608695652173913,in,23
20,22,0.5217391304347826,out,23
20,23,0.6521739130434783,in,23
20,24,0.7272727272727273,in,22
20,25,1.0,in,23
20,26,0.6111111111111112,out,18
20,27,0.35714285714285715,out,14
20,28,1.0,in,23
20,29,0.5,out,18
20,30,0.6470588235294118,in,17
20,31,0.4634146341463415,in,82
20,32,0.34615384615384615,out,26
20,33,0.5348837209302325,in,43
20,34,0.7619047619047619,in,21
20,35,0.4,out,15
20,36,0.6666666666666666,in,18
20,37,0.6666666666666666,in,12
20,38,0.6666666666666666,out,15
20,39,0.4,in,25
20,40,0.8421052631578947,in,19
20,41,0.6363636363636364,in,22
20,42,0.30434782608695654,in,23
3,0,0.6190476190476191,out,42
3,1,0.32432432432432434,in,37
3,2,0.4666666666666667,in,60
3,3,0.2631578947368421,out,19
3,4,0.09615384615384616,out,52
3,5,0.6470588235294118,out,17
3,6,0.42857142857142855,out,14
3,7,0.25,in,28
3,8,0.2857142857142857,out,14
3,9,0.25,out,12
3,12,0.12195121951219512,out,41
3,13,0.13333333333333333,out,45
3,14,0.16666666666666666,out,18
3,16,0.875,in,40
3,17,0.3076923076923077,out,13
3,18,0.3333333333333333,out,12
3,20,0.2,in,55
3,21,0.9365079365079365,in,63
3,23,0.35714285714285715,in,14
3,24,0.6,in,15
3,25,0.47368421052631576,out,19
3,28,0.2857142857142857,in,14
3,29,0.5833333333333334,in,12
3,30,0.13043478260869565,out,46
3,31,0.29411764705882354,in,17
3,32,1.0,in,15
3,33,0.4375,in,16
3,35,0.559322033898305,in,59
3,36,0.5454545454545454,in,11
3,37,0.5121951219512195,in,41
3,38,0.10526315789473684,out,19
3,39,0.07936507936507936,in,63
3,40,0.5,in,12
3,41,0.38235294117647056,out,34
3,42,0.36363636363636365,in,22
3,43,0.14814814814814814,in,27
3,44,0.13333333333333333,in,15
3,45,0.4230769230769231,in,52
3,46,1.0,in,15
3,47,0.35294117647058826,in,51
3,49,0.16666666666666666,in,18
3,50,0.6666666666666666,in,15
3,51,0.35714285714285715,in,14
3,52,0.125,in,16
3,53,0.4666666666666667,in,15
3,54,0.6470588235294118,in,17
3,55,0.3333333333333333,out,21
3,56,0.26666666666666666,in,15
3,57,0.46153846153846156,in,13
3,58,0.3783783783783784,in,37
3,59,0.4,in,15
4,0,0.24,out,25
4,1,0.1,out,30
4,2,0.36363636363636365,out,33
4,3,0.42857142857142855,in,21
4,4,0.22807017543859648,out,57
4,5,0.19230769230769232,in,26
4,6,0.2,out,25
4,7,1.0,in,25
4,8,0.5294117647058824,in,17
4,9,0.5238095238095238,in,21
4,10,0.4406779661016949,out,59
4,11,0.2222222222222222,out,27
4,12,0.45,out,20
4,13,0.04,out,75
4,15,0.6851851851851852,in,54
4,22,0.8636363636363636,in,22
4,23,0.7142857142857143,in,14
4,24,1.0,in,22
4,25,0.7647058823529411,in,17
4,26,0.45454545454545453,in,11
4,27,0.6428571428571429,in,14
4,28,0.391304347826087,in,23
4,29,0.5454545454545454,in,22
4,30,0.42857142857142855,in,14
4,31,0.18181818181818182,in,11
4,32,0.2727272727272727,out,11
4,33,1.0,in,14
4,35,0.6153846153846154,in,13
4,36,0.6363636363636364,in,11
4,37,0.24528301886792453,in,53
4,38,0.20689655172413793,in,29
4,39,0.8095238095238095,in,21
4,41,0.5,in,14
4,42,0.125,out,32
4,43,0.7142857142857143,in,21
4,44,0.5789473684210527,in,19
4,45,0.43478260869565216,in,23
4,46,1.0,in,23
4,47,0.4444444444444444,in,18
4,48,0.21428571428571427,out,14
4,49,0.3888888888888889,in,18
4,50,0.6666666666666666,in,15
4,51,0.5294117647058824,in,17
4,52,0.3333333333333333,in,15
5,0,0.21428571428571427,out,28
5,2,0.2727272727272727,out,11
5,3,0.6923076923076923,out,13
5,4,0.36363636363636365,in,11
5,5,0.19672131147540983,out,61
5,6,0.14754098360655737,out,61
5,7,0.9178082191780822,out,73
5,9,1.0,in,15
5,10,0.7894736842105263,in,38
5,11,0.3125,in,32
5,14,0.375,out,32
5,15,0.3,in,30
5,16,0.8,in,20
5,19,0.09090909090909091,in,11
5,21,0.8387096774193549,in,31
5,22,0.6875,in,16
5,23,0.8888888888888888,in,18
5,24,0.3333333333333333,out,12
5,25,0.65,in,20
5,27,0.25,in,12
5,28,1.0,in,14
5,29,0.22727272727272727,out,22
5,30,0.5714285714285714,in,14
5,31,0.5384615384615384,in,13
5,32,0.5681818181818182,in,44
5,33,0.6521739130434783,in,23
5,34,0.6,in,20
5,35,0.3333333333333333,in,12
5,37,0.2261904761904762,in,84
6,0,0.2222222222222222,out,18
6,2,0.23076923076923078,out,13
6,3,0.45454545454545453,out,11
6,5,0.3076923076923077,out,26
6,7,0.2608695652173913,out,23
6,8,0.23076923076923078,out,13
6,9,0.42857142857142855,out,14
6,10,0.2727272727272727,in,11
6,11,1.0,in,23
6,14,0.9230769230769231,in,13
6,15,0.23076923076923078,out,13
6,18,1.0,in,24
6,19,0.07142857142857142,out,14
6,20,0.3333333333333333,in,15
6,21,0.8666666666666667,in,15
6,30,0.3684210526315789,in,19
6,32,0.375,in,16
6,33,0.3333333333333333,out,18
6,34,0.7272727272727273,in,22
6,35,0.5789473684210527,in,19
6,36,1.0,in,16
6,37,0.8947368421052632,in,19
