world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
763526.0780600001,0,0,763526.004906,132.28250003885478,1.3137295551709354,0.46203184127807617,0.5310603380203247,0.46203184127807617,0.5310603380203247,True
763526.151056,1,0,763526.004906,132.28250003885478,1.3137295551709354,0.46587705612182617,0.53404301404953,0.46587705612182617,0.53404301404953,True
763526.151056,1,1,763526.1499085,217.37450000364333,1.3601745313407343,0.42986035346984863,0.4980025589466095,0.42986035346984863,0.4980025589466095,True
763526.192476,2,1,763526.1499085,217.37450000364333,1.3601745313407343,0.4307143986225128,0.4998423159122467,0.4307143986225128,0.4998423159122467,True
763526.229546,3,1,763526.1499085,217.37450000364333,1.3601745313407343,0.4314776062965393,0.5014023780822754,0.4314776062965393,0.5014023780822754,True
763526.262035,4,1,763526.1499085,217.37450000364333,1.3601745313407343,0.4319254755973816,0.5021798014640808,0.4319254755973816,0.5021798014640808,True
763526.288711,5,1,763526.1499085,217.37450000364333,1.3601745313407343,0.43208155035972595,0.5025479793548584,0.43208155035972595,0.5025479793548584,True
763526.318438,6,1,763526.1499085,217.37450000364333,1.3601745313407343,0.43191996216773987,0.5022991299629211,0.43191996216773987,0.5022991299629211,True
763526.3502280001,7,1,763526.1499085,217.37450000364333,1.3601745313407343,0.4316975474357605,0.5016081929206848,0.4316975474357605,0.5016081929206848,True
763526.384097,8,1,763526.1499085,217.37450000364333,1.3601745313407343,0.43140649795532227,0.5012179017066956,0.43140649795532227,0.5012179017066956,True
763526.384097,8,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.42296305298805237,0.48681628704071045,0.42296305298805237,0.48681628704071045,True
763526.4203420001,9,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.4221261143684387,0.4866904020309448,0.4221261143684387,0.4866904020309448,True
763526.452398,10,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.4208991825580597,0.48669570684432983,0.4208991825580597,0.48669570684432983,True
763526.4888930001,11,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.4196425676345825,0.48662644624710083,0.4196425676345825,0.48662644624710083,True
763526.5282170001,12,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.41878023743629456,0.4854952394962311,0.41878023743629456,0.4854952394962311,True
763526.5671710001,13,2,763526.3711069999,190.03700010944158,1.3986922542975695,0.4177562892436981,0.4836425185203552,0.4177562892436981,0.4836425185203552,True
763526.753058,19,3,763526.7568814999,90.15600010752678,1.1142061664976521,0.29406628012657166,0.35251399874687195,0.29406628012657166,0.35251399874687195,True
763526.7845800001,20,3,763526.7568814999,90.15600010752678,1.1142061664976521,0.29422545433044434,0.35111770033836365,0.29422545433044434,0.35111770033836365,True
763526.819857,21,3,763526.7568814999,90.15600010752678,1.1142061664976521,0.2942101061344147,0.3496280312538147,0.2942101061344147,0.3496280312538147,True
763526.8517700001,22,3,763526.7568814999,90.15600010752678,1.1142061664976521,0.2937122583389282,0.3483315706253052,0.2937122583389282,0.3483315706253052,True
763526.8839830001,23,4,763526.8712325001,126.08199985697865,1.4390525458791499,0.4191930294036865,0.4810393154621124,0.4191930294036865,0.4810393154621124,True
763526.920178,24,4,763526.8712325001,126.08199985697865,1.4390525458791499,0.41973528265953064,0.47727635502815247,0.41973528265953064,0.47727635502815247,True
763526.9574030001,25,4,763526.8712325001,126.08199985697865,1.4390525458791499,0.41977980732917786,0.4720156788825989,0.41977980732917786,0.4720156788825989,True
763526.994012,26,4,763526.8712325001,126.08199985697865,1.4390525458791499,0.41949838399887085,0.4658147990703583,0.41949838399887085,0.4658147990703583,True
763527.0336340001,27,5,763527.0368659999,156.13300004042685,1.472572361874725,0.4211180508136749,0.48942893743515015,0.4211180508136749,0.48942893743515015,True
763527.071383,28,5,763527.0368659999,156.13300004042685,1.472572361874725,0.4220070242881775,0.48487353324890137,0.4220070242881775,0.48487353324890137,True
763527.1026270001,29,5,763527.0368659999,156.13300004042685,1.472572361874725,0.4229709804058075,0.48119503259658813,0.4229709804058075,0.48119503259658813,True
763527.142169,30,5,763527.0368659999,156.13300004042685,1.472572361874725,0.42379891872406006,0.47887036204338074,0.42379891872406006,0.47887036204338074,True
763527.177915,31,5,763527.0368659999,156.13300004042685,1.472572361874725,0.4246034324169159,0.47769007086753845,0.4246034324169159,0.47769007086753845,True
763527.2138210001,32,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3811102509498596,0.48683032393455505,0.3811102509498596,0.48683032393455505,True
763527.243364,33,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3817498981952667,0.48575714230537415,0.3817498981952667,0.48575714230537415,True
763527.27135,34,6,763527.2270755,217.80650003347546,1.2741954369353017,0.382028728723526,0.48506996035575867,0.382028728723526,0.48506996035575867,True
763527.301646,35,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3822128176689148,0.4841786324977875,0.3822128176689148,0.4841786324977875,True
763527.332213,36,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3826677203178406,0.48339349031448364,0.3826677203178406,0.48339349031448364,True
763527.3607950001,37,6,763527.2270755,217.80650003347546,1.2741954369353017,0.38314902782440186,0.4827881455421448,0.38314902782440186,0.4827881455421448,True
763527.392936,38,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3835710883140564,0.4830254912376404,0.3835710883140564,0.4830254912376404,True
763527.4275890001,39,6,763527.2270755,217.80650003347546,1.2741954369353017,0.3838880658149719,0.48384448885917664,0.3838880658149719,0.48384448885917664,True
