center,time,id_zoom
"(542595.8726239117, 5745117.618488411)",1652360755222,13
"(542429.453140729, 5745052.443154491)",1652360755321,13
"(542429.083015025, 5745052.298201112)",1652360755422,13
"(542429.083015025, 5745052.298201112)",1652360755522,13
"(542429.083015025, 5745052.298201112)",1652360755623,13
"(542429.083015025, 5745052.298201112)",1652360755728,13
"(542429.083015025, 5745052.298201112)",1652360755825,13
"(542429.083015025, 5745052.298201112)",1652360755922,13
"(542429.083015025, 5745052.298201112)",1652360756022,13
"(541581.0277753986, 5744964.914390639)",1652360756122,13
"(541268.2215079146, 5744932.68275959)",1652360756222,13
"(540947.0515866186, 5744959.741578646)",1652360757521,14
"(540707.1181554578, 5744983.062914193)",1652360757622,14
"(561384.9908221103, 5995274.908649227)",1652360765922,15
"(561450.0271473755, 5995944.295988017)",1652360766022,15
"(561461.2384459707, 5996059.688444469)",1652360766122,15
"(560679.2311332353, 5995305.158617826)",1652360768622,16
"(560648.834152229, 5994926.969790672)",1652360768723,16
"(560643.0489948604, 5994854.992844026)",1652360768823,16
"(561399.5326274377, 5995033.754886126)",1652360772423,17
"(561447.9105523705, 5994770.935223223)",1652360772523,17
"(561456.8699653044, 5994722.261992812)",1652360772622,17
"(561938.0828927254, 5992889.8047588095)",1652360781523,18
"(562035.4025324952, 5992928.132882089)",1652360781621,18
"(562460.7966495225, 5994512.501427229)",1652360785726,19
"(562483.1188919446, 5994396.970624637)",1652360785828,19
"(562377.0657284397, 5993933.250728657)",1652360792621,20
"(562309.8376289889, 5994016.997046493)",1652360792722,20
"(562292.0396283072, 5994039.168088574)",1652360792821,20
"(560187.0591748586, 5993715.637825546)",1652360794321,21
"(559999.4877923505, 5993724.22166707)",1652360794422,21
"(559949.0527343631, 5993726.529729949)",1652360794521,21
"(559763.1416132126, 5993739.266486467)",1652360794622,21
"(559500.1666201958, 5993757.340753379)",1652360794722,21
"(559453.4186012901, 5993760.553743943)",1652360794821,21
"(558642.0193841849, 5994941.362355286)",1652360796321,22
"(558847.3556918338, 5994535.254868347)",1652360796422,22
"(559567.621110984, 5994062.482018893)",1652360797821,23
"(559684.3611874427, 5993917.053656897)",1652360797922,23
"(559695.8310644331, 5993774.790532998)",1652360800722,24
"(559698.9841724124, 5993580.545915299)",1652360800821,24
"(559699.5353039731, 5993546.593909837)",1652360800921,24
