center,time,id_zoom
"(260262.3264003025, 6255335.310474343)",1652705431413,0
"(260235.39624011453, 6255332.335304611)",1652705431542,0
"(260232.80753202777, 6255332.04931129)",1652705431633,0
"(260232.8044652994, 6255332.048972486)",1652705431713,0
"(260232.8044652994, 6255332.048972486)",1652705431813,0
"(260225.27368705167, 6255331.164060138)",1652705431912,0
"(260168.106180114, 6255324.446529611)",1652705432031,0
"(260160.54628710856, 6255323.558196103)",1652705432128,0
"(259659.1277051618, 6246717.331122144)",1652705458413,1
"(259665.01728010722, 6246710.703284504)",1652705458513,1
"(259667.55252550598, 6246732.697624862)",1652705465617,2
"(259661.27308177034, 6246733.01827597)",1652705465716,2
"(259660.2048229241, 6246733.07282513)",1652705465814,2
"(259533.48626650515, 6246745.749053194)",1652705482513,3
"(259522.94464865833, 6246729.758543684)",1652705482612,3
"(259636.023164308, 6246741.008725993)",1652705492515,4
"(259617.27246237046, 6246746.49348289)",1652705492613,4
"(259613.7422923746, 6246747.526090858)",1652705492712,4
"(273601.52582828887, 6250784.729550506)",1652705511513,5
"(273572.58602117916, 6250761.914186543)",1652705511614,5
"(273564.75695610855, 6250755.741962643)",1652705511714,5
"(273564.65954377817, 6250755.665165387)",1652705511814,5
"(273564.65954377817, 6250755.665165387)",1652705511913,5
"(273564.65954377817, 6250755.665165387)",1652705512014,5
"(273564.65954377817, 6250755.665165387)",1652705512114,5
"(273521.6436801848, 6250721.77397748)",1652705512213,5
"(273462.60420981824, 6250675.258166404)",1652705512313,5
"(273451.93359099206, 6250666.851036627)",1652705512414,5
"(273280.7580264359, 6250532.426771851)",1652705515213,6
"(273228.3662276833, 6250491.283479154)",1652705515313,6
"(256185.41177658865, 6255826.963086847)",1652705550813,7
"(256168.8962946005, 6255816.261365343)",1652705550914,7
"(256167.1597078427, 6255815.136089806)",1652705551013,7
"(256167.1597078427, 6255815.136089806)",1652705551113,7
"(256167.1597078427, 6255815.136089806)",1652705551213,7
"(256100.5125420897, 6255771.556054498)",1652705551314,7
"(256077.1352359601, 6255756.269825668)",1652705551413,7
"(255821.51039243184, 6255551.485458046)",1652705565514,8
"(256022.99569005813, 6255565.943834045)",1652705565613,8
"(256076.42142021825, 6255569.7776090335)",1652705565713,8
"(257230.07115102623, 6255971.4790734835)",1652705581314,9
"(257152.5665416053, 6255936.965141046)",1652705581413,9
"(257133.20399213672, 6255928.342715499)",1652705581513,9
"(540424.0713984002, 5744596.66137258)",1652705599013,10
"(542956.9936397631, 5742205.62844557)",1652705599113,10
"(543655.9952398555, 5741545.78353815)",1652705599214,10
"(544468.8121241232, 5743349.744795526)",1652705605414,11
"(547515.8113019115, 5743765.772831718)",1652705605514,11
"(550343.679170498, 5744172.08350116)",1652705605614,11
"(551083.9183391408, 5744278.441749188)",1652705605713,11
"(551114.8425125444, 5744282.8849630095)",1652705605814,11
"(549240.8501850893, 5744018.061170097)",1652705605914,11
"(548583.5245234732, 5743925.170995289)",1652705606014,11
"(539705.4836737305, 5745521.384528057)",1652705617014,12
"(541088.4220804054, 5745561.576449133)",1652705617114,12
"(541302.8622371516, 5745567.808658619)",1652705617214,12
"(541996.857983721, 5746396.445284693)",1652705619713,13
"(543237.0839523057, 5746745.014528829)",1652705619814,13
"(543482.432648059, 5746813.970518781)",1652705619914,13
"(544487.4860699828, 5747483.579671663)",1652705621313,14
"(544870.3802789375, 5747525.156798391)",1652705621413,14
"(544658.9756906169, 5747502.002883073)",1652705622813,15
"(543938.7770732108, 5747423.227506792)",1652705622913,15
"(543782.0237131534, 5747406.081813059)",1652705623013,15
"(541862.5733292726, 5747188.777067889)",1652705624212,16
"(541527.8723990931, 5747150.883614148)",1652705624313,16
"(545875.5166686022, 5742893.674689851)",1652705645013,17
"(545485.8680322195, 5743220.91136045)",1652705645113,17
"(551059.907827301, 5749757.144338654)",1652705653114,18
"(556520.9411967532, 5749185.146799183)",1652705653212,18
"(558837.0160478655, 5749038.87330485)",1652705653313,18
"(560650.9500371427, 5748986.437792972)",1652705653413,18
"(560973.4058701167, 5748977.116540512)",1652705653513,18
"(559835.3413508617, 5749117.615436771)",1652705655314,19
"(558277.1482556362, 5749085.179957473)",1652705655412,19
"(553852.2714905086, 5749040.943216581)",1652705655513,19
"(543466.7576879946, 5748999.010826515)",1652705655613,19
"(540741.6985238999, 5748988.008169739)",1652705655714,19
"(540831.5638595269, 5753203.227264865)",1652705657113,20
"(544171.8564747856, 5754275.999407824)",1652705657213,20
"(544807.1491981352, 5754480.030735236)",1652705657313,20
"(535545.6579413934, 5743012.441803998)",1652705660719,21
"(537716.0890306421, 5742944.757496489)",1652705660823,21
"(537946.5217119603, 5742937.571515538)",1652705660922,21
"(537532.4209266329, 5745501.972267727)",1652705662213,22
"(538456.832356737, 5745333.470199977)",1652705662313,22
"(538595.7222284044, 5745308.153301243)",1652705662414,22
"(538835.6188742252, 5745407.236724995)",1652705663713,23
"(539094.0372731168, 5745364.909406675)",1652705663814,23
"(561512.3048333398, 5994659.200873888)",1652705673913,24
"(561821.7188956002, 5994391.827394184)",1652705674014,24
"(561881.3379556849, 5994340.308870963)",1652705674114,24
"(559349.205722815, 5994985.180108516)",1652705675613,25
"(559940.0269696192, 5994596.147932317)",1652705675713,25
"(560068.0286217002, 5994511.863960583)",1652705675812,25
"(559947.4233172514, 5995159.20437121)",1652705681816,26
"(560678.0441801457, 5995079.859619452)",1652705681914,26
"(560884.0593316124, 5995057.486564039)",1652705682014,26
"(559243.9549502627, 5993728.936524456)",1652705688714,27
"(559472.8231652359, 5993624.586280801)",1652705688814,27
"(559747.1736447612, 5993933.507801406)",1652705692818,28
"(559802.5008874679, 5993915.861108707)",1652705692914,28
"(559995.466554373, 5994128.110459417)",1652705700015,29
"(560023.8344668298, 5994064.068622269)",1652705700115,29
"(139876.12511943784, 5752312.721530854)",1652705712113,30
"(139609.8472657433, 5751952.2609213)",1652705712213,30
"(139460.50960901345, 5751746.707726086)",1652705712313,30
"(139389.59879901493, 5751650.074015037)",1652705712414,30
"(139340.36155082902, 5751586.219554004)",1652705712514,30
"(139329.52410923166, 5751572.164767888)",1652705712613,30
"(139561.68901907976, 5751957.8074767385)",1652705714015,31
"(139587.56911832507, 5752077.930573991)",1652705714113,31
"(139431.57690624485, 5752110.812465214)",1652705719813,32
"(139609.1615496527, 5751937.6064778995)",1652705719914,32
"(139665.72500046325, 5751882.437696662)",1652705720014,32
"(138687.80963898805, 5752289.989688278)",1652705722815,33
"(138334.42969988723, 5752456.007271878)",1652705722918,33
"(138282.15468656944, 5752480.566027013)",1652705723017,33
"(138222.46740150097, 5752508.908852184)",1652705723114,33
"(136938.34434430787, 5753118.681524321)",1652705723214,33
"(136615.2686581852, 5753272.095734375)",1652705723314,33
"(136703.65274025896, 5753640.890231315)",1652705724913,34
"(138015.70351406856, 5753241.056412982)",1652705725013,34
"(138594.22993867713, 5753062.347287015)",1652705725114,34
"(139125.70740904965, 5752896.527315346)",1652705725214,34
"(139221.22896112257, 5752866.724770663)",1652705725313,34
"(139552.38639962173, 5752761.982495188)",1652705725413,34
"(139671.68142052746, 5752724.25049678)",1652705725513,34
"(139734.74195398245, 5752757.501930349)",1652705728915,35
"(139930.43641400503, 5752672.10357321)",1652705729015,35
"(139974.9840403721, 5752652.663604875)",1652705729113,35
"(139977.8232797165, 5752651.424600074)",1652705729213,35
"(140070.90014072016, 5752612.427138417)",1652705729314,35
"(140118.87490214084, 5752592.326611832)",1652705729413,35
"(-185185.95966980446, 6124945.350071077)",1652705745114,36
"(-185337.63036501867, 6125049.317835869)",1652705745215,36
"(-185365.96504074597, 6125068.740789639)",1652705745314,36
"(-185396.19107932565, 6125099.843207092)",1652705747415,37
"(-185440.83673699983, 6125145.8162240265)",1652705747514,37
"(-185448.88159544964, 6125154.100264021)",1652705747614,37
"(-185323.1962692044, 6125470.5009027375)",1652705750514,38
"(-185142.55712902587, 6125415.122799438)",1652705750614,38
"(-185103.90892496824, 6125403.274513211)",1652705750714,38
"(-185824.7015113357, 6125307.685159466)",1652705756018,39
"(-185629.74791643454, 6125177.948059609)",1652705756114,39
"(-185571.8257923344, 6125139.402228217)",1652705756213,39
"(-185562.99717699562, 6125133.955442531)",1652705756314,39
"(-185395.66503346898, 6125031.81759912)",1652705756414,39
"(-185353.47474529056, 6125006.065075088)",1652705756514,39
"(-185352.1125873066, 6125005.233627669)",1652705756614,39
"(-185326.6627717533, 6124990.157933096)",1652705756714,39
"(-185247.73667478265, 6124943.404520315)",1652705756817,39
"(-185237.31610870617, 6124937.231694774)",1652705756914,39
"(-185237.11739701737, 6124937.11398403)",1652705757014,39
"(-185237.11739701737, 6124937.11398403)",1652705757113,39
"(-185224.55131035176, 6124929.865559445)",1652705757213,39
"(-185183.5468432681, 6124906.213184984)",1652705757313,39
"(-185174.6751315862, 6124901.095765793)",1652705757413,39
"(235971.952860077, 6352079.047607274)",1652705777114,40
"(234150.54209644164, 6350600.7367442865)",1652705777215,40
"(233778.09676400703, 6350298.449093527)",1652705777314,40
"(233774.79532202455, 6350295.769545539)",1652705777418,40
"(233774.79532202455, 6350295.769545539)",1652705777518,40
"(233774.79532202455, 6350295.769545539)",1652705777618,40
"(233774.79532202455, 6350295.769545539)",1652705777717,40
"(233774.79532202455, 6350295.769545539)",1652705777815,40
"(233014.47714049017, 6349682.385574331)",1652705777920,40
"(232446.4555571227, 6349224.13619532)",1652705778017,40
"(232307.56808546532, 6349112.08922474)",1652705778117,40
"(230245.16148123937, 6350110.913599447)",1652705780014,41
"(230810.06996492663, 6349504.222381353)",1652705780115,41
"(230904.62427854183, 6349402.674478711)",1652705780214,41
"(230823.2609220572, 6349484.2000469845)",1652705781815,42
"(231142.72969247558, 6349147.832793695)",1652705781915,42
"(230964.89576764047, 6347854.423822501)",1652705788314,43
"(231462.2375702121, 6347730.060310599)",1652705788414,43
"(231529.6563524211, 6347713.201811112)",1652705788514,43
"(231529.6563524211, 6347713.201811112)",1652705788613,43
"(231529.6563524211, 6347713.201811112)",1652705788715,43
"(231529.6563524211, 6347713.201811112)",1652705788813,43
"(231529.6563524211, 6347713.201811112)",1652705788920,43
"(231529.6563524211, 6347713.201811112)",1652705789014,43
"(231529.6563524211, 6347713.201811112)",1652705789114,43
"(231529.6563524211, 6347713.201811112)",1652705789214,43
"(231580.31258330727, 6347700.705411332)",1652705789314,43
"(231928.74168464105, 6347614.751338766)",1652705789415,43
"(232013.687537317, 6347593.796022585)",1652705789515,43
"(231892.4259095121, 6347778.915711013)",1652705793615,44
"(232067.4183984575, 6347758.681397015)",1652705793715,44
"(232113.0371943635, 6347753.406513241)",1652705793813,44
"(539990.4087680198, 5743900.263605405)",1652705808815,45
"(539427.3700366426, 5742852.499920696)",1652705808915,45
"(539327.2808800382, 5742666.24313643)",1652705809015,45
"(539002.339010082, 5742042.484385906)",1652705810117,46
"(538831.1603929303, 5741713.883989317)",1652705810214,46
"(538173.4210023318, 5742091.975008495)",1652705811836,47
"(538272.2656950234, 5741814.692174282)",1652705811918,47
"(533707.9215699869, 5737173.039410164)",1652705816114,48
"(534934.3127836975, 5736594.262227292)",1652705816214,48
"(535189.131966594, 5736474.004085217)",1652705816314,48
"(535349.2679327897, 5736581.111964776)",1652705818330,49
"(535544.01868913, 5736530.86831006)",1652705818413,49
"(534936.3984337692, 5737357.067590845)",1652705822614,50
"(535132.5118629073, 5737303.06385541)",1652705822715,50
"(535284.8429902513, 5737260.978368122)",1652705822815,50
"(535313.8346701693, 5737252.9686527215)",1652705822914,50
"(535280.2583313771, 5737269.005252943)",1652705826513,51
"(535135.8921466148, 5737337.854657374)",1652705826614,51
"(535102.3595524422, 5737353.84662351)",1652705826714,51
"(535101.7258450891, 5737354.148843687)",1652705826814,51
"(535101.7258450891, 5737354.148843687)",1652705826914,51
"(535101.7258450891, 5737354.148843687)",1652705827015,51
"(535101.7258450891, 5737354.148843687)",1652705827114,51
"(534822.0744853389, 5737488.074428219)",1652705827216,51
"(534690.5541631097, 5737551.059768424)",1652705827314,51
"(535023.0008942686, 5737289.848727504)",1652705842215,52
"(535207.3757323786, 5737177.704442457)",1652705842316,52
"(534747.9038717875, 5737120.333965365)",1652705859314,53
"(534767.0839451472, 5737240.159228729)",1652705859415,53
"(534771.5389885303, 5737267.991590819)",1652705859515,53
"(535189.6220097871, 5737153.685269285)",1652705862019,54
"(535240.837286371, 5737108.687753585)",1652705862116,54
"(535110.1969453564, 5737144.444302473)",1652705870715,55
"(535103.1282993793, 5737131.179680908)",1652705870816,55
"(535101.9604926208, 5737128.988240741)",1652705870914,55
