center,time,id_zoom
"(260279.75640586234, 6255335.493010646)",1652707638483,0
"(260241.0299966799, 6255332.519115046)",1652707638565,0
"(260139.54439018405, 6255324.69422092)",1652707638666,0
"(260089.5398014912, 6255320.838035977)",1652707638762,0
"(260084.5469021835, 6255320.453000452)",1652707638861,0
"(260084.5469021835, 6255320.453000452)",1652707638966,0
"(260084.5469021835, 6255320.453000452)",1652707639061,0
"(259899.64856261844, 6255306.460931992)",1652707639172,0
"(259821.8806038479, 6255300.575889403)",1652707639261,0
"(259836.79932384068, 6255301.778463748)",1652707641559,1
"(260024.96373835293, 6255316.590809934)",1652707641662,1
"(260071.4568970633, 6255320.25076213)",1652707641758,1
"(260087.96886801082, 6255495.983563659)",1652707653758,2
"(259889.9606576397, 6255421.321193822)",1652707653858,2
"(259836.67142107052, 6255401.227579109)",1652707653980,2
"(259651.9228731598, 6246724.937903764)",1652707661958,3
"(259639.26111460687, 6246731.148031287)",1652707662059,3
"(259636.02651922923, 6246732.734481518)",1652707662161,3
"(259621.9761408965, 6246737.816930202)",1652707663658,4
"(259614.27807864716, 6246740.599709912)",1652707663758,4
"(259554.4033401548, 6246782.777082314)",1652707665259,5
"(259536.2139654674, 6246786.132018771)",1652707665358,5
"(259534.83363818994, 6246786.386613026)",1652707665458,5
"(259534.83363818994, 6246786.386613026)",1652707665559,5
"(259534.83363818994, 6246786.386613026)",1652707665660,5
"(259531.99178778566, 6246786.428287992)",1652707665758,5
"(259440.23560626374, 6246787.773867521)",1652707665859,5
"(259416.31568522498, 6246788.1246466795)",1652707665959,5
"(259300.44791664058, 6246769.143936473)",1652707667258,6
"(259206.43341867486, 6246753.619843306)",1652707667358,6
"(273614.9632372704, 6250792.507216738)",1652707673957,7
"(273609.8424480939, 6250786.094142511)",1652707674059,7
"(273598.79886660364, 6250766.565562435)",1652707675660,8
"(273588.6193689234, 6250748.21267819)",1652707675758,8
"(273586.8734080887, 6250745.064839456)",1652707675858,8
"(273402.40506587824, 6250753.251049758)",1652707677358,9
"(273391.4824252781, 6250717.99865375)",1652707677461,9
"(273389.47765119805, 6250711.528323694)",1652707677557,9
"(273306.5946405887, 6250649.347889942)",1652707679062,10
"(273263.69018964766, 6250617.198006566)",1652707679158,10
"(273261.5256244679, 6250743.034066136)",1652707680958,11
"(273018.6225120622, 6250655.870216064)",1652707681058,11
"(272955.86398006446, 6250633.349815977)",1652707681158,11
"(273040.7377645506, 6251272.673819471)",1652707682558,12
"(272795.4766831605, 6251366.483510478)",1652707682658,12
"(272750.2805991541, 6251383.770520107)",1652707682758,12
"(272248.4938459971, 6250386.722081499)",1652707684658,13
"(271852.17038721684, 6250208.204075595)",1652707684758,13
"(271798.53432234196, 6250184.044508116)",1652707684857,13
"(271798.53432234196, 6250184.044508116)",1652707684958,13
"(271798.53432234196, 6250184.044508116)",1652707685058,13
"(271266.36387089, 6249947.520842976)",1652707685159,13
"(270047.8501130039, 6249405.95124013)",1652707685258,13
"(269764.59454473364, 6249280.058032426)",1652707685358,13
"(270650.39630935935, 6249675.916506499)",1652707686658,14
"(271625.60218536214, 6250111.720520928)",1652707686757,14
"(271779.4089211886, 6250180.454307884)",1652707686859,14
"(256211.34051454233, 6255845.968507912)",1652707690857,15
"(256208.3534081789, 6255848.149118889)",1652707690958,15
"(256207.76994525437, 6255848.575051381)",1652707691058,15
"(256208.45235115846, 6255860.344011571)",1652707694258,16
"(256208.74383604887, 6255865.347602445)",1652707694358,16
"(256207.95190548958, 6255872.469972434)",1652707697557,17
"(256205.83439971806, 6255889.957172184)",1652707697659,17
"(256205.39672194308, 6255893.571688273)",1652707697759,17
"(256206.9527338225, 6255901.5827334225)",1652707699159,18
"(256215.6273333505, 6255945.890156079)",1652707699258,18
"(256217.7047980141, 6255956.50126321)",1652707699358,18
"(256214.72264722583, 6255953.60115249)",1652707701657,19
"(256149.90553091414, 6255886.415127742)",1652707701758,19
"(256133.15882467496, 6255869.056369997)",1652707701858,19
"(546147.4535445604, 5745667.828265276)",1652707708162,20
"(549966.7005365295, 5746344.712894534)",1652707708258,20
"(551282.8256007585, 5746577.969562152)",1652707708361,20
"(552038.2366015619, 5746696.693558609)",1652707708458,20
"(553331.6896960882, 5746897.92164806)",1652707708558,20
"(553998.4883432409, 5747002.0113280155)",1652707708658,20
"(554368.0415465068, 5746035.550140869)",1652707713858,21
"(554464.4765093178, 5746073.930520198)",1652707713960,21
"(553668.5845520506, 5745910.237487776)",1652707716059,22
"(553094.6911785379, 5745782.37470206)",1652707716159,22
"(552566.5815709976, 5745662.837646764)",1652707716259,22
"(552469.4589849422, 5745640.854051363)",1652707716359,22
"(552469.3455736608, 5745640.828380838)",1652707716458,22
"(552469.3455736608, 5745640.828380838)",1652707716558,22
"(551593.2641383123, 5745417.502009041)",1652707716659,22
"(550941.4551462983, 5745251.346065748)",1652707716758,22
"(538269.821372407, 5743280.922696858)",1652707720760,23
"(538777.8885872379, 5744093.6605063025)",1652707720861,23
"(538898.8836194369, 5744287.212135994)",1652707720960,23
"(538901.7730530415, 5744291.834264465)",1652707721060,23
"(538901.7730530415, 5744291.834264465)",1652707721165,23
"(538901.7730530415, 5744291.834264465)",1652707721258,23
"(538901.7730530415, 5744291.834264465)",1652707721358,23
"(538994.3886457466, 5744389.138531844)",1652707721460,23
"(539278.7932390786, 5744687.941139325)",1652707721561,23
"(539339.7206894584, 5744751.953048652)",1652707721661,23
"(539340.4787729424, 5744752.749510197)",1652707721759,23
"(539340.4787729424, 5744752.749510197)",1652707721861,23
"(539340.4787729424, 5744752.749510197)",1652707721960,23
"(539340.4787729424, 5744752.749510197)",1652707722059,23
"(539340.4787729424, 5744752.749510197)",1652707722158,23
"(539477.6872007126, 5744817.823757327)",1652707722260,23
"(539680.7869199233, 5744914.148462266)",1652707722360,23
"(539717.4015708175, 5744931.513801113)",1652707722460,23
"(565605.0053860815, 5995132.277858748)",1652707732058,24
"(568448.2258941301, 5995348.1809387915)",1652707732159,24
"(561476.4999186835, 5994656.452780612)",1652707736459,25
"(561000.2593189095, 5994693.38596441)",1652707736558,25
"(560893.107843437, 5994701.695724518)",1652707736659,25
"(560445.6348854944, 5997157.170795751)",1652707739358,26
"(560619.6799058826, 5997246.822545605)",1652707739459,26
"(560302.5555873736, 5997082.694986799)",1652707739558,26
"(560220.62062782, 5997040.289582649)",1652707739657,26
"(560217.8521397457, 5997038.856752802)",1652707739759,26
"(560217.8521397457, 5997038.856752802)",1652707739858,26
"(560217.8521397457, 5997038.856752802)",1652707739958,26
"(560217.8521397457, 5997038.856752802)",1652707740058,26
"(560217.8521397457, 5997038.856752802)",1652707740158,26
"(560217.8521397457, 5997038.856752802)",1652707740258,26
"(560476.3658199623, 5997099.784640507)",1652707740358,26
"(560569.7687900267, 5997121.798352378)",1652707740458,26
"(560524.8965434341, 5997436.28235988)",1652707743559,27
"(560718.353616334, 5997341.463837351)",1652707743658,27
"(560754.1811513822, 5997323.903797346)",1652707743758,27
"(560723.2464731056, 5997332.200794103)",1652707745458,28
"(560509.5676404233, 5997389.711503219)",1652707745557,28
"(560457.3748251331, 5997403.758967726)",1652707745658,28
"(559290.8418687499, 5994090.471303353)",1652707751558,29
"(559586.2957326841, 5994152.22276013)",1652707751658,29
"(559638.6677778962, 5994163.168801054)",1652707751759,29
"(559638.8092064742, 5994163.198360393)",1652707751858,29
"(559638.8092064742, 5994163.198360393)",1652707751958,29
"(559638.8092064742, 5994163.198360393)",1652707752059,29
"(559638.8092064742, 5994163.198360393)",1652707752159,29
"(559691.6366159623, 5994136.655794518)",1652707752258,29
"(559843.1664792986, 5994060.521238263)",1652707752359,29
"(559877.055155547, 5994043.494235984)",1652707752459,29
"(559964.4085964254, 5993876.764926016)",1652707753759,30
"(560002.1009426197, 5993873.883412633)",1652707753858,30
"(140190.88141702043, 5752774.550200736)",1652707758559,31
"(139891.02466653756, 5753137.609583791)",1652707758658,31
"(139815.58296734982, 5753228.952589141)",1652707758759,31
"(139812.97932087595, 5753232.105022031)",1652707758858,31
"(139812.46483462636, 5753234.526265877)",1652707758958,31
"(139779.0466866457, 5753391.796718119)",1652707759059,31
"(139770.25762804842, 5753433.159250272)",1652707759159,31
"(139891.0017625441, 5753494.847522172)",1652707760459,32
"(140015.96342427758, 5753556.945233328)",1652707760559,32
"(140035.0483793501, 5753566.42919834)",1652707760659,32
"(140035.04946526504, 5753566.429737967)",1652707760759,32
"(140035.04946526504, 5753566.429737967)",1652707760858,32
