# timestamps [seconds],pts
150866.506974,1281540
150866.645502,1290619
150866.762945,1298315
150866.879584,1305959
150867.022407,1315319
150867.180531,1325682
150867.314576,1334466
150867.421797,1341493
150867.520601,1347968
150867.620544,1354518
150867.715455,1360738
150867.822973,1367784
150867.932496,1374962
150868.036157,1381755
150868.135621,1388274
150868.249049,1395707
150868.368874,1403560
150868.529140,1414063
150868.650402,1422010
150868.756785,1428982
150868.872465,1436563
150868.987763,1444119
150869.124283,1453066
150869.239151,1460594
150869.348276,1467745
150869.442389,1473913
150869.552997,1481161
150869.660896,1488233
150869.753212,1494282
150869.914593,1504859
150870.068709,1514959
150870.161487,1521039
150870.296882,1529912
150870.416167,1537729
150870.517179,1544349
150870.609837,1550421
150870.735087,1558630
150870.856624,1566595
150870.972367,1574180
150871.125506,1584216
150871.334441,1597908
150871.458846,1606061
150871.570379,1613371
150871.667643,1619745
150871.776014,1626847
150871.913235,1635840
150872.019474,1642802
150872.124655,1649695
150872.208920,1655217
150872.371718,1665886
150872.586088,1679935
150872.778608,1692552
150872.941040,1703197
150873.082189,1712447
150873.204710,1720476
150873.330127,1728696
150873.461344,1737295
150873.585274,1745417
150873.756644,1756647
150873.909926,1766693
150874.049451,1775837
150874.179807,1784379
150874.281571,1791049
150874.381904,1797624
150874.474327,1803681
150874.597785,1811772
150874.702528,1818636
150874.794221,1824645
150874.897671,1831425
150875.002546,1838298
150875.126758,1846438
150875.283722,1856724
150875.421601,1865760
150875.541113,1873593
150875.669504,1882007
150875.795412,1890258
150875.900427,1897140
150875.996392,1903429
150876.087849,1909423
150876.190529,1916152
150876.285608,1922383
150876.410403,1930562
150876.528248,1938284
150876.639080,1945548
150876.788331,1955329
150876.915673,1963674
150877.034078,1971434
150877.131866,1977843
150877.235849,1984657
150877.313718,1989760
150877.403889,1995670
150877.500688,2002013
150877.608824,2009100
150877.708291,2015619
150877.813948,2022543
150877.920114,2029500
150878.028782,2036622
150878.141467,2044007
150878.251416,2051212
150878.367769,2058837
150878.479926,2066188
150878.591921,2073527
150878.730263,2082594
150878.838273,2089672
150878.944710,2096647
150879.039198,2102840
150879.159598,2110730
150879.310945,2120649
150879.438806,2129028
150879.573153,2137832
150879.691679,2145600
150879.855654,2156346
150879.994804,2165465
150880.104146,2172631
150880.224144,2180495
150880.359068,2189337
150880.469623,2196582
150880.580167,2203827
150880.702522,2211846
150880.827216,2220017
150880.949681,2228043
150881.117309,2239029
150881.252473,2247887
150881.383589,2256479
150881.532928,2266266
150881.671834,2275369
150881.795913,2283501
150881.918412,2291529
150882.082984,2302314
150882.255065,2313591
150882.410347,2323768
150882.596372,2335959
