x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
259590.4672055441,1655819969710,260088.50221796453,1655819970809,1099,1
260088.50221796453,1655819972322,259478.20032025015,1655819974409,2087,1
256752.53826750905,1655819987609,256766.87021031257,1655819988609,1000,1
256766.87021031257,1655819990409,255582.0962718923,1655819990710,301,1
255582.0962718923,1655819991910,257932.5348916615,1655819992217,307,1
257932.5348916615,1655819994010,257602.9002071817,1655819994317,307,1
259238.58760312805,1655820008911,259148.41579632292,1655820009310,399,2
259148.41579632292,1655820010410,259022.4141325092,1655820010710,300,2
259022.4141325092,1655820011611,258595.44166982247,1655820013210,1599,2
258595.44166982247,1655820014413,259086.31071084127,1655820019418,5005,2
258722.65517902217,1655820020310,258936.4399925072,1655820021515,1205,2
258936.4399925072,1655820022810,258986.60179231933,1655820024510,1700,2
258986.60179231933,1655820027521,259066.6218063053,1655820027911,390,2
259066.6218063053,1655820030816,258907.7761069003,1655820031211,395,2
257939.2106727369,1655820035811,258111.1939863784,1655820036411,600,2
258111.1939863784,1655820038710,256866.7036196104,1655820040011,1301,2
256866.7036196104,1655820041311,257093.626047332,1655820041910,599,2
257093.626047332,1655820046616,257227.39084683103,1655820046818,202,2
257227.39084683103,1655820048115,257439.9813317492,1655820048411,296,2
257439.9813317492,1655820051416,256928.8087050921,1655820051612,196,2
256928.8087050921,1655820054010,257017.18901904672,1655820054511,501,2
257017.18901904672,1655820056810,257671.68107373847,1655820057724,914,2
254390.0125588773,1655820096710,255023.00669936396,1655820097110,400,4
255023.00669936396,1655820098113,255522.2360403515,1655820098411,298,4
253936.5841578431,1655820100310,253038.4490754923,1655820101017,707,4
253036.4585386921,1655820105210,253003.01733881736,1655820105910,700,4
538410.0450472488,1655820138214,536374.9091691559,1655820139610,1396,5
538029.2736883214,1655820140511,537403.445519237,1655820141010,499,5
551300.543180135,1655820163611,550345.0803265703,1655820164410,799,6
559099.7869875939,1655820165311,559204.8879014859,1655820165710,399,6
550333.562498494,1655820170124,547658.266508513,1655820171011,887,6
558325.9312052982,1655820196410,558266.2147769504,1655820197911,1501,6
558266.2147769504,1655820200211,558268.6034340843,1655820200313,102,6
558268.6034340843,1655820201911,558242.3282056113,1655820202210,299,6
558242.3282056113,1655820205115,558404.7568907172,1655820207110,1995,6
559688.3477209052,1655820208510,559654.9065210302,1655820208810,300,6
137544.3852594303,1655820228411,137420.17508846696,1655820228710,299,7
139632.71829214363,1655820235313,139613.60903507235,1655820235611,298,7
-189944.51922478652,1655820251721,-191024.19224931463,1655820252010,289,8
-196650.37239293416,1655820257410,-195599.3632540129,1655820257710,300,8
-187909.3833466936,1655820270711,-190011.401624536,1655820271313,602,8
207526.6880213603,1655820305610,209475.83224263228,1655820306311,701,9
516237.7982567744,1655820351010,516084.924200204,1655820351811,801,10
532981.3709086718,1655820352311,537357.3907779983,1655820352811,500,10
534276.3276941935,1655820353412,529384.3578839423,1655820354010,598,10
532412.870510801,1655820354411,532021.1307408398,1655820355011,600,10
532021.1307408398,1655820356610,531820.4835415913,1655820356810,200,10
534084.7781950688,1655820359711,534782.266078171,1655820359910,199,10
534782.266078171,1655820362711,533583.1601969474,1655820362910,199,10
533583.1601969474,1655820363910,533344.2944835564,1655820364214,304,10
533344.2944835564,1655820365820,533716.9249964464,1655820366111,291,10
533716.9249964464,1655820367110,533306.0759694139,1655820367410,300,10
533306.0759694139,1655820373210,533401.6222547702,1655820374310,1100,10
534846.6302551772,1655820386110,534192.1382004854,1655820386410,300,10
534192.1382004854,1655820387411,533941.3292014248,1655820387616,205,10
