x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
260127.87491897863,1655713339028,260157.434551011,1655713339827,799,1
259544.2336897961,1655713342327,259613.50474667945,1655713342628,301,1
235069.6766239151,1655713350029,238241.8132977498,1655713350827,798,1
238241.8132977498,1655713351733,248866.56022939063,1655713353927,2194,1
248866.56022939063,1655713356442,237859.62815632412,1655713357832,1390,1
253250.48692069552,1655713375434,253355.5878345876,1655713376340,906,2
246290.22030157963,1655713378530,246347.54807279355,1655713378732,202,2
246347.54807279355,1655713379830,246653.29618593445,1655713380730,900,2
243593.51324011915,1655713426933,244854.72420682505,1655713427945,1012,4
531087.6173011911,1655713474633,531928.4246123281,1655713475443,810,5
539832.5211437359,1655713481934,539574.5461732736,1655713482234,300,5
539574.5461732736,1655713485634,537376.9816100757,1655713486934,1300,5
537376.9816100757,1655713489639,537138.1158966847,1655713490134,495,5
550037.387677085,1655713510136,549559.656250303,1655713510634,498,6
557401.8298610835,1655713517536,557311.060889995,1655713517833,297,6
559318.1831068012,1655713521738,559320.5717639353,1655713521934,196,6
137028.91196739295,1655713535342,137057.57585299987,1655713536234,892,7
139357.14130203257,1655713545135,139351.1696591978,1655713545336,201,7
138617.15304300663,1655713552935,138612.3757287388,1655713554836,1901,7
139431.18967318386,1655713556737,139439.54997315255,1655713557435,698,7
-206889.28934138743,1655713567134,-209832.1149303667,1655713567935,801,8
-193513.0098043488,1655713571542,-194678.67448569776,1655713572735,1193,8
-195084.7461984628,1655713574341,-190804.2726144929,1655713575936,1595,8
-197271.0968907476,1655713576539,-195264.6248982616,1655713577335,796,8
-190445.9740444061,1655713580337,-189347.1917628064,1655713585635,5298,8
-189347.1917628064,1655713587338,-189700.71301862536,1655713588135,797,8
-187635.354218981,1655713593036,-187649.68616178448,1655713593135,99,8
226878.44993218323,1655713614442,226696.9119900059,1655713614736,294,9
229379.8649319005,1655713625035,229370.31030336488,1655713625136,101,9
229370.31030336488,1655713631137,229656.9491594343,1655713631736,599,9
226768.5717040232,1655713633538,226558.36987623895,1655713634236,698,9
231733.0604441874,1655713642238,231668.56670157184,1655713643537,1299,9
231668.56670157184,1655713647537,231642.29147309883,1655713647735,198,9
231642.29147309883,1655713649938,231616.01624462585,1655713650936,998,9
531245.3291578286,1655713691236,531082.9004727227,1655713692037,801,10
534452.0860710498,1655713694037,534612.1260990218,1655713694338,301,10
534612.1260990218,1655713695745,534659.8992417,1655713695938,193,10
534659.8992417,1655713698848,534421.033528309,1655713700437,1589,10
532774.8557498732,1655713702039,532965.948320586,1655713703138,1099,10
534530.9117564689,1655713710439,534351.7624714257,1655713711047,608,10
534351.7624714257,1655713711937,534024.51644408,1655713713340,1403,10
