x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
257422.6579994917,1652880447082,257475.20845643757,1652880449778,2696,1
254768.3272586708,1652880455579,254653.67171624312,1652880456679,1100,1
258096.8620435753,1652880476130,258087.3074150397,1652880478130,2000,2
258087.3074150397,1652880479133,258082.53010077184,1652880479329,196,2
256408.1515171757,1652880483330,256389.0422601044,1652880484030,700,2
273251.74545923574,1652880493930,273198.597838006,1652880495536,1606,3
253211.60733956084,1652880522034,253077.84254006183,1652880522830,796,4
253077.84254006183,1652880523841,252719.54396997523,1652880526230,2389,4
528001.8504867449,1652880542485,533543.5350374192,1652880546082,3597,5
533543.5350374192,1652880548790,526358.4543786116,1652880559881,11091,5
531970.0371541282,1652880562581,534100.7193175761,1652880565780,3199,5
556087.2014716712,1652880584780,555953.4366721723,1652880585181,401,6
555953.4366721723,1652880589580,553813.1998801882,1652880590380,800,6
553813.1998801882,1652880591780,553803.6452516526,1652880591881,101,6
558455.6611400193,1652880596175,558491.490997028,1652880600673,4498,6
559297.8795211632,1652880602475,559356.4016209447,1652880603974,1499,6
-206889.28934138743,1652880639673,-209793.89641622407,1652880640873,1200,8
-195631.17659357365,1652880641873,-196643.9672183524,1652880643174,1301,8
-218370.39873200716,1652880644074,-206943.0630033732,1652880645173,1099,8
-185107.85502766565,1652880646574,-189990.27020938133,1652880649773,3199,8
-189990.27020938133,1652880651874,-191433.01911826432,1652880657273,5399,8
-187184.2865181584,1652880658473,-187423.15223154935,1652880659475,1002,8
-187423.15223154935,1652880662173,-186866.59511934797,1652880662784,611,8
-186866.59511934797,1652880664173,-186723.2756913133,1652880664573,400,8
191428.68165203696,1652880684373,184931.534247797,1652880684773,400,9
229235.42004506144,1652880692474,229058.65941715208,1652880695174,2700,9
229058.65941715208,1652880698473,229135.09644543723,1652880700673,2200,9
230486.6902743223,1652880702474,230520.13147419703,1652880703473,999,9
230520.13147419703,1652880705473,230954.86707256868,1652880706374,901,9
232122.63082937,1652880712073,232077.2463438257,1652880712573,500,9
232077.2463438257,1652880713774,231914.81765871984,1652880716874,3100,9
231914.81765871984,1652880719773,231881.97362312855,1652880721474,1701,9
532484.9234227455,1652880738176,531386.1411411463,1652880738673,497,10
531386.1411411463,1652880739574,530870.1912002218,1652880740073,499,10
533609.6320243839,1652880743273,533576.1908245091,1652880743973,700,10
535673.8406413394,1652880744874,535421.8373137092,1652880748374,3500,10
535421.8373137092,1652880749683,535419.4486565752,1652880749873,190,10
535419.4486565752,1652880751973,535197.3035431195,1652880759673,7700,10
535197.3035431195,1652880760773,535191.3319002845,1652880761173,400,10
535191.3319002845,1652880762073,535187.7489145835,1652880762474,401,10
535187.7489145835,1652880763373,535149.5304004406,1652880763673,300,10
535149.5304004406,1652880764673,534319.4720464051,1652880766773,2100,10
