x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
260127.87491897863,1655822374326,260287.91494695088,1655822375117,791,1
260287.91494695088,1655822386917,260228.49710074463,1655822387417,500,1
271376.12102140335,1655822414718,271218.4696505653,1655822415417,699,3
271218.4696505653,1655822420324,270057.5822834843,1655822420921,597,3
255853.94704115845,1655822436317,256024.73602623312,1655822438317,2000,4
256024.73602623312,1655822445016,255934.564219428,1655822445417,401,4
530504.9066025374,1655822489617,525345.4071932877,1655822490116,499,5
525345.4071932877,1655822491217,544645.7568352948,1655822491520,303,5
544645.7568352948,1655822492920,526874.1477589915,1655822494625,1705,5
526874.1477589915,1655822495720,518962.91533147625,1655822498717,2997,5
534503.4618637272,1655822516728,534541.6803778698,1655822516817,89,5
517694.1211233258,1655822552417,505846.3817391227,1655822554222,1805,6
549297.7829913974,1655822560922,548437.8664231898,1655822561618,696,6
507053.8678019845,1655822567617,501397.52770888107,1655822568918,1301,6
553935.471752438,1655822574422,553906.8078668311,1655822574926,504,6
553906.8078668311,1655822585717,553648.8328963688,1655822586621,904,6
557013.8982560337,1655822596219,556536.1668292517,1655822596718,499,6
556536.1668292517,1655822598217,556263.859915986,1655822601418,3201,6
552817.5802137685,1655822602320,552492.7228435568,1655822602818,498,6
552492.7228435568,1655822604418,550648.6795361775,1655822605818,1400,6
550648.6795361775,1655822606923,548967.0649139045,1655822608918,1995,6
540975.7232278724,1655822609721,547434.6521179698,1655822612717,2996,6
557047.3394559097,1655822615018,557033.0075131062,1655822615119,101,6
557033.0075131062,1655822616017,557176.3269411408,1655822617317,1300,6
557176.3269411408,1655822618216,557157.2176840695,1655822618320,104,6
557157.2176840695,1655822619717,557047.3394559097,1655822620317,600,6
-206889.28934138743,1655822669729,-208647.3409919465,1655822670017,288,8
-223826.97159627848,1655822688523,-210909.11381608376,1655822689123,600,8
233047.4190321223,1655822724817,232813.33063299916,1655822725717,900,9
227349.0153875652,1655822726818,225141.8961958306,1655822727317,499,9
230260.92774028663,1655822732428,230967.97025192447,1655822734328,1900,9
230967.97025192447,1655822735527,230965.58159479056,1655822735617,90,9
230965.58159479056,1655822740821,230647.89019598032,1655822743522,2701,9
231406.7101632668,1655822745619,231425.81942033808,1655822746121,502,9
231280.11133516935,1655822765917,231393.5725490301,1655822768718,2801,9
231810.00671824903,1655822790225,231783.731489776,1655822790618,393,9
231783.731489776,1655822793026,231742.52715421608,1655822795117,2091,9
231742.52715421608,1655822796117,231735.36118281435,1655822796418,301,9
231735.36118281435,1655822797431,231896.5955393533,1655822798818,1387,9
231896.5955393533,1655822800617,231917.49628927495,1655822800820,203,9
231917.49628927495,1655822801930,231979.60137475663,1655822803529,1599,9
231979.60137475663,1655822807621,231937.20271062973,1655822808818,1197,9
231937.20271062973,1655822813932,231872.1118037307,1655822814117,185,9
520415.21886889415,1655822858730,513497.6678090855,1655822859818,1088,10
526858.1826072844,1655822862418,523915.3570183053,1655822863417,999,10
533663.4362036884,1655822864519,532961.1710063183,1655822864817,298,10
532961.1710063183,1655822866516,532469.1076367329,1655822867218,702,10
532469.1076367329,1655822869418,532120.363695182,1655822869718,300,10
