x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
260128.47467969503,1655818700288,260127.87751541127,1655818701696,1408,1
260127.87751541127,1655818703788,260099.51221194584,1655818706488,2700,1
260099.51221194584,1655818707502,260137.13356180536,1655818709089,1587,1
260137.13356180536,1655818710395,260167.5889402629,1655818711487,1092,1
259968.66319490227,1655818716887,259871.32541669544,1655818724698,7811,1
259871.32541669544,1655818725588,259825.9409311512,1655818726589,1001,1
259373.05159417455,1655818734190,259813.75883538096,1655818738891,4701,1
259813.75883538096,1655818741389,259828.09077818444,1655818741789,400,1
258848.6568428362,1655818754093,258910.76192831784,1655818754889,796,2
258070.58681510243,1655818755790,258385.88955677865,1655818756989,1199,2
256706.73365891463,1655818758095,257361.2257136064,1655818759490,1395,2
272864.90130037506,1655818774892,272827.87711479946,1655818777489,2597,3
272017.1646115026,1655818778589,272256.0303248936,1655818783195,4606,3
272256.0303248936,1655818786595,272045.8284971095,1655818787688,1093,3
269074.56425595377,1655818794189,268004.44585996127,1655818795188,999,3
268004.44585996127,1655818796789,266141.29329551046,1655818799388,2599,3
255376.9168922619,1655818813890,255417.5240635384,1655818815889,1999,4
255417.5240635384,1655818817188,255424.6900349401,1655818818188,1000,4
252643.9880135592,1655818820790,252180.5885295804,1655818822288,1498,4
252180.5885295804,1655818823188,249524.40179667063,1655818826400,3212,4
491730.2169464306,1655818844888,488698.92773447407,1655818845391,503,5
522483.2977944847,1655818845891,520868.1216990792,1655818846392,501,5
520868.1216990792,1655818847491,520406.6428146777,1655818847690,199,5
536363.4334571261,1655818848789,536903.2699693898,1655818849289,500,5
550878.1949882219,1655818888389,548737.9581962373,1655818889190,801,6
555045.746961286,1655818893491,554959.7553044652,1655818898490,4999,6
558151.8682011322,1655818900689,559436.9657391766,1655818904289,3600,6
559436.9657391766,1655818905189,559212.4319685891,1655818906189,1000,6
560400.0280470235,1655818908090,560091.8912767491,1655818909289,1199,6
560801.539186961,1655818910400,560776.4582870543,1655818910790,390,6
559950.9605058476,1655818924192,557939.7111990955,1655818927690,3498,6
557939.7111990955,1655818930388,558226.3500551647,1655818930688,300,6
558226.3500551647,1655818931590,558441.3291972165,1655818933500,1910,6
558441.3291972165,1655818934688,558477.1590542252,1655818934988,300,6
558477.1590542252,1655818936188,558422.2199401453,1655818944197,8009,6
559295.4908640296,1655818947395,559248.9120499181,1655818947988,593,6
559248.9120499181,1655818952892,559264.4383212889,1655818954291,1399,6
134694.0121138384,1655818978289,134350.04548655506,1655818978903,614,7
138746.83168032923,1655818981290,138825.65736574828,1655818984390,3100,7
138825.65736574828,1655818985488,138890.15110836385,1655818985988,500,7
138890.15110836385,1655818988389,138656.06270924068,1655818990689,2300,7
138656.06270924068,1655819007192,138722.94510899016,1655819007788,596,7
-191691.1938259297,1655819030191,-194481.14535833875,1655819030688,497,8
-189337.63713427112,1655819032891,-189500.06581937757,1655819039189,6298,8
-189500.06581937757,1655819040490,-190178.4444454086,1655819041588,1098,8
213941.64804378367,1655819072789,208132.43389411044,1655819073297,508,9
230102.35671049048,1655819079896,229103.89802851545,1655819080588,692,9
229103.89802851545,1655819083088,228927.1374006061,1655819083688,600,9
231938.0853702459,1655819088989,231997.20463431015,1655819091695,2706,9
231997.20463431015,1655819097897,231869.411477646,1655819098491,594,9
231869.411477646,1655819099400,231939.87686309635,1655819101389,1989,9
231838.0603527633,1655819102989,231829.1028885112,1655819103289,300,9
526373.2149756062,1655819122989,523908.1208134092,1655819123489,500,10
534071.9530396078,1655819130789,533990.7386970549,1655819133099,2310,10
533990.7386970549,1655819136289,533859.3625546898,1655819137690,1401,10
533859.3625546898,1655819151689,533787.7028406725,1655819154089,2400,10
534468.8349039975,1655819155091,534437.7823612563,1655819155789,698,10
