x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
271695.89022699225,1655727238573,273145.8051072764,1655727239975,1402,3
271975.83629899257,1655727246975,271851.62612802925,1655727247173,198,3
255439.6191420269,1655727269075,255723.8693409623,1655727269986,911,4
255723.8693409623,1655727271173,255694.0111267884,1655727271877,704,4
459006.7781256019,1655727318077,447235.47576968506,1655727318677,600,5
544971.8908116723,1655727328477,542927.2003050438,1655727329576,1099,5
542927.2003050438,1655727330477,532894.8403426146,1655727331282,805,5
560488.4718413872,1655727362687,559745.5994727412,1655727363588,901,6
546330.6996485336,1655727388280,547305.2717591699,1655727388780,500,6
547305.2717591699,1655727390687,541782.6964655652,1655727391780,1093,6
541782.6964655652,1655727392690,543559.8573731958,1655727393480,790,6
557932.9536596782,1655727401080,558241.0904299526,1655727401681,601,6
137477.26306226494,1655727424996,136779.77517916262,1655727425586,590,7
138212.72427095586,1655727428785,138014.46572884134,1655727429383,598,7
138014.46572884134,1655727435482,137981.0245289666,1655727435982,500,7
138887.39731700916,1655727446582,138867.09373137093,1655727447594,1012,7
139483.60840610223,1655727455386,139454.9445204953,1655727455784,398,7
-187266.7215023864,1655727486485,-186464.132705392,1655727488784,2299,8
-186464.132705392,1655727490185,-186239.59893480432,1655727490986,801,8
532512.4727667515,1655727541984,531012.3960866549,1655727542986,1002,10
525823.9758729124,1655727548385,525900.4129011976,1655727548986,601,10
535632.135023505,1655727556290,535165.1525538244,1655727557785,1495,10
532745.6151511334,1655727560585,532755.169779669,1655727561386,801,10
535748.6189891746,1655727568389,535667.4046466217,1655727569485,1096,10
534989.3090857294,1655727572192,534422.0030164253,1655727573290,1098,10
533522.0557518862,1655727576386,534226.7096063896,1655727577895,1509,10
