x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
253709.3787808639,1652443020838,253852.69820889857,1652443021638,800,1
234434.5655888772,1652443022738,235198.93587172893,1652443023737,999,1
247924.6011620899,1652443024738,248249.458532302,1652443025039,301,1
246043.17207388752,1652443032243,246597.3405289551,1652443033139,896,2
247300.4667569446,1652443040242,241567.6896355564,1652443041739,1497,3
243420.81913982573,1652443047339,245656.60221716727,1652443048339,1000,4
235134.5041365664,1652443048842,235440.25224970712,1652443049639,797,4
537108.9133298272,1652443057440,537218.7915579871,1652443059639,2199,5
558715.5912847352,1652443073739,559408.3018535691,1652443075239,1500,6
561056.9087588487,1652443075639,561154.843701339,1652443075939,300,6
561154.843701339,1652443076839,561152.4550442051,1652443076940,101,6
554611.8973903692,1652443080639,553818.8632219108,1652443081739,1100,6
559777.8647703736,1652443084540,559782.0449203581,1652443084639,99,6
137420.65173735443,1652443095839,137401.54248028315,1652443096339,500,7
138772.02826344298,1652443097539,138762.47363490734,1652443097639,100,7
139427.41294084903,1652443100039,139552.81744037938,1652443100239,200,7
-189407.7378123437,1652443108538,-188968.2248997039,1652443108939,401,8
-188968.2248997039,1652443110747,-188533.48930133195,1652443111139,392,8
-185917.4581734148,1652443111842,-185749.0578454741,1652443112239,397,8
149418.67892114562,1652443122139,154616.3968445376,1652443123738,1599,9
222458.4522734232,1652443128539,221617.64496228617,1652443129139,600,9
226582.2564475781,1652443130839,227824.35815721223,1652443132538,1699,9
232242.58695990776,1652443135040,231621.53610509072,1652443135339,299,9
231621.53610509072,1652443136939,231669.3092477689,1652443137242,303,9
230384.8315107941,1652443142739,229830.6630557265,1652443143339,600,9
231698.2603971249,1652443145738,231396.09526968503,1652443146039,301,9
231396.09526968503,1652443148044,231618.2403831387,1652443149540,1496,9
231999.9719921555,1652443153438,231875.16465690872,1652443155138,1700,9
531598.8504136475,1652443166239,531379.0939573278,1652443166839,600,10
533873.6380314727,1652443167949,534389.5879723976,1652443168239,290,10
534389.5879723976,1652443169142,534055.17597365,1652443169638,496,10
534055.17597365,1652443171639,533868.860717205,1652443171938,299,10
533868.860717205,1652443173538,533166.595519835,1652443173938,400,10
534358.9284428274,1652443176339,534241.8842432658,1652443178039,1700,10
534382.5840597206,1652443182538,534365.8634597833,1652443183839,1301,10
