x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
260127.87491897863,1652708123679,260138.0267117978,1652708124983,1304,1
259956.91456633303,1652708126383,259949.15143064785,1652708128083,1700,1
259578.8654218915,1652708129583,259501.23406503943,1652708134287,4704,1
259501.23406503943,1652708136182,259654.1081216097,1652708138683,2501,1
259247.843649522,1652708164683,259213.20812108036,1652708165783,1100,2
259213.20812108036,1652708168083,259241.87200668725,1652708168884,801,2
259241.87200668725,1652708172483,259235.90036385247,1652708177483,5000,2
259235.90036385247,1652708178685,259243.0663352542,1652708179888,1203,2
258747.73607892825,1652708180884,259039.1522492653,1652708182284,1400,2
259039.1522492653,1652708183595,258711.9062219197,1652708190489,6894,2
257899.79783002764,1652708191089,257990.56680111625,1652708192489,1400,2
257990.56680111625,1652708193402,257668.0980880383,1652708194796,1394,2
273450.5420172172,1652708198989,273439.4944779726,1652708200890,1901,3
273193.8205237378,1652708202090,273095.88558124733,1652708202490,400,3
273095.88558124733,1652708203689,273091.70543126296,1652708204892,1203,3
272646.9363369044,1652708207099,272601.5518513601,1652708207888,789,3
272601.5518513601,1652708209789,272744.8712793947,1652708212294,2505,3
271821.2947265192,1652708213689,272091.212982651,1652708215089,1400,3
270146.12493440934,1652708220089,270705.07070374425,1652708221889,1800,3
267560.1556330412,1652708225189,267359.5084337927,1652708225588,399,3
267359.5084337927,1652708228295,266461.3733514423,1652708231090,2795,3
255367.36226372627,1652708242088,255363.7792780254,1652708242289,201,4
254376.87494464088,1652708246595,254405.5388302478,1652708246794,199,4
557487.8215179043,1652708273295,557330.1701470662,1652708273994,699,6
557330.1701470662,1652708275395,557253.7331187811,1652708276195,800,6
557253.7331187811,1652708277094,557291.9516329237,1652708279104,2010,6
557291.9516329237,1652708280095,557038.7539767292,1652708285694,5599,6
558639.5877393304,1652708288094,558598.9805680539,1652708289297,1203,6
137511.5193782512,1652708305901,137444.63697850172,1652708306500,599,7
134836.89514904688,1652708311700,134770.01274929737,1652708313000,1300,7
-206889.28934138743,1652708319900,-207730.0966525244,1652708320511,611,8
-190770.8314146181,1652708327514,-190283.54535930004,1652708328299,785,8
-190331.31850197824,1652708331000,-188812.13256481037,1652708331912,912,8
-188812.13256481037,1652708333500,-191315.4452411498,1652708334801,1301,8
226859.3406751119,1652708362500,226802.01290389805,1652708362900,400,9
230077.35281500284,1652708367802,229088.4487615634,1652708368502,700,9
231012.28315402952,1652708370302,230995.56255409212,1652708370509,207,9
228828.0851339668,1652708373202,230189.61970029652,1652708374702,1500,9
231503.62661420388,1652708379903,230810.9160453696,1652708381702,1799,9
231709.17387284827,1652708391502,231569.43743051452,1652708392702,1200,9
231905.1051303931,1652708393610,231865.6922876836,1652708394102,492,9
531082.9004727222,1652708404001,530261.2024186569,1652708404514,513,10
533028.0534060679,1652708408503,532492.9942080717,1652708408903,400,10
