x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
269876.2066782844,1655734024075,270339.6061622629,1655734024870,795,3
270339.6061622629,1655734025770,269656.45022196404,1655734026772,1002,3
252667.13647752197,1655734043271,254081.2215007976,1655734044871,1600,4
254081.2215007976,1655734046070,253727.70024497865,1655734046875,805,4
255266.60459084285,1655734053774,254970.41110623785,1655734053970,196,4
538058.126217259,1655734108574,534255.3840600715,1655734110173,1599,5
559384.4152822302,1655734136569,559245.8731684635,1655734137069,500,6
537880.4323166966,1655734142669,529281.2666346141,1655734143969,1300,6
551835.3917733075,1655734152973,551930.9380586639,1655734153569,596,6
557935.5817859421,1655734155970,558038.2940427002,1655734156570,600,6
136804.37819680525,1655734183568,136880.81522509037,1655734184069,501,7
139704.94347973992,1655734197774,139735.99602248074,1655734198370,596,7
-187769.11901848015,1655734228668,-187836.0014182297,1655734229368,700,8
-187836.00141822983,1655734235667,-188557.3758726712,1655734236470,803,8
226799.88464630712,1655734268070,224974.95059599853,1655734269969,1899,9
224974.95059599853,1655734270874,226131.0606488118,1655734272467,1593,9
229345.3596032303,1655734274882,229106.4938898392,1655734275268,386,9
229106.4938898392,1655734277474,229202.0401751956,1655734278368,894,9
231799.0796474545,1655734281480,231640.2339480495,1655734282075,595,9
232208.0757777543,1655734293478,232129.8472566184,1655734294767,1289,9
231883.96255489925,1655734296772,231789.6105981098,1655734297468,696,9
231789.6105981098,1655734303373,231897.10016913572,1655734304068,695,9
231897.10016913572,1655734304975,231932.3328618609,1655734305768,793,9
231935.49851010117,1655734317168,231846.521031863,1655734318669,1501,9
231846.521031863,1655734320667,231673.940553938,1655734322467,1800,9
231626.17471837936,1655734332768,231694.84861097927,1655734333171,403,9
231694.84861097927,1655734334070,231708.58338949925,1655734334768,698,9
232096.9963241224,1655734337768,232075.647700988,1655734338676,908,9
529304.1675124101,1655734363676,526896.4011214271,1655734363968,292,10
526896.4011214271,1655734364868,520953.4221722548,1655734366268,1400,10
532349.6747800369,1655734371268,531795.5063249693,1655734371569,301,10
531795.5063249693,1655734372476,531418.0984978116,1655734372769,293,10
531418.0984978116,1655734374170,531661.7415254711,1655734376268,2098,10
531661.7415254711,1655734377767,531924.4938102012,1655734378169,402,10
531924.4938102012,1655734379267,531910.1618673977,1655734379468,201,10
531910.1618673977,1655734381275,531561.4179258469,1655734381568,293,10
531561.4179258469,1655734382968,530357.5347303555,1655734383268,300,10
530357.5347303555,1655734384368,528776.2437077061,1655734384668,300,10
528776.2437077061,1655734386179,528374.9493092091,1655734386868,689,10
525421.7830653549,1655734397068,526663.8847749891,1655734397375,307,10
526663.8847749891,1655734398271,526606.5570037753,1655734399068,797,10
530207.0493309196,1655734402268,530087.6164742241,1655734402467,199,10
530087.6164742241,1655734403776,529906.078532047,1655734404068,292,10
529906.078532047,1655734405568,531549.4746401779,1655734408768,3200,10
