world_index,id_fixation,x,y,zoom,etape,id_pan
516,139,259928.87934898285,6255551.366897035,17.0,1,0
517,139,259931.1916338566,6255548.288212908,17.0,1,0
518,139,259930.5331776793,6255548.178501535,17.0,1,0
519,139,259927.034612416,6255548.906809764,17.0,1,0
520,139,259925.3039353572,6255549.326050214,17.0,1,0
520,140,260033.3800346802,6255512.12543745,17.0,1,0
521,140,260004.44514441112,6255523.178329997,17.0,1,0
522,140,260002.9064686632,6255525.601513652,17.0,1,0
525,141,260111.78471363,6255542.551408624,17.0,1,0
526,141,260137.17050574048,6255533.235398411,17.0,1,0
527,141,260096.27725854755,6255559.519374978,17.0,1,0
528,141,260086.84401101503,6255560.1253630975,17.0,1,0
528,142,260068.79991985628,6255529.282397584,17.0,1,0
529,142,260080.61853508936,6255526.237369213,17.0,1,0
530,142,260085.877368644,6255523.037748864,17.0,1,0
531,142,260078.3962995936,6255531.337696045,17.0,1,0
532,142,260079.82843323663,6255531.662447861,17.0,1,0
532,143,260102.43688657752,6255496.384205937,17.0,1,0
533,143,260102.9331035265,6255496.2264429815,17.0,1,0
534,143,260099.66885571985,6255500.493641647,17.0,1,0
535,143,260098.97513608768,6255500.6351055065,17.0,1,0
536,143,260097.5958976269,6255501.036893621,17.0,1,0
537,143,260098.80346593537,6255500.006590804,17.0,1,0
537,144,260071.9094777298,6255463.213532345,17.0,1,0
538,144,260073.6818080361,6255461.910834717,17.0,1,0
539,144,260064.62197042085,6255450.823989135,17.0,1,0
540,144,260057.9331901041,6255446.230257826,17.0,1,0
541,144,260073.91887504,6255464.090057568,17.0,1,0
542,145,260082.48345702272,6255470.392827205,17.0,1,0
543,145,260085.0754576343,6255469.233976795,17.0,1,0
544,145,260070.1866985003,6255473.802247457,17.0,1,0
545,145,260070.46538913765,6255474.466435655,17.0,1,0
545,146,260078.70958850943,6255496.296000603,17.0,1,0
546,146,260081.53900238097,6255495.489195308,17.0,1,0
547,146,260077.91704463973,6255496.975789689,17.0,1,0
548,146,260075.33420159205,6255500.536373529,17.0,1,0
610,163,259944.90465974552,6255491.01862355,17.0,1,1
611,163,259950.43425649416,6255490.54802557,17.0,1,1
612,163,259953.97953216717,6255489.203273197,17.0,1,1
