world_index,id_fixation,x,y,zoom,etape,id_pan
1175,215,260379.57745584415,6255345.032756321,17.0,1,1
1176,215,260350.82257548888,6255360.647407295,17.0,1,1
1176,216,260264.88023966685,6255385.534513673,17.0,1,1
1177,216,260254.26993764864,6255384.587705287,17.0,1,1
1178,216,260245.7841562751,6255386.629935995,17.0,1,1
1179,216,260238.5928717267,6255388.838079207,17.0,1,1
1180,216,260233.1393032601,6255394.67669248,17.0,1,1
1181,216,260229.2190116792,6255395.898202155,17.0,1,1
1182,216,260223.33155236984,6255396.521873258,17.0,1,1
1183,216,260220.11492389528,6255395.10200665,17.0,1,1
1183,217,260253.93462729745,6255386.10851866,17.0,1,1
1184,217,260248.8293537875,6255381.767730881,17.0,1,1
1185,217,260247.923472536,6255382.732299133,17.0,1,1
1186,217,260247.69138979827,6255383.137316314,17.0,1,1
1187,217,260247.97575265804,6255383.797891032,17.0,1,1
1188,217,260252.6983903468,6255386.278813469,17.0,1,1
1189,217,260252.7678921561,6255385.666520981,17.0,1,1
1189,218,260297.71458236405,6255365.921625898,17.0,1,1
1190,218,260297.73809133397,6255370.095732346,17.0,1,1
1191,218,260294.9628027652,6255362.305071576,17.0,1,1
1192,218,260297.8446676088,6255365.346467674,17.0,1,1
1193,218,260299.49490845375,6255367.909423773,17.0,1,1
1194,218,260300.18609950485,6255368.533709936,17.0,1,1
1195,218,260300.53463365164,6255364.350608232,17.0,1,1
1196,218,260296.95382116368,6255361.901592046,17.0,1,1
1196,219,260298.28098452257,6255330.060460614,17.0,1,1
1197,219,260302.1471849707,6255331.602801097,17.0,1,1
1198,219,260302.05393500143,6255332.917953695,17.0,1,1
1199,219,260301.4609144017,6255331.742496657,17.0,1,1
1205,220,260957.03645468983,6255243.3687934615,17.0,1,1
1206,220,260882.50663714783,6255240.359895894,17.0,1,1
1207,220,260920.5940386672,6255250.94500607,17.0,1,1
1208,220,260882.46289952943,6255242.223912892,17.0,1,1
1210,221,260430.66395319568,6255091.3766319305,17.0,1,1
1211,221,260429.34376051973,6255098.478578976,17.0,1,1
1212,221,260340.2760142156,6255074.549952891,17.0,1,1
1213,221,260355.41866111243,6255080.468447115,17.0,1,1
1214,222,260415.3382415858,6255019.174463239,17.0,1,1
1215,222,260399.99414195208,6255011.781729939,17.0,1,1
1216,222,260422.8005080163,6255010.027847169,17.0,1,1
1217,222,260402.5340674617,6255009.6516224975,17.0,1,1
1217,223,260475.0785798317,6254927.598893583,17.0,1,1
1218,223,260465.7084147017,6254921.194482105,17.0,1,1
1219,223,260463.1104001676,6254918.955124585,17.0,1,1
1220,223,260486.44995513637,6254919.277493043,17.0,1,1
1221,223,260450.35239201091,6254904.769959931,17.0,1,1
1221,224,260544.2008149124,6254923.326827683,17.0,1,1
1222,224,260514.31059482504,6254917.66796577,17.0,1,1
1223,224,260541.7909404776,6254922.519676416,17.0,1,1
1224,224,260491.71952263155,6254887.364713923,17.0,1,1
1225,224,260494.5047888445,6254892.758369541,17.0,1,1
1225,225,260546.5200249092,6254939.29571236,17.0,1,1
1226,225,260542.29886635157,6254941.938895382,17.0,1,1
1227,225,260495.49489462544,6254909.839251844,17.0,1,1
1228,226,260398.7593105281,6254930.773673468,17.0,1,1
1229,226,260380.1018676111,6254928.672166328,17.0,1,1
1230,226,260379.72932789024,6254926.390718753,17.0,1,1
1231,226,260400.7686941703,6254928.620273751,17.0,1,1
1232,226,260390.27631287175,6254932.323590011,17.0,1,1
1233,226,260398.2042345904,6254935.838736274,17.0,1,1
1234,226,260388.6428495039,6254935.5249017775,17.0,1,1
1621,295,260212.8574073113,6255326.98976142,15.0,1,2
1622,295,260151.0963364225,6255336.026841805,15.0,1,2
1623,295,260114.03635889577,6255307.849701219,15.0,1,2
1624,295,260087.904225331,6255333.912572165,15.0,1,2
1625,295,260139.8811909796,6255341.14414316,15.0,1,2
1626,295,260131.58662500652,6255390.463365089,15.0,1,2
1627,295,260177.9333563801,6255347.2559810085,15.0,1,2
1628,295,260176.50915018035,6255353.305098656,15.0,1,2
1628,296,260139.83570385643,6255380.754622955,15.0,1,2
1629,296,260115.3295162564,6255407.111800235,15.0,1,2
1630,296,260346.0963166209,6254953.867858664,15.0,1,2
1631,296,260324.18978371564,6254970.3616221,15.0,1,2
1632,296,260351.02390605604,6254984.707595112,15.0,1,2
1633,297,260584.5124984148,6253673.9657426,15.0,1,2
1634,297,260558.34646819576,6253717.373005319,15.0,1,2
1635,297,260533.1937839235,6253761.131621212,15.0,1,2
1636,297,260737.5193897771,6253542.33878208,15.0,1,2
1637,297,260692.9810995811,6253574.819191767,15.0,1,2
1638,297,260694.5522095068,6253556.956005775,15.0,1,2
1639,297,260669.42795468643,6253590.301190188,15.0,1,2
1640,298,260031.1558682172,6253396.552903176,15.0,1,2
1641,298,259971.51825870256,6253419.921195127,15.0,1,2
1642,298,259912.99978549924,6253439.604046007,15.0,1,2
1643,298,259867.2923340909,6253480.134671895,15.0,1,2
1644,298,259837.2272318699,6253524.868312063,15.0,1,2
1645,298,259833.9049497108,6253552.017071895,15.0,1,2
1646,299,259064.89223758405,6253164.925515054,15.0,1,2
1647,299,259074.28949270135,6253038.646501207,15.0,1,2
1648,299,259084.3060907196,6253031.041281104,15.0,1,2
1649,299,259053.43211591797,6253050.67185186,15.0,1,2
1650,299,258442.35331053231,6252366.573457005,15.0,1,2
1651,299,258379.239927154,6252409.754223784,15.0,1,2
1652,299,258332.57680878323,6252451.241422141,15.0,1,2
1652,300,258641.52690740835,6252575.356738283,15.0,1,2
1653,300,258381.7307025149,6252421.655695606,15.0,1,2
1654,300,258340.05025564245,6252427.14972137,15.0,1,2
1706,311,258825.95264406572,6252435.64985415,15.0,1,3
1707,311,258842.1407567229,6252419.9619734185,15.0,1,3
1708,311,258792.010338652,6252388.594053973,15.0,1,3
1709,311,258817.41164394896,6252386.614174999,15.0,1,3
1710,311,258527.815004098,6252198.885613728,15.0,1,3
1710,312,258671.512625852,6252396.595196338,15.0,1,3
1711,312,258665.4898191156,6252385.10617823,15.0,1,3
1712,312,258667.81338009413,6252392.178448618,15.0,1,3
1713,312,257815.15434070217,6251831.612726739,15.0,1,3
1714,312,257828.2549875391,6251810.864899022,15.0,1,3
1715,313,258999.98059113644,6252183.905711777,15.0,1,3
1716,313,258902.08982364065,6252104.85219209,15.0,1,3
1717,313,258917.6628760388,6252104.514831537,15.0,1,3
1718,313,258902.4367176268,6252089.245960608,15.0,1,3
1719,313,258896.3148178487,6252093.774341765,15.0,1,3
1720,313,258908.5750190117,6252064.4276640965,15.0,1,3
1748,320,259115.11799455117,6252831.094433885,15.0,1,4
1749,320,259106.0164695183,6252826.723508154,15.0,1,4
1750,320,259104.81013133028,6252820.169426034,15.0,1,4
1751,320,259110.52144421544,6252816.912681963,15.0,1,4
1752,320,259137.93973712184,6252812.476252315,15.0,1,4
1753,321,259893.97782142475,6253537.617536246,15.0,1,4
1754,321,259814.2086062323,6253493.493420795,15.0,1,4
1755,321,260128.79284818209,6253785.57873569,15.0,1,4
1756,321,260117.32293111185,6253755.23104745,15.0,1,4
