world_index,id_fixation,x,y,zoom,etape,id_pan
337,59,256507.9798490768,6254605.835402885,15.0,1,0
338,59,256508.3586749413,6254600.63245439,15.0,1,0
339,59,256503.501783266,6254594.308712336,15.0,1,0
340,59,256500.94750635032,6254598.291381279,15.0,1,0
341,59,256509.26633303356,6254608.6465358,15.0,1,0
346,60,260678.26515187116,6255185.432928666,15.0,1,0
347,60,260696.0018495804,6255180.633920995,15.0,1,0
348,60,260715.4971458063,6255173.668056032,15.0,1,0
349,60,260726.4247164081,6255167.669373325,15.0,1,0
350,60,260737.64806265448,6255164.548250041,15.0,1,0
350,61,260655.5118222253,6255073.820403704,15.0,1,0
351,61,260665.9257491708,6255080.215492747,15.0,1,0
352,61,260674.1719304034,6255092.681841606,15.0,1,0
353,61,260686.41627667972,6255092.835914201,15.0,1,0
354,61,260698.6141517365,6255072.418373843,15.0,1,0
355,61,260705.0509623672,6255041.295402147,15.0,1,0
356,61,260710.2573791197,6255019.589003015,15.0,1,0
383,67,260167.7667431005,6254603.456506607,13.0,1,1
384,67,260218.1481057572,6254546.295266376,13.0,1,1
385,67,260300.73894405784,6254522.636358452,13.0,1,1
386,67,260377.01078993743,6254517.921306507,13.0,1,1
387,67,260422.56570640157,6254507.019978476,13.0,1,1
388,67,260454.4668318357,6254487.517647783,13.0,1,1
389,67,260496.9284052372,6254486.307209194,13.0,1,1
389,68,261057.56594565292,6255528.314007243,13.0,1,1
390,68,261092.8796987643,6255538.578132845,13.0,1,1
391,68,261167.1875068888,6255525.9232179,13.0,1,1
392,68,261149.686992319,6255446.227399899,13.0,1,1
393,68,261132.40953960316,6255357.936729838,13.0,1,1
393,69,260718.978608059,6255373.256650769,13.0,1,1
394,69,260786.73510411265,6255335.869597865,13.0,1,1
395,69,260753.28566698643,6255341.844293221,13.0,1,1
396,69,260713.148748004,6255338.510666617,13.0,1,1
397,69,260661.1862704415,6255318.602396154,13.0,1,1
398,69,260638.22402077165,6255286.899730163,13.0,1,1
399,69,260640.6175619396,6255246.786730191,13.0,1,1
399,70,260115.9837355657,6255076.355992659,13.0,1,1
400,70,260092.5917637949,6255050.97491601,13.0,1,1
401,70,260052.9534536624,6255030.55245517,13.0,1,1
402,70,260000.21900713485,6255003.473812207,13.0,1,1
403,70,259953.58486493627,6254974.827995704,13.0,1,1
404,71,260429.29488478735,6256014.2515406655,13.0,1,1
405,71,260478.2121306674,6255985.416285602,13.0,1,1
406,71,260553.170754554,6255963.82398015,13.0,1,1
407,71,260595.7241769541,6255984.421118103,13.0,1,1
408,71,260596.62735877445,6255974.200046719,13.0,1,1
409,71,260523.4124284449,6255657.2548145205,13.515925554037803,1,1
410,71,260534.63733006103,6255660.722593369,13.515925554037803,1,1
679,126,259632.67074356452,6246877.42931256,18.0,2,2
680,126,259631.89969718983,6246877.784702066,18.0,2,2
681,126,259631.6766011659,6246877.681756355,18.0,2,2
682,126,259626.742382748,6246880.1642933255,18.0,2,2
683,126,259633.2058459899,6246876.1238471605,18.0,2,2
684,127,259791.81180629603,6246864.05866082,18.0,2,2
685,127,259792.1325260511,6246866.386125723,18.0,2,2
686,127,259792.0382509814,6246869.293515567,18.0,2,2
687,128,259755.3717457264,6246869.28460118,18.0,2,2
688,128,259755.96688486703,6246869.3164689895,18.0,2,2
689,128,259757.64524763383,6246867.590686785,18.0,2,2
689,129,259760.480812108,6246852.36417813,18.0,2,2
690,129,259763.3633011238,6246851.084503688,18.0,2,2
691,129,259765.6225541352,6246848.790059833,18.0,2,2
692,129,259766.8373664868,6246846.960140239,18.0,2,2
1043,192,274027.04471308447,6251860.098942131,15.0,3,3
1044,192,274035.04432349326,6251854.463452508,15.0,3,3
1045,192,274041.44696410955,6251853.132154577,15.0,3,3
1046,192,274032.18196972786,6251853.89974978,15.0,3,3
1047,192,274020.52234073775,6251857.937005321,15.0,3,3
1048,192,274011.72315199225,6251904.703768179,15.0,3,3
1049,192,274012.7348577783,6251904.122536235,15.0,3,3
1049,193,273763.47881753155,6251929.993508379,15.0,3,3
1050,193,273772.04647025955,6251925.097936248,15.0,3,3
1051,193,273773.97577305604,6251978.518985934,15.0,3,3
1052,193,273774.53315433074,6251969.784207664,15.0,3,3
1053,193,273768.0599868048,6251960.614274263,15.0,3,3
