tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655819957309,1655819957810,19.0,17.0,501,1
1655819976310,1655819976710,17.0,15.0,400,1
1655819977610,1655819978409,15.0,12.0,799,1
1655819979810,1655819980212,12.0,13.0,402,1
1655819982210,1655819982611,13.0,14.0,401,1
1655819983609,1655819984012,14.0,15.0,403,1
1655820005311,1655820005710,19.0,18.0,399,2
1655820019418,1655820019817,18.0,17.0,399,2
1655820034210,1655820034618,17.0,16.0,408,2
1655820063910,1655820064311,19.0,18.0,401,3
1655820067318,1655820067722,18.0,17.0,404,3
1655820070610,1655820071011,17.0,16.0,401,3
1655820075210,1655820075517,16.0,15.0,307,3
1655820078413,1655820078815,15.0,14.0,402,3
1655820083610,1655820084012,14.0,15.0,402,3
1655820087511,1655820087811,19.0,18.0,300,4
1655820088820,1655820089110,18.0,17.0,290,4
1655820091312,1655820091612,17.0,16.0,300,4
1655820099311,1655820099710,16.0,15.0,399,4
1655820101017,1655820101418,15.0,14.0,401,4
1655820104024,1655820104610,14.0,15.0,586,4
1655820105910,1655820106215,15.0,16.0,305,4
1655820136310,1655820136712,10.0,12.0,402,5
1655820137811,1655820138214,12.0,14.0,403,5
1655820139610,1655820140010,14.0,15.0,400,5
1655820162210,1655820162711,11.0,13.0,501,6
1655820164410,1655820166211,13.0,17.0,1801,6
1655820167710,1655820168910,17.0,13.0,1200,6
1655820171011,1655820171314,13.0,14.0,303,6
1655820180210,1655820180712,14.0,16.0,502,6
1655820207110,1655820207514,16.0,18.0,404,6
1655820215811,1655820216310,11.0,14.0,499,7
1655820222711,1655820223011,14.0,15.0,300,7
1655820230310,1655820230611,15.0,16.0,301,7
1655820234310,1655820234710,16.0,17.0,400,7
1655820250211,1655820250709,12.0,14.0,498,8
1655820254811,1655820255213,14.0,13.0,402,8
1655820265510,1655820265911,13.0,14.0,401,8
1655820271313,1655820272812,14.0,15.0,1499,8
1655820297610,1655820298213,10.0,12.0,603,9
1655820300910,1655820301510,12.0,14.0,600,9
1655820302411,1655820302810,14.0,13.0,399,9
1655820304011,1655820304310,13.0,12.0,299,9
1655820308911,1655820309318,12.0,13.0,407,9
1655820312810,1655820313220,13.0,14.0,410,9
1655820318323,1655820318811,14.0,16.0,488,9
1655820322922,1655820323210,16.0,17.0,288,9
1655820348411,1655820348915,10.0,12.0,504,10
1655820351811,1655820354311,12.0,14.0,2500,10
1655820358322,1655820358615,14.0,15.0,293,10
1655820374310,1655820374612,15.0,14.0,302,10
1655820385211,1655820385715,14.0,16.0,504,10
