tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652880443480,1652880444278,19.0,15.0,798,1
1652880450978,1652880451278,15.0,14.0,300,1
1652880467178,1652880467578,19.0,18.0,400,2
1652880470683,1652880471080,18.0,17.0,397,2
1652880474679,1652880475029,17.0,16.0,350,2
1652880480630,1652880480930,16.0,15.0,300,2
1652880491630,1652880491934,19.0,18.0,304,3
1652880495536,1652880496334,18.0,16.0,798,3
1652880502830,1652880504130,16.0,14.0,1300,3
1652880511429,1652880511930,19.0,17.0,501,4
1652880516742,1652880517137,17.0,16.0,395,4
1652880519337,1652880519737,16.0,15.0,400,4
1652880536886,1652880537680,10.0,13.0,794,5
1652880560784,1652880561184,13.0,14.0,400,5
1652880566780,1652880567080,14.0,15.0,300,5
1652880577379,1652880577682,11.0,12.0,303,6
1652880579481,1652880579881,12.0,13.0,400,6
1652880582980,1652880583281,13.0,14.0,301,6
1652880593081,1652880594380,14.0,16.0,1299,6
1652880600673,1652880601074,16.0,17.0,401,6
1652880614673,1652880615374,11.0,13.0,701,7
1652880617374,1652880617874,13.0,15.0,500,7
1652880621174,1652880621574,15.0,14.0,400,7
1652880622875,1652880624173,14.0,16.0,1298,7
1652880640873,1652880641483,12.0,14.0,610,8
1652880643174,1652880643674,14.0,12.0,500,8
1652880645173,1652880645775,12.0,14.0,602,8
1652880657273,1652880657874,14.0,16.0,601,8
1652880681973,1652880682274,10.0,11.0,301,9
1652880685673,1652880686273,11.0,13.0,600,9
1652880688175,1652880688973,13.0,15.0,798,9
1652880701573,1652880701972,15.0,16.0,399,9
1652880709873,1652880710673,16.0,18.0,800,9
1652880732274,1652880732879,10.0,12.0,605,10
1652880735785,1652880736078,12.0,13.0,293,10
1652880737274,1652880737574,13.0,14.0,300,10
1652880742179,1652880742574,14.0,15.0,395,10
1652880743973,1652880744673,15.0,17.0,700,10
