tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652877933048,1652877935760,19.0,16.0,2712,1
1652877942748,1652877944148,19.0,17.0,1400,2
1652877945452,1652877946954,17.0,15.0,1502,2
1652877947848,1652877948848,15.0,13.0,1000,2
1652877952645,1652877956045,19.0,13.0,3400,3
1652877960745,1652877961647,19.0,17.0,902,4
1652877962746,1652877964246,17.0,15.0,1500,4
1652877967547,1652877967946,15.0,14.0,399,4
1652877969445,1652877969745,14.0,13.0,300,4
1652877971245,1652877971649,13.0,14.0,404,4
1652877976145,1652877976546,10.0,11.0,401,5
1652877978046,1652877978345,11.0,12.0,299,5
1652877979846,1652877980245,12.0,13.0,399,5
1652877982246,1652877984349,13.0,16.0,2103,5
1652877989647,1652877990046,11.0,13.0,399,6
1652877996945,1652877997346,13.0,15.0,401,6
1652878000350,1652878001445,15.0,13.0,1095,6
1652878005846,1652878007046,13.0,15.0,1200,6
1652878009946,1652878011045,15.0,13.0,1099,6
1652878013843,1652878014145,13.0,14.0,302,6
1652878015544,1652878015844,14.0,15.0,300,6
1652878016944,1652878017943,15.0,17.0,999,6
1652878023644,1652878024044,11.0,12.0,400,7
1652878025544,1652878025843,12.0,13.0,299,7
1652878027646,1652878028044,13.0,14.0,398,7
1652878030043,1652878031044,14.0,16.0,1001,7
1652878038457,1652878039545,16.0,18.0,1088,7
1652878044743,1652878046446,12.0,15.0,1703,8
1652878049743,1652878050043,15.0,14.0,300,8
1652878052144,1652878052544,14.0,13.0,400,8
1652878056744,1652878057145,13.0,14.0,401,8
1652878064643,1652878065043,14.0,15.0,400,8
1652878070950,1652878071243,15.0,14.0,293,8
1652878075143,1652878075542,14.0,15.0,399,8
1652878076450,1652878076843,15.0,16.0,393,8
1652878088144,1652878088544,10.0,11.0,400,9
1652878089758,1652878091643,11.0,14.0,1885,9
1652878094743,1652878095743,14.0,16.0,1000,9
1652878098552,1652878098943,16.0,17.0,391,9
1652878102843,1652878104243,17.0,19.0,1400,9
1652878106244,1652878106544,19.0,18.0,300,9
1652878116443,1652878116843,10.0,11.0,400,10
1652878120243,1652878122145,11.0,14.0,1902,10
1652878128944,1652878130444,14.0,11.0,1500,10
1652878132142,1652878134742,11.0,15.0,2600,10
1652878136242,1652878136542,15.0,16.0,300,10
1652878140142,1652878140442,16.0,17.0,300,10
1652878141743,1652878142141,17.0,18.0,398,10
