tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655733952071,1655733953575,19.0,13.0,1504,1
1655733959171,1655733959573,13.0,14.0,402,1
1655733960571,1655733960972,14.0,15.0,401,1
1655733963270,1655733965470,15.0,14.0,2200,1
1655733967782,1655733969170,14.0,14.0,1388,1
1655733970370,1655733970673,14.0,15.0,303,1
1655733988373,1655733988970,19.0,17.0,597,2
1655733990471,1655733990875,17.0,16.0,404,2
1655733991975,1655733992371,16.0,15.0,396,2
1655733994775,1655733995870,15.0,17.0,1095,2
1655734003771,1655734004981,19.0,17.0,1210,3
1655734008570,1655734009670,17.0,15.0,1100,3
1655734014770,1655734015070,15.0,14.0,300,3
1655734018971,1655734019372,14.0,13.0,401,3
1655734021171,1655734021571,13.0,14.0,400,3
1655734022670,1655734022970,14.0,15.0,300,3
1655734026772,1655734029573,15.0,12.0,2801,3
1655734033571,1655734034071,19.0,17.0,500,4
1655734035871,1655734036279,17.0,16.0,408,4
1655734040373,1655734040770,16.0,15.0,397,4
1655734046875,1655734047469,15.0,13.0,594,4
1655734049479,1655734052071,13.0,16.0,2592,4
1655734087470,1655734091872,10.0,12.0,4402,5
1655734096470,1655734096770,12.0,11.0,300,5
1655734101870,1655734102271,11.0,12.0,401,5
1655734103170,1655734104569,12.0,14.0,1399,5
1655734110173,1655734110770,14.0,16.0,597,5
1655734126469,1655734126771,11.0,12.0,302,6
1655734128169,1655734128578,12.0,13.0,409,6
1655734135169,1655734135677,13.0,15.0,508,6
1655734138069,1655734139078,15.0,13.0,1009,6
1655734141270,1655734141679,13.0,12.0,409,6
1655734143969,1655734145272,12.0,14.0,1303,6
1655734153569,1655734154071,14.0,16.0,502,6
1655734160470,1655734160980,16.0,18.0,510,6
1655734175470,1655734175874,11.0,12.0,404,7
1655734177269,1655734177678,12.0,13.0,409,7
1655734179468,1655734179868,13.0,14.0,400,7
1655734181868,1655734182170,14.0,15.0,302,7
1655734186068,1655734186468,15.0,16.0,400,7
1655734189869,1655734190671,16.0,18.0,802,7
1655734201668,1655734202075,18.0,17.0,407,7
1655734204268,1655734205672,17.0,20.0,1404,7
1655734222769,1655734223168,12.0,13.0,399,8
1655734224268,1655734224669,13.0,14.0,401,8
1655734226768,1655734227070,14.0,15.0,302,8
1655734231768,1655734233871,15.0,15.0,2103,8
1655734236470,1655734236869,15.0,17.0,399,8
1655734237967,1655734238968,17.0,17.0,1001,8
1655734258882,1655734259472,10.0,12.0,590,9
1655734260872,1655734261271,12.0,13.0,399,9
1655734262867,1655734263270,13.0,14.0,403,9
1655734272467,1655734272769,14.0,15.0,302,9
1655734278368,1655734279376,15.0,17.0,1008,9
1655734286969,1655734287467,17.0,19.0,498,9
1655734289367,1655734291167,19.0,18.0,1800,9
1655734292068,1655734292468,18.0,19.0,400,9
1655734294767,1655734295070,19.0,18.0,303,9
1655734305768,1655734306067,18.0,19.0,299,9
1655734313168,1655734314172,19.0,16.0,1004,9
1655734315483,1655734315969,16.0,18.0,486,9
1655734322467,1655734322876,18.0,20.0,409,9
1655734324268,1655734324671,20.0,19.0,403,9
1655734330168,1655734330576,19.0,18.0,408,9
1655734334768,1655734335172,18.0,20.0,404,9
1655734338676,1655734339068,20.0,19.0,392,9
1655734341068,1655734341472,19.0,18.0,404,9
1655734360369,1655734361868,10.0,13.0,1499,10
1655734367368,1655734367672,13.0,14.0,304,10
1655734368668,1655734369067,14.0,15.0,399,10
1655734386868,1655734387174,15.0,14.0,306,10
1655734390668,1655734391067,14.0,13.0,399,10
1655734395568,1655734395968,13.0,14.0,400,10
1655734399068,1655734399468,14.0,15.0,400,10
1655734408768,1655734409174,15.0,17.0,406,10
