tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652363868910,1652363870708,19.0,13.0,1798,1
1652363872308,1652363873308,13.0,16.0,1000,1
1652363874707,1652363876309,16.0,18.0,1602,1
1652363879308,1652363879608,18.0,17.0,300,1
1652363883808,1652363885411,17.0,15.0,1603,1
1652363886708,1652363887110,15.0,14.0,402,1
1652363888317,1652363888707,14.0,13.0,390,1
1652363892408,1652363893308,13.0,16.0,900,1
1652363922309,1652363922709,19.0,18.0,400,3
1652363925408,1652363925710,18.0,17.0,302,3
1652363927309,1652363927709,17.0,16.0,400,3
1652363929609,1652363929909,16.0,15.0,300,3
1652363930908,1652363932309,15.0,13.0,1401,3
1652363946009,1652363947410,19.0,17.0,1401,4
1652363948309,1652363948808,17.0,15.0,499,4
1652363952009,1652363952308,15.0,14.0,299,4
1652363976608,1652363977909,10.0,13.0,1301,5
1652363988309,1652363988708,13.0,12.0,399,5
1652363993711,1652363994108,12.0,11.0,397,5
1652363995409,1652363995708,11.0,10.0,299,5
1652363997108,1652363998908,10.0,13.0,1800,5
1652364000710,1652364002709,13.0,19.0,1999,5
1652364004008,1652364004309,19.0,18.0,301,5
1652364013409,1652364013808,11.0,12.0,399,6
1652364016710,1652364017120,12.0,13.0,410,6
1652364019109,1652364019408,13.0,12.0,299,6
1652364020413,1652364020709,12.0,13.0,296,6
1652364022624,1652364022912,13.0,14.0,288,6
1652364035609,1652364036008,14.0,15.0,399,6
1652364045611,1652364046012,15.0,16.0,401,6
1652364057909,1652364059208,16.0,14.0,1299,6
1652364061509,1652364061809,14.0,15.0,300,6
1652364062709,1652364063115,15.0,16.0,406,6
1652364069309,1652364069713,16.0,17.0,404,6
1652364071308,1652364071710,17.0,16.0,402,6
1652364091811,1652364093410,11.0,14.0,1599,7
1652364094908,1652364095209,14.0,15.0,301,7
1652364099309,1652364100410,15.0,17.0,1101,7
1652364102508,1652364102909,17.0,16.0,401,7
1652364127208,1652364129418,12.0,13.0,2210,8
1652364133009,1652364133308,13.0,14.0,299,8
1652364143913,1652364144909,14.0,12.0,996,8
1652364145808,1652364146408,12.0,14.0,600,8
1652364150708,1652364151508,14.0,16.0,800,8
1652364180008,1652364180309,10.0,11.0,301,9
1652364182115,1652364183608,11.0,13.0,1493,9
1652364186515,1652364186916,13.0,14.0,401,9
1652364198715,1652364200011,14.0,17.0,1296,9
1652364209908,1652364210308,17.0,16.0,400,9
1652364220513,1652364220909,16.0,17.0,396,9
1652364222609,1652364223008,17.0,18.0,399,9
1652364234709,1652364235116,10.0,11.0,407,10
1652364237715,1652364238109,11.0,12.0,394,10
1652364243109,1652364243509,12.0,13.0,400,10
1652364245408,1652364245809,13.0,15.0,401,10
1652364246909,1652364247609,15.0,12.0,700,10
1652364250309,1652364250613,12.0,13.0,304,10
1652364251809,1652364252108,13.0,14.0,299,10
1652364253609,1652364254609,14.0,16.0,1000,10
1652364259810,1652364260209,16.0,17.0,399,10
