tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655713339827,1655713340339,19.0,17.0,512,1
1655713343830,1655713345128,17.0,15.0,1298,1
1655713346730,1655713347128,15.0,14.0,398,1
1655713348728,1655713349229,14.0,12.0,501,1
1655713358829,1655713359128,12.0,13.0,299,1
1655713366129,1655713366529,19.0,18.0,400,2
1655713367730,1655713368034,18.0,17.0,304,2
1655713370429,1655713370729,17.0,16.0,300,2
1655713372337,1655713372730,16.0,15.0,393,2
1655713374133,1655713374441,15.0,14.0,308,2
1655713376340,1655713376734,14.0,13.0,394,2
1655713380730,1655713381137,13.0,12.0,407,2
1655713387243,1655713387630,12.0,13.0,387,2
1655713394637,1655713395033,19.0,18.0,396,3
1655713397636,1655713398034,18.0,17.0,398,3
1655713400543,1655713400831,17.0,16.0,288,3
1655713403243,1655713403530,16.0,15.0,287,3
1655713407033,1655713407429,15.0,14.0,396,3
1655713410244,1655713410630,14.0,13.0,386,3
1655713413040,1655713413433,13.0,12.0,393,3
1655713418832,1655713419229,19.0,18.0,397,4
1655713420639,1655713421131,18.0,16.0,492,4
1655713423240,1655713423831,16.0,14.0,591,4
1655713425434,1655713425836,14.0,13.0,402,4
1655713427945,1655713428244,13.0,12.0,299,4
1655713469738,1655713472833,10.0,13.0,3095,5
1655713475443,1655713475731,13.0,12.0,288,5
1655713478132,1655713479634,12.0,15.0,1502,5
1655713503033,1655713503436,11.0,12.0,403,6
1655713508233,1655713508546,12.0,13.0,313,6
1655713516234,1655713517341,13.0,15.0,1107,6
1655713519634,1655713521535,15.0,17.0,1901,6
1655713529434,1655713530736,11.0,13.0,1302,7
1655713533534,1655713534447,13.0,15.0,913,7
1655713536234,1655713537533,15.0,19.0,1299,7
1655713539133,1655713539534,19.0,18.0,401,7
1655713542249,1655713542635,18.0,17.0,386,7
1655713551235,1655713551638,17.0,16.0,403,7
1655713555735,1655713556135,16.0,17.0,400,7
1655713557435,1655713557838,17.0,18.0,403,7
1655713569435,1655713569835,12.0,13.0,400,8
1655713570835,1655713571137,13.0,14.0,302,8
1655713572735,1655713574040,14.0,14.0,1305,8
1655713575936,1655713576335,14.0,13.0,399,8
1655713578335,1655713578736,13.0,14.0,401,8
1655713588135,1655713588549,14.0,15.0,414,8
1655713608335,1655713610236,10.0,13.0,1901,9
1655713612236,1655713612640,13.0,14.0,404,9
1655713619436,1655713619735,14.0,15.0,299,9
1655713631736,1655713632139,15.0,14.0,403,9
1655713636536,1655713638440,14.0,17.0,1904,9
1655713663038,1655713663437,17.0,18.0,399,9
1655713679736,1655713680637,10.0,12.0,901,10
1655713681938,1655713682337,12.0,13.0,399,10
1655713689137,1655713689538,13.0,14.0,401,10
1655713692037,1655713693239,14.0,16.0,1202,10
1655713701338,1655713701737,16.0,15.0,399,10
1655713705138,1655713705538,15.0,16.0,400,10
1655713713340,1655713714039,16.0,18.0,699,10
