tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652707638358,1652707639359,19.0,16.0,1001,1
1652707641461,1652707641859,16.0,17.0,398,1
1652707653657,1652707654068,17.0,16.0,411,1
1652707661859,1652707662258,19.0,18.0,399,2
1652707663558,1652707663857,18.0,17.0,299,2
1652707665158,1652707666067,17.0,15.0,909,2
1652707667173,1652707667457,15.0,14.0,284,2
1652707673867,1652707674158,19.0,18.0,291,3
1652707675558,1652707675958,18.0,17.0,400,3
1652707677258,1652707677657,17.0,16.0,399,3
1652707678969,1652707679258,16.0,15.0,289,3
1652707680857,1652707681259,15.0,14.0,402,3
1652707682457,1652707682861,14.0,13.0,404,3
1652707684558,1652707685458,13.0,11.0,900,3
1652707686570,1652707686960,11.0,12.0,390,3
1652707690758,1652707691159,19.0,18.0,401,4
1652707694161,1652707694457,18.0,17.0,296,4
1652707697459,1652707697858,17.0,16.0,399,4
1652707699057,1652707699458,16.0,15.0,401,4
1652707701564,1652707701962,15.0,14.0,398,4
1652707708057,1652707708776,10.0,14.0,719,5
1652707713765,1652707714060,14.0,15.0,295,5
1652707715959,1652707716858,15.0,12.0,899,5
1652707720659,1652707722559,12.0,15.0,1900,5
1652707731959,1652707732259,11.0,12.0,300,6
1652707736358,1652707736765,12.0,13.0,407,6
1652707739259,1652707740558,13.0,14.0,1299,6
1652707743459,1652707743858,14.0,15.0,399,6
1652707745359,1652707745758,15.0,14.0,399,6
1652707751459,1652707752562,14.0,16.0,1103,6
1652707753659,1652707753960,16.0,17.0,301,6
1652707758459,1652707759259,11.0,13.0,800,7
1652707760372,1652707761559,13.0,15.0,1187,7
1652707765659,1652707765962,15.0,16.0,303,7
1652707771359,1652707771758,16.0,17.0,399,7
1652707775859,1652707776260,17.0,16.0,401,7
1652707783659,1652707783958,12.0,13.0,299,8
1652707790259,1652707791559,13.0,15.0,1300,8
1652707792758,1652707793059,15.0,16.0,301,8
1652707807770,1652707811058,10.0,14.0,3288,9
1652707812159,1652707812559,14.0,15.0,400,9
1652707813858,1652707814259,15.0,16.0,401,9
1652707816564,1652707816858,16.0,17.0,294,9
1652707821465,1652707821759,17.0,16.0,294,9
1652707822759,1652707823059,16.0,17.0,300,9
1652707826258,1652707826558,17.0,18.0,300,9
1652707831158,1652707831663,10.0,12.0,505,10
1652707834258,1652707835161,12.0,14.0,903,10
1652707837559,1652707837861,14.0,15.0,302,10
1652707839962,1652707840359,15.0,14.0,397,10
1652707841759,1652707842159,14.0,13.0,400,10
1652707844258,1652707846059,13.0,16.0,1801,10
1652707856359,1652707857858,16.0,17.0,1499,10
