tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652360661425,1652360661723,19.0,18.0,298,1
1652360663423,1652360663723,18.0,17.0,300,1
1652360668522,1652360668924,17.0,15.0,402,1
1652360680022,1652360681525,19.0,18.0,1503,2
1652360686628,1652360687922,18.0,16.0,1294,2
1652360698821,1652360699122,16.0,15.0,301,2
1652360708623,1652360709229,19.0,17.0,606,3
1652360710422,1652360710822,17.0,16.0,400,3
1652360714322,1652360715723,16.0,14.0,1401,3
1652360725423,1652360725721,19.0,18.0,298,4
1652360726836,1652360727222,18.0,17.0,386,4
1652360729422,1652360729723,17.0,16.0,301,4
1652360752737,1652360753023,10.0,11.0,286,5
1652360755022,1652360756324,11.0,13.0,1302,5
1652360757430,1652360757722,13.0,14.0,292,5
1652360765823,1652360766222,11.0,12.0,399,6
1652360768522,1652360768922,12.0,13.0,400,6
1652360772322,1652360772722,13.0,14.0,400,6
1652360781422,1652360781723,14.0,15.0,301,6
1652360785621,1652360785922,15.0,16.0,301,6
1652360792522,1652360792935,16.0,15.0,413,6
1652360794221,1652360794921,15.0,13.0,700,6
1652360796222,1652360796522,13.0,14.0,300,6
1652360797721,1652360798023,14.0,15.0,302,6
1652360800623,1652360801021,15.0,16.0,398,6
1652360807721,1652360808122,16.0,17.0,401,6
1652360820222,1652360822122,11.0,17.0,1900,7
1652360823421,1652360824322,17.0,15.0,901,7
1652360825422,1652360825722,15.0,14.0,300,7
1652360827421,1652360828821,14.0,16.0,1400,7
1652360830721,1652360831433,16.0,19.0,712,7
1652360842424,1652360842823,12.0,13.0,399,8
1652360846722,1652360847122,13.0,14.0,400,8
1652360849522,1652360849823,14.0,15.0,301,8
1652360851426,1652360851723,15.0,16.0,297,8
1652360865922,1652360866324,10.0,11.0,402,9
1652360868422,1652360869321,11.0,13.0,899,9
1652360871522,1652360871821,13.0,14.0,299,9
1652360874022,1652360874927,14.0,16.0,905,9
1652360880723,1652360881122,16.0,17.0,399,9
1652360898422,1652360898822,17.0,18.0,400,9
1652360901623,1652360902022,18.0,17.0,399,9
1652360911122,1652360911522,17.0,19.0,400,9
1652360914822,1652360915123,19.0,18.0,301,9
1652360922122,1652360922522,18.0,19.0,400,9
1652360933422,1652360933822,10.0,11.0,400,10
1652360935322,1652360935622,11.0,12.0,300,10
1652360937523,1652360937822,12.0,13.0,299,10
1652360939822,1652360940122,13.0,14.0,300,10
1652360945022,1652360945423,14.0,15.0,401,10
1652360952522,1652360953222,15.0,13.0,700,10
1652360954523,1652360954923,13.0,14.0,400,10
1652360956623,1652360956922,14.0,15.0,299,10
1652360960822,1652360961222,15.0,16.0,400,10
1652360963122,1652360963526,16.0,17.0,404,10
