tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652443014239,1652443015638,19.0,15.0,1399,1
1652443017238,1652443017737,15.0,17.0,499,1
1652443018738,1652443019638,17.0,14.0,900,1
1652443021638,1652443022638,14.0,12.0,1000,1
1652443023737,1652443024041,12.0,13.0,304,1
1652443028237,1652443031738,19.0,13.0,3501,2
1652443035639,1652443039838,19.0,12.0,4199,3
1652443044140,1652443047039,19.0,13.0,2899,4
1652443048339,1652443048639,13.0,12.0,300,4
1652443049639,1652443050038,12.0,13.0,399,4
1652443055139,1652443056950,10.0,15.0,1811,5
1652443066839,1652443068440,11.0,14.0,1601,6
1652443071839,1652443072139,14.0,15.0,300,6
1652443075239,1652443075539,15.0,16.0,300,6
1652443078139,1652443080039,16.0,14.0,1900,6
1652443081739,1652443084039,14.0,18.0,2300,6
1652443090639,1652443091538,11.0,13.0,899,7
1652443092838,1652443093238,13.0,14.0,400,7
1652443094639,1652443094938,14.0,15.0,299,7
1652443096339,1652443096740,15.0,16.0,401,7
1652443099039,1652443099338,16.0,17.0,299,7
1652443105638,1652443106739,12.0,14.0,1101,8
1652443108039,1652443108450,14.0,15.0,411,8
1652443111139,1652443111842,15.0,17.0,703,8
1652443123738,1652443124139,10.0,9.0,401,9
1652443125139,1652443126540,9.0,13.0,1401,9
1652443129139,1652443129438,13.0,14.0,299,9
1652443132538,1652443132939,14.0,16.0,401,9
1652443138738,1652443139138,16.0,17.0,400,9
1652443140339,1652443141338,17.0,15.0,999,9
1652443143339,1652443143638,15.0,16.0,299,9
1652443144539,1652443144838,16.0,17.0,299,9
1652443149540,1652443151539,17.0,18.0,1999,9
1652443161538,1652443162639,10.0,12.0,1101,10
1652443164147,1652443165038,12.0,14.0,891,10
1652443166839,1652443167139,14.0,15.0,300,10
1652443175039,1652443175338,15.0,16.0,299,10
1652443178039,1652443182339,16.0,17.0,4300,10
1652443183839,1652443184142,17.0,18.0,303,10
