tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652705431313,1652705432213,19.0,17.0,900,1
1652705458313,1652705458613,19.0,18.0,300,2
1652705465513,1652705465914,18.0,17.0,401,2
1652705482414,1652705482714,17.0,16.0,300,2
1652705492414,1652705492814,16.0,15.0,400,2
1652705511413,1652705512513,19.0,17.0,1100,3
1652705515114,1652705515414,17.0,16.0,300,3
1652705550713,1652705551514,19.0,17.0,801,4
1652705565413,1652705565814,17.0,16.0,401,4
1652705581217,1652705581614,16.0,15.0,397,4
1652705598913,1652705599314,10.0,11.0,401,5
1652705605313,1652705606113,11.0,12.0,800,5
1652705616914,1652705617314,12.0,13.0,400,5
1652705619614,1652705620014,13.0,14.0,400,5
1652705621213,1652705621513,14.0,15.0,300,5
1652705622714,1652705623113,15.0,14.0,399,5
1652705624126,1652705624412,14.0,13.0,286,5
1652705644913,1652705645213,13.0,12.0,300,5
1652705653014,1652705653613,12.0,14.0,599,5
1652705655213,1652705655812,14.0,11.0,599,5
1652705657013,1652705657414,11.0,12.0,401,5
1652705660613,1652705661012,12.0,13.0,399,5
1652705662112,1652705662513,13.0,14.0,401,5
1652705663612,1652705663913,14.0,15.0,301,5
1652705673814,1652705674213,11.0,12.0,399,6
1652705675513,1652705675913,12.0,13.0,400,6
1652705681717,1652705682113,13.0,14.0,396,6
1652705688614,1652705688914,14.0,15.0,300,6
1652705692714,1652705693019,15.0,16.0,305,6
1652705699914,1652705700215,16.0,17.0,301,6
1652705712013,1652705712718,11.0,15.0,705,7
1652705713914,1652705714214,15.0,14.0,300,7
1652705719715,1652705720114,14.0,15.0,399,7
1652705722713,1652705723413,15.0,13.0,700,7
1652705724814,1652705725613,13.0,16.0,799,7
1652705728814,1652705729513,16.0,18.0,699,7
1652705745014,1652705745420,12.0,13.0,406,8
1652705747314,1652705747714,13.0,14.0,400,8
1652705750415,1652705750817,14.0,15.0,402,8
1652705755915,1652705757513,15.0,19.0,1598,8
1652705777014,1652705778213,10.0,12.0,1199,9
1652705779914,1652705780314,12.0,13.0,400,9
1652705781714,1652705782015,13.0,14.0,301,9
1652705788214,1652705789618,14.0,16.0,1404,9
1652705793516,1652705793914,16.0,17.0,398,9
1652705808714,1652705809115,10.0,11.0,401,10
1652705810015,1652705810314,11.0,12.0,299,10
1652705811728,1652705812016,12.0,13.0,288,10
1652705816015,1652705816413,13.0,14.0,398,10
1652705818216,1652705818514,14.0,15.0,298,10
1652705822513,1652705823021,15.0,17.0,508,10
1652705826414,1652705827415,17.0,15.0,1001,10
1652705842114,1652705842427,15.0,16.0,313,10
1652705859214,1652705859614,16.0,15.0,400,10
1652705861914,1652705862215,15.0,16.0,301,10
1652705870614,1652705871017,16.0,17.0,403,10
