tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652878994910,1652878996713,19.0,22.0,1803,1
1652878997712,1652878999008,22.0,19.0,1296,1
1652879006807,1652879007228,19.0,18.0,421,1
1652879011808,1652879012222,18.0,17.0,414,1
1652879014309,1652879014817,17.0,15.0,508,1
1652879020009,1652879020512,15.0,17.0,503,1
1652879037409,1652879037710,19.0,18.0,301,2
1652879044708,1652879045209,19.0,17.0,501,3
1652879052710,1652879053108,17.0,16.0,398,3
1652879056511,1652879056908,16.0,15.0,397,3
1652879071608,1652879072208,19.0,16.0,600,4
1652879082809,1652879083409,10.0,13.0,600,5
1652879094309,1652879094709,13.0,12.0,400,5
1652879096209,1652879096614,12.0,11.0,405,5
1652879097709,1652879098609,11.0,13.0,900,5
1652879099908,1652879100208,13.0,14.0,300,5
1652879108617,1652879108910,11.0,12.0,293,6
1652879110308,1652879111609,12.0,14.0,1301,6
1652879117009,1652879117610,14.0,16.0,601,6
1652879123808,1652879124109,16.0,15.0,301,6
1652879125811,1652879126308,15.0,17.0,497,6
1652879127809,1652879128109,17.0,18.0,300,6
1652879130409,1652879130709,18.0,17.0,300,6
1652879131809,1652879132209,17.0,16.0,400,6
1652879133409,1652879133708,16.0,15.0,299,6
1652879142808,1652879143109,15.0,16.0,301,6
1652879146311,1652879147711,16.0,18.0,1400,6
1652879171009,1652879171309,11.0,12.0,300,7
1652879173108,1652879173515,12.0,13.0,407,7
1652879174508,1652879174808,13.0,14.0,300,7
1652879176309,1652879177810,14.0,16.0,1501,7
1652879186709,1652879187317,16.0,18.0,608,7
1652879220709,1652879221308,12.0,14.0,599,8
1652879225508,1652879225813,14.0,15.0,305,8
1652879226915,1652879227211,15.0,16.0,296,8
1652879231009,1652879231409,16.0,15.0,400,8
1652879232908,1652879233318,15.0,16.0,410,8
1652879235508,1652879235908,16.0,17.0,400,8
1652879253709,1652879254115,10.0,11.0,406,9
1652879255109,1652879255511,11.0,12.0,402,9
1652879256409,1652879256814,12.0,13.0,405,9
1652879263414,1652879265011,13.0,15.0,1597,9
1652879267309,1652879267609,15.0,16.0,300,9
1652879268810,1652879269109,16.0,17.0,299,9
1652879276609,1652879277010,17.0,18.0,401,9
1652879293309,1652879293609,10.0,11.0,300,10
1652879295310,1652879295709,11.0,12.0,399,10
1652879304509,1652879304811,12.0,13.0,302,10
1652879306009,1652879306409,13.0,14.0,400,10
1652879310709,1652879311324,14.0,16.0,615,10
1652879313008,1652879313418,16.0,17.0,410,10
