tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655812150698,1655812151715,19.0,15.0,1017,1
1655812154299,1655812154799,15.0,13.0,500,1
1655812156098,1655812157710,13.0,20.0,1612,1
1655812163699,1655812164099,19.0,18.0,400,2
1655812167098,1655812168205,18.0,16.0,1107,2
1655812169398,1655812169806,16.0,15.0,408,2
1655812173699,1655812175898,19.0,15.0,2199,3
1655812180903,1655812181299,15.0,14.0,396,3
1655812182303,1655812182698,14.0,13.0,395,3
1655812186301,1655812187998,19.0,16.0,1697,4
1655812189798,1655812190204,16.0,15.0,406,4
1655812191113,1655812191504,15.0,14.0,391,4
1655812211799,1655812212404,10.0,12.0,605,5
1655812217698,1655812218199,12.0,15.391828245663632,501,5
1655812227812,1655812230798,11.0,15.0,2986,6
1655812239100,1655812239398,15.0,14.0,298,6
1655812241999,1655812242398,14.0,15.0,399,6
1655812248398,1655812249698,15.0,17.0,1300,6
1655812250897,1655812252205,17.0,17.0,1308,6
1655812261798,1655812262599,11.0,13.0,801,7
1655812270298,1655812270898,13.0,15.0,600,7
1655812271809,1655812272200,15.0,16.0,391,7
1655812275799,1655812277102,16.0,19.0,1303,7
1655812282398,1655812282698,12.0,13.0,300,8
1655812286398,1655812288799,13.0,14.0,2401,8
1655812291402,1655812293199,14.0,15.0,1797,8
1655812294398,1655812296999,15.0,17.0,2601,8
1655812308199,1655812309000,10.0,14.0,801,9
1655812310499,1655812311203,14.0,16.0,704,9
1655812315898,1655812316299,16.0,17.0,401,9
1655812319499,1655812319899,17.0,18.0,400,9
1655812331799,1655812332799,10.0,12.0,1000,10
1655812337299,1655812338998,12.0,17.0,1699,10
1655812340498,1655812340898,17.0,16.0,400,10
1655812342299,1655812342600,16.0,17.0,301,10
