tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652366288638,1652366289540,19.0,17.0,902,1
1652366292038,1652366293045,17.0,14.0,1007,1
1652366298239,1652366299039,14.0,12.0,800,1
1652366300639,1652366301149,12.0,14.0,510,1
1652366314739,1652366317239,19.0,12.0,2500,2
1652366319240,1652366319643,12.0,13.0,403,2
1652366322439,1652366323639,13.0,13.0,1200,2
1652366325441,1652366325939,13.0,15.0,498,2
1652366327440,1652366327743,15.0,16.0,303,2
1652366328639,1652366329739,16.0,18.0,1100,2
1652366334839,1652366336739,18.0,13.0,1900,2
1652366343139,1652366343940,19.0,16.0,801,3
1652366347139,1652366347938,16.0,13.0,799,3
1652366359039,1652366361239,19.0,14.0,2200,4
1652366363039,1652366363340,14.0,13.0,301,4
1652366375139,1652366376639,10.0,13.0,1500,5
1652366379739,1652366380139,13.0,14.0,400,5
1652366385139,1652366385639,11.0,13.0,500,6
1652366392339,1652366392638,13.0,14.0,299,6
1652366400140,1652366400441,14.0,15.0,301,6
1652366405849,1652366406746,15.0,18.0,897,6
1652366408039,1652366409039,18.0,16.0,1000,6
1652366419240,1652366419639,16.0,17.0,399,6
1652366427139,1652366427439,11.0,12.0,300,7
1652366430539,1652366431042,12.0,14.0,503,7
1652366435040,1652366435440,14.0,15.0,400,7
1652366444439,1652366444739,15.0,16.0,300,7
1652366448540,1652366448939,16.0,17.0,399,7
1652366451441,1652366451940,17.0,19.0,499,7
1652366462939,1652366463340,12.0,13.0,401,8
1652366464839,1652366465142,13.0,14.0,303,8
1652366473439,1652366473839,14.0,15.0,400,8
1652366478440,1652366478744,15.0,14.0,304,8
1652366482245,1652366482541,14.0,15.0,296,8
1652366484540,1652366484939,15.0,16.0,399,8
1652366486049,1652366486839,16.0,19.0,790,8
1652366498539,1652366498939,10.0,12.0,400,9
1652366500639,1652366502239,12.0,14.0,1600,9
1652366503240,1652366503647,14.0,15.0,407,9
1652366504638,1652366505044,15.0,16.0,406,9
1652366510943,1652366511339,16.0,17.0,396,9
1652366516139,1652366516539,17.0,18.0,400,9
1652366519140,1652366520039,18.0,15.0,899,9
1652366523139,1652366523839,15.0,17.0,700,9
1652366524839,1652366525240,17.0,18.0,401,9
1652366536939,1652366537540,10.0,12.0,601,10
1652366543039,1652366543340,12.0,13.0,301,10
1652366544639,1652366545039,13.0,15.0,400,10
1652366546239,1652366546639,15.0,14.0,400,10
1652366551040,1652366551339,14.0,15.0,299,10
1652366552340,1652366552639,15.0,16.0,299,10
1652366554539,1652366554940,16.0,17.0,401,10
1652366562139,1652366562441,17.0,18.0,302,10
