tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655818696500,1655818697108,19.0,21.0,608,1
1655818698190,1655818699594,21.0,19.0,1404,1
1655818711487,1655818714502,19.0,18.0,3015,1
1655818728391,1655818728792,18.0,19.0,401,1
1655818729995,1655818730396,19.0,18.0,401,1
1655818732189,1655818732590,18.0,17.0,401,1
1655818749689,1655818752098,19.0,18.0,2409,2
1655818753092,1655818753498,18.0,17.0,406,2
1655818754889,1655818755297,17.0,16.0,408,2
1655818756989,1655818757291,16.0,15.0,302,2
1655818771889,1655818772988,19.0,17.0,1099,3
1655818777489,1655818777888,17.0,16.0,399,3
1655818791090,1655818791389,16.0,15.0,299,3
1655818793488,1655818793888,15.0,14.0,400,3
1655818808688,1655818809097,19.0,18.0,409,4
1655818810290,1655818810694,18.0,17.0,404,4
1655818818188,1655818818891,17.0,15.0,703,4
1655818844598,1655818845891,10.0,12.728007053489367,1293,5
1655818847690,1655818848389,12.728007053489367,15.0,699,5
1655818886189,1655818886489,11.0,12.0,300,6
1655818887389,1655818887696,12.0,13.0,307,6
1655818891095,1655818891389,13.0,14.0,294,6
1655818899689,1655818900091,14.0,15.0,402,6
1655818906189,1655818906591,15.0,16.0,402,6
1655818909289,1655818909689,16.0,17.0,400,6
1655818923487,1655818923788,17.0,16.0,301,6
1655818945588,1655818945888,16.0,17.0,300,6
1655818971490,1655818971889,11.0,12.0,399,7
1655818973689,1655818974795,12.0,14.0,1106,7
1655818980093,1655818980592,14.0,16.0,499,7
1655819009996,1655819010490,16.0,18.0,494,7
1655819027188,1655819027489,12.0,13.0,301,8
1655819031800,1655819032189,13.0,14.0,389,8
1655819041588,1655819041889,14.0,15.0,301,8
1655819042988,1655819043388,15.0,16.0,400,8
1655819071789,1655819072289,10.0,12.0,500,9
1655819077888,1655819078288,12.0,13.0,400,9
1655819079188,1655819079688,13.0,15.0,500,9
1655819084701,1655819085293,15.0,18.0,592,9
1655819101389,1655819102693,18.0,18.0,1304,9
1655819120189,1655819120589,10.0,11.0,400,10
1655819121688,1655819122191,11.0,13.0,503,10
1655819127289,1655819127790,13.0,15.0,501,10
1655819129489,1655819129789,15.0,16.0,300,10
1655819154089,1655819154494,16.0,17.0,405,10
1655819155789,1655819156290,17.0,19.0,501,10
