tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1652708124983,1652708125283,19.0,18.0,300,1
1652708128083,1652708128483,18.0,17.0,400,1
1652708162584,1652708162987,19.0,18.0,403,2
1652708179888,1652708180283,18.0,17.0,395,2
1652708190489,1652708190791,17.0,16.0,302,2
1652708200890,1652708201189,19.0,18.0,299,3
1652708204892,1652708205289,18.0,17.0,397,3
1652708212294,1652708212689,17.0,16.0,395,3
1652708218091,1652708218492,16.0,15.0,401,3
1652708223789,1652708224093,15.0,14.0,304,3
1652708235190,1652708235489,19.0,18.0,299,4
1652708236989,1652708237390,18.0,17.0,401,4
1652708244994,1652708245404,17.0,16.0,410,4
1652708256195,1652708256499,10.0,11.0,304,5
1652708257402,1652708258096,11.0,13.0,694,5
1652708266094,1652708267394,11.0,13.0,1300,6
1652708269495,1652708269898,13.0,14.0,403,6
1652708272395,1652708272800,14.0,15.0,405,6
1652708285694,1652708286094,15.0,16.0,400,6
1652708293395,1652708293695,11.0,12.0,300,7
1652708296594,1652708299294,12.0,16.0,2700,7
1652708301795,1652708302094,16.0,15.0,299,7
1652708303195,1652708303494,15.0,16.0,299,7
1652708305000,1652708305400,16.0,15.0,400,7
1652708308100,1652708309100,15.0,17.0,1000,7
1652708310101,1652708311100,17.0,14.0,999,7
1652708313000,1652708314304,14.0,16.0,1304,7
1652708324300,1652708324600,12.0,13.0,300,8
1652708326400,1652708326704,13.0,14.0,304,8
1652708328299,1652708328603,14.0,15.0,304,8
1652708330000,1652708330400,15.0,14.0,400,8
1652708334801,1652708335206,14.0,15.0,405,8
1652708357000,1652708358207,10.0,12.0,1207,9
1652708360000,1652708360409,12.0,13.0,409,9
1652708361300,1652708361600,13.0,14.0,300,9
1652708364400,1652708364807,14.0,15.0,407,9
1652708368502,1652708369605,15.0,17.0,1103,9
1652708371710,1652708372703,17.0,15.0,993,9
1652708378602,1652708379004,15.0,16.0,402,9
1652708386202,1652708386502,16.0,17.0,300,9
1652708392702,1652708393107,17.0,18.0,405,9
1652708401003,1652708403602,10.0,14.0,2599,10
1652708405902,1652708406206,14.0,15.0,304,10
