world_index,id_fixation,x,y,zoom,etape
402,55,260312.6246841875,6255307.589485707,19.0,1
403,55,260312.2024794897,6255307.24653195,19.0,1
404,56,260325.1695899104,6255328.674904624,19.0,1
405,56,260324.8174337421,6255328.444641439,19.0,1
406,56,260324.13958608164,6255327.975042932,19.0,1
407,56,260323.1744369402,6255327.295708875,19.0,1
407,57,260333.55685913246,6255333.277304439,19.0,1
408,57,260332.48038408413,6255332.949035246,19.0,1
409,57,260331.25323635736,6255332.619766581,19.0,1
410,57,260329.8495150812,6255332.007128121,19.0,1
411,57,260328.6704958197,6255331.256581619,19.0,1
412,57,260327.89504151314,6255330.311445428,19.0,1
413,57,260327.36813989124,6255329.271282427,19.0,1
415,58,260339.42825853502,6255333.86510984,19.0,1
416,58,260338.84060262755,6255332.982210059,19.0,1
417,58,260338.00130164908,6255332.08695141,19.0,1
418,58,260337.134322959,6255331.365543389,19.0,1
418,59,260341.86112938955,6255331.847289337,19.0,1
419,59,260341.03170354525,6255331.463472514,19.0,1
420,59,260340.1006731632,6255331.401658958,19.0,1
421,59,260339.04177858727,6255331.347245346,19.0,1
422,59,260338.31537533636,6255330.747254063,19.0,1
423,59,260337.30918800764,6255329.860087302,19.0,1
424,59,260336.04264225427,6255328.921101713,19.0,1
424,60,260333.1540288328,6255332.253959492,19.0,1
425,60,260332.03062126972,6255331.289890977,19.0,1
426,60,260331.3552338503,6255330.984475117,19.0,1
427,60,260330.8145275426,6255331.013613597,19.0,1
428,60,260330.18063960565,6255330.938691569,19.0,1
429,60,260329.33312073874,6255330.813661351,19.0,1
430,60,260328.7191539202,6255330.911129181,19.0,1
431,60,260328.10622928708,6255331.065643851,19.0,1
431,61,260316.88496741158,6255313.731266026,19.0,1
432,61,260316.39385887978,6255313.656728411,19.0,1
433,61,260316.0660317617,6255313.359096908,19.0,1
434,61,260315.95159638353,6255313.176231804,19.0,1
435,61,260315.79595196797,6255313.2246678,19.0,1
436,61,260315.62272708002,6255313.212270492,19.0,1
437,61,260315.79161237614,6255313.167371092,19.0,1
439,62,260308.47007173288,6255282.889261545,19.0,1
440,62,260308.63225970618,6255282.808390731,19.0,1
441,62,260308.65276171482,6255282.66597545,19.0,1
442,62,260309.05601913965,6255282.245245402,19.0,1
443,62,260309.58908844914,6255281.57728996,19.0,1
444,62,260309.65616418739,6255281.003573284,19.0,1
445,62,260309.45502239768,6255280.497724662,19.0,1
446,62,260309.35714239147,6255279.973866306,19.0,1
448,63,260351.40286671775,6255307.134629425,19.0,1
449,63,260350.75119328834,6255307.53311159,19.0,1
450,63,260349.8269114841,6255307.929652471,19.0,1
451,63,260349.00356790237,6255308.234395609,19.0,1
452,63,260348.5346698799,6255308.150747414,19.0,1
453,63,260348.23636565427,6255307.752111483,19.0,1
454,63,260347.79196753213,6255306.778269277,19.0,1
455,63,260347.24417094645,6255305.520624812,19.0,1
455,64,260353.68839647024,6255305.4690462435,19.0,1
456,64,260353.1143573135,6255304.766705089,19.0,1
457,64,260352.57828104275,6255304.365147622,19.0,1
458,64,260351.80896025378,6255304.0806822525,19.0,1
458,65,260339.83052502942,6255306.349283967,19.0,1
459,65,260338.59727795506,6255306.414230486,19.0,1
460,65,260337.04402869596,6255306.904904418,19.0,1
461,65,260335.57316334156,6255307.459458124,19.0,1
462,65,260334.85014292208,6255308.088126591,19.0,1
463,65,260334.44873067804,6255308.276027501,19.0,1
464,65,260334.15368968877,6255308.306876617,19.0,1
465,65,260333.69217238942,6255308.347259167,19.0,1
465,66,260326.42306563325,6255303.12000618,19.0,1
466,66,260325.6521730236,6255303.123879137,19.0,1
467,66,260324.6189230435,6255303.201232576,19.0,1
468,66,260323.95200978764,6255303.565598117,19.0,1
469,66,260323.69534172455,6255304.0254805945,19.0,1
470,66,260323.3624745294,6255304.345782835,19.0,1
470,67,260316.2902212261,6255284.7981394995,19.0,1
471,67,260315.68995658334,6255285.32337213,19.0,1
472,67,260314.68300042927,6255285.928639476,19.0,1
473,67,260313.2855835208,6255285.854274847,19.0,1
474,67,260312.07039529906,6255285.050842773,19.0,1
474,68,260317.7605056903,6255287.911593751,19.0,1
475,68,260316.9861960792,6255286.950206515,19.0,1
476,68,260316.04590562324,6255285.754404438,19.0,1
477,68,260314.93514096548,6255284.772681771,19.0,1
478,68,260314.11034515811,6255284.105437493,19.0,1
479,68,260313.29887565642,6255283.790574692,19.0,1
479,69,260313.45527181227,6255276.24606296,19.0,1
480,69,260312.32774676243,6255275.928566932,19.0,1
481,69,260311.4989018084,6255275.808284209,19.0,1
482,69,260310.96639630414,6255276.0209316835,19.0,1
483,69,260310.45897159047,6255276.2801027,19.0,1
484,69,260310.11067663378,6255276.656221659,19.0,1
485,69,260309.2947308602,6255276.494950937,19.0,1
486,70,260316.20694890106,6255277.65143721,19.0,1
487,70,260315.47326743708,6255277.154170601,19.0,1
488,70,260315.8038794113,6255276.641219955,19.0,1
489,70,260316.45222126434,6255276.252213562,19.0,1
490,70,260316.25324927055,6255276.239681709,19.0,1
491,70,260315.54251297124,6255276.33381476,19.0,1
492,70,260314.43745470588,6255276.201413428,19.0,1
492,71,260310.01869095504,6255281.668155503,19.0,1
493,71,260309.4398509113,6255281.048011387,19.0,1
494,71,260309.69060756188,6255280.368600449,19.0,1
495,71,260310.3740591047,6255279.660156744,19.0,1
496,71,260311.43274866053,6255278.676502404,19.0,1
497,71,260312.69099110042,6255277.371017783,19.0,1
498,71,260313.23250040345,6255277.178686518,19.0,1
499,71,260313.66926152736,6255277.205681898,19.0,1
499,72,260318.51858454454,6255284.935586247,19.0,1
500,72,260318.72196447017,6255284.827604731,19.0,1
501,72,260318.56599543948,6255284.856329966,19.0,1
502,72,260317.70200662565,6255285.107908833,19.0,1
503,72,260316.86467042303,6255285.114357355,19.0,1
504,72,260316.1453232801,6255284.565435295,19.0,1
505,73,260348.03471131437,6255302.0062858155,19.0,1
506,73,260347.64032100828,6255301.0521832,19.0,1
507,73,260347.77038916806,6255300.081349022,19.0,1
508,73,260348.2335295431,6255300.019929489,19.0,1
508,74,260354.89427336305,6255304.9525493905,19.0,1
509,74,260354.9898298083,6255305.340613973,19.0,1
510,74,260354.81569941496,6255305.958422783,19.0,1
511,74,260354.07854969453,6255306.353291469,19.0,1
512,74,260353.07550600715,6255306.439918862,19.0,1
513,74,260352.32183508476,6255306.120664147,19.0,1
514,74,260351.55553834204,6255305.28739204,19.0,1
514,75,260360.79403387758,6255308.22290167,19.0,1
515,75,260360.25739380158,6255307.08409838,19.0,1
516,75,260359.8952941591,6255306.272161176,19.0,1
517,75,260359.62776003144,6255305.949091165,19.0,1
518,75,260359.82760336058,6255305.684759408,19.0,1
519,75,260359.46376104737,6255305.684903563,19.0,1
520,75,260358.8158634045,6255305.385580644,19.0,1
521,75,260358.63554823858,6255304.936423279,19.0,1
521,76,260361.6468320117,6255310.044671716,19.0,1
522,76,260361.8035698677,6255310.393084132,19.0,1
523,76,260361.5817381343,6255310.802925692,19.0,1
524,76,260360.79681873374,6255311.168309927,19.0,1
525,76,260359.93417963546,6255311.433977517,19.0,1
526,76,260359.03699465265,6255311.491908506,19.0,1
527,76,260358.46369015123,6255311.500922983,19.0,1
527,77,260331.2541247777,6255323.652322548,19.0,1
528,77,260331.6544606663,6255323.177034734,19.0,1
529,77,260331.9201666982,6255322.577850717,19.0,1
530,77,260331.5544621192,6255322.559495013,19.0,1
531,77,260331.05117197725,6255322.352469574,19.0,1
532,77,260330.68823516942,6255322.00351898,19.0,1
533,77,260330.63484452193,6255321.866033792,19.0,1
534,77,260330.57714845263,6255321.857576713,19.0,1
534,78,260326.76958374918,6255324.911293237,19.0,1
535,78,260326.0705506798,6255325.886471278,19.0,1
536,78,260325.16390060302,6255326.132514602,19.0,1
537,78,260324.41429591234,6255326.093477496,19.0,1
538,78,260323.26900245502,6255326.08478977,19.0,1
538,79,260329.32720932626,6255338.206109045,19.0,1
539,79,260327.7187584089,6255337.56142979,19.0,1
540,79,260326.99406365873,6255336.5639558155,19.0,1
541,79,260326.4020339894,6255335.917642807,19.0,1
542,79,260325.59738140556,6255335.923024585,19.0,1
543,79,260324.5484132188,6255335.400742321,19.0,1
544,79,260323.00690135965,6255334.872770751,19.0,1
545,80,260317.83817413298,6255294.668588095,19.0,1
546,80,260317.54904455625,6255293.093659029,19.0,1
547,80,260317.2929402984,6255291.606577868,19.0,1
548,80,260316.6635115483,6255290.278201473,19.0,1
549,80,260315.59928645016,6255288.6884533,19.0,1
550,80,260315.0698562472,6255286.898772101,19.0,1
551,80,260314.4942623548,6255285.183080729,19.0,1
552,81,260318.49845840604,6255287.971206545,19.0,1
553,81,260317.60038500285,6255286.546976853,19.0,1
554,81,260316.80511208795,6255285.192998576,19.0,1
555,81,260315.68049148936,6255284.402838349,19.0,1
556,81,260314.97148077577,6255283.8784802575,19.0,1
557,82,260361.71252386438,6255307.037959251,19.0,1
558,82,260362.7084772738,6255307.275997181,19.0,1
559,82,260363.3874183747,6255307.174800548,19.0,1
560,82,260363.47421021125,6255306.240956479,19.0,1
561,82,260363.83222653702,6255305.048796711,19.0,1
561,83,260367.2262315563,6255312.669249166,19.0,1
562,83,260367.96016929537,6255310.8023682935,19.0,1
563,83,260368.82388474912,6255308.754217631,19.0,1
564,83,260368.9350227209,6255307.233000625,19.0,1
565,83,260368.18685317083,6255306.059715519,19.0,1
566,83,260367.63247885738,6255305.07731052,19.0,1
566,84,260364.2399089787,6255320.938580583,19.0,1
567,84,260364.51504593456,6255319.928536314,19.0,1
568,84,260364.94572479592,6255319.257005835,19.0,1
569,84,260365.4013306828,6255319.226733337,19.0,1
570,84,260365.3681515988,6255319.1197897345,19.0,1
571,84,260364.8442398532,6255319.568399311,19.0,1
572,85,260383.01332492457,6255323.839666059,19.0,1
573,85,260383.527310281,6255324.230748281,19.0,1
574,85,260383.81666196286,6255324.343765603,19.0,1
575,85,260384.33696877197,6255324.359065227,19.0,1
575,86,260371.81950157063,6255328.913413459,19.0,1
576,86,260372.1103909031,6255328.961215174,19.0,1
577,86,260371.89491479238,6255328.997080876,19.0,1
579,87,260412.70529058843,6255362.183675844,19.0,1
580,87,260412.38785115478,6255364.634095137,19.0,1
581,87,260412.36430801486,6255367.009823049,19.0,1
582,87,260413.01767286,6255368.663969954,19.0,1
583,87,260414.1603181412,6255370.005031966,19.0,1
584,87,260415.4177405007,6255371.315936805,19.0,1
585,87,260416.93591424005,6255372.93850421,19.0,1
586,87,260419.02083183805,6255374.925264169,19.0,1
588,88,260422.49353040048,6255393.061065512,19.0,1
589,88,260425.74812176105,6255395.725006817,19.0,1
590,88,260428.1181197891,6255398.788967938,19.0,1
591,88,260431.0478909929,6255402.203782497,19.0,1
592,88,260436.35141892632,6255406.248707069,19.0,1
593,88,260445.62184634028,6255409.967476719,19.0,1
595,89,260417.32965531587,6255404.358838321,19.0,1
596,89,260423.9905529009,6255407.688294047,19.0,1
597,89,260428.5281941318,6255409.879388558,19.0,1
598,89,260430.9569645846,6255410.850511045,19.0,1
599,90,260456.87519385928,6255399.594120259,19.0,1
600,90,260457.39628657873,6255399.800991933,19.0,1
601,90,260458.4082657249,6255399.952258315,19.0,1
601,91,260458.19535236523,6255394.17978324,19.0,1
602,91,260459.1405974733,6255392.9805695005,19.0,1
603,91,260459.91266894844,6255391.303684587,19.0,1
604,91,260461.32447143298,6255389.769243784,19.0,1
605,91,260463.84796116565,6255388.776805615,19.0,1
606,91,260467.4306530044,6255388.577526092,19.0,1
606,92,260452.1433302666,6255394.613823577,19.0,1
607,92,260456.54073775845,6255394.8889092775,19.0,1
608,92,260460.5112592605,6255395.2978474675,19.0,1
609,92,260465.40300435052,6255394.78029348,19.0,1
611,93,260461.227223572,6255397.016594919,19.0,1
612,93,260464.69568505266,6255397.298830696,19.0,1
613,93,260467.75625907152,6255397.124903187,19.0,1
649,101,260459.1534453987,6255406.758649686,19.0,1
650,101,260458.9682097507,6255403.344104216,19.0,1
651,101,260460.20960637348,6255401.266200014,19.0,1
652,101,260461.85680608713,6255400.008613212,19.0,1
653,101,260463.17214662107,6255399.419923661,19.0,1
654,102,260458.32950384173,6255401.952261292,19.0,1
655,102,260458.29687147797,6255402.173490779,19.0,1
656,102,260458.8561321035,6255401.056406804,19.0,1
657,102,260461.0507354477,6255398.486377512,19.0,1
658,102,260462.93586097154,6255397.631885827,19.0,1
659,102,260464.18655183824,6255396.685154323,19.0,1
696,109,260436.8911001336,6255320.741434549,19.0,1
697,109,260431.12135652383,6255324.548772876,19.0,1
698,109,260424.60137607812,6255328.798416412,19.0,1
700,110,260436.48136749104,6255315.93308565,19.0,1
701,110,260431.696437866,6255319.579431955,19.0,1
702,110,260427.58558011483,6255322.978562476,19.0,1
705,111,260446.28693150036,6255346.67481609,19.0,1
706,111,260443.44402047314,6255350.793989968,19.0,1
707,111,260441.9505174842,6255353.528913071,19.0,1
707,112,260450.2284426602,6255347.086464388,19.0,1
708,112,260449.22463014748,6255348.646545514,19.0,1
709,112,260448.65327333688,6255349.816832202,19.0,1
710,112,260447.37138524704,6255351.376625019,19.0,1
710,113,260451.61130314256,6255393.898835246,19.0,1
711,113,260450.15432789898,6255395.784917531,19.0,1
712,113,260448.3332028121,6255397.65174074,19.0,1
713,113,260446.29752420483,6255399.433743296,19.0,1
714,113,260444.5125168231,6255400.223653655,19.0,1
715,113,260443.66595471662,6255400.309147031,19.0,1
715,114,260453.91555806293,6255399.403413137,19.0,1
716,114,260453.81492737055,6255398.910365458,19.0,1
717,114,260453.3643273908,6255398.821777559,19.0,1
718,114,260452.78934855864,6255398.887416021,19.0,1
719,114,260452.54499878574,6255397.496841658,19.0,1
720,114,260452.9462230947,6255394.77908258,19.0,1
721,114,260453.76907121122,6255394.168250861,19.0,1
721,115,260449.56222988965,6255398.543712661,19.0,1
722,115,260450.58828708174,6255398.83394422,19.0,1
723,115,260452.23873294677,6255398.724771024,19.0,1
724,115,260454.4605014524,6255397.341212192,19.0,1
725,115,260456.33913467353,6255395.228018907,19.0,1
726,115,260457.30084972855,6255394.400743638,19.0,1
727,115,260459.41450658665,6255394.500353785,19.0,1
728,115,260458.96858789885,6255394.529261618,19.0,1
728,116,260453.98444708993,6255400.12039002,19.0,1
729,116,260453.9535232269,6255399.907925142,19.0,1
730,116,260472.34974093994,6255402.367429528,19.0,1
731,116,260471.85048285968,6255402.166420148,19.0,1
732,116,260469.91960368655,6255402.042389402,19.0,1
733,116,260496.2589123266,6255409.379953789,19.0,1
733,117,260517.18541504917,6255403.775236399,19.0,1
734,117,260512.9073634176,6255404.842385169,19.0,1
735,117,260507.72794097645,6255405.432497046,19.0,1
736,117,260532.84310201695,6255413.142978589,19.0,1
737,117,260527.27007518004,6255413.031037622,19.0,1
737,118,260518.21946346865,6255398.4029633785,19.0,1
738,118,260512.64940942297,6255397.689358934,19.0,1
739,118,260531.86262534605,6255408.596834291,19.0,1
740,118,260526.95112998772,6255407.474464642,19.0,1
741,118,260520.64881253368,6255406.569230485,19.0,1
742,118,260547.4720335005,6255418.8400798775,19.0,1
743,118,260540.6514423532,6255416.965952827,19.0,1
744,118,260534.9094106251,6255415.3728122115,19.0,1
744,119,260532.10834078054,6255414.5206654435,19.0,1
745,119,260546.63334872137,6255421.35913491,19.0,1
746,119,260543.79950983298,6255420.84331078,19.0,1
747,119,260541.36262400178,6255420.610106839,19.0,1
748,119,260540.60777079692,6255420.748523444,19.0,1
749,119,260540.2995230971,6255419.969088331,19.0,1
750,119,260540.34450792105,6255418.5425713835,19.0,1
750,120,260535.06009811067,6255410.5468841195,19.0,1
751,120,260535.2622820858,6255409.18525603,19.0,1
752,120,260535.85424341512,6255408.178594593,19.0,1
753,120,260537.4198451344,6255407.210912599,19.0,1
754,120,260539.23798034506,6255406.414793977,19.0,1
754,121,260529.93871343895,6255407.116462408,19.0,1
755,121,260531.63200850203,6255406.897597059,19.0,1
756,121,260533.50203087955,6255407.010460616,19.0,1
757,121,260535.32619709772,6255408.1754039675,19.0,1
758,121,260537.2816445112,6255410.064081037,19.0,1
759,122,260548.97535809065,6255450.226170506,19.0,1
