world_index,id_fixation,x,y,zoom,etape
20,6,0.0,0.0,0,1
21,6,0.0,0.0,0,1
22,6,0.0,0.0,0,1
29,9,0.0,0.0,0,1
30,9,0.0,0.0,0,1
31,9,0.0,0.0,0,1
32,9,0.0,0.0,0,1
33,10,0.0,0.0,0,1
34,10,0.0,0.0,0,1
35,10,0.0,0.0,0,1
36,10,0.0,0.0,0,1
38,11,0.0,0.0,0,1
39,11,0.0,0.0,0,1
40,11,0.0,0.0,0,1
64,19,260408.98907941848,6255380.332970071,19.0,1
65,19,260405.019924717,6255380.726474091,19.0,1
66,19,260401.20122058885,6255382.697184823,19.0,1
67,19,260397.3895896537,6255384.556704192,19.0,1
71,20,260324.44779961143,6255327.445687476,19.0,1
72,20,260322.47400290024,6255327.521243785,19.0,1
73,20,260321.78023201306,6255327.4597185375,19.0,1
75,21,260341.0190264699,6255311.1006917395,19.0,1
76,21,260339.7466376441,6255310.352586258,19.0,1
77,21,260339.23723106956,6255310.078730678,19.0,1
77,22,260331.38878880444,6255315.31917863,19.0,1
78,22,260329.63289427498,6255315.6479859995,19.0,1
79,22,260327.43825676077,6255316.522409482,19.0,1
80,23,260287.88251846805,6255322.9810996,19.0,1
81,23,260286.63425367238,6255322.88972471,19.0,1
82,23,260284.10784240346,6255321.730855078,19.0,1
82,24,260298.3297440926,6255332.2627817625,19.0,1
83,24,260297.76626347032,6255331.110447146,19.0,1
84,24,260297.6812143045,6255328.7889214195,19.0,1
85,24,260295.67775802079,6255331.9682063395,19.0,1
86,24,260293.61262486113,6255334.42950451,19.0,1
87,25,260296.984282691,6255309.411236532,19.0,1
88,25,260297.50093330856,6255308.887435839,19.0,1
89,25,260299.86061199228,6255306.9589816695,19.0,1
93,26,260330.92038624716,6255300.247251917,19.0,1
94,26,260331.70110273594,6255300.714678492,19.0,1
95,26,260330.96738710196,6255303.219953472,19.0,1
96,26,260329.50863501767,6255305.511975527,19.0,1
97,26,260328.92865027842,6255306.211625792,19.0,1
97,27,260333.20391705382,6255307.065973323,19.0,1
98,27,260331.7515718472,6255307.27690055,19.0,1
99,27,260330.11658791368,6255306.3912137775,19.0,1
99,28,260315.80307641596,6255325.825618753,19.0,1
100,28,260315.3918915478,6255325.565736573,19.0,1
101,28,260316.53506646422,6255325.52860231,19.0,1
102,28,260318.71362698666,6255326.952659016,19.0,1
102,29,260300.20497739728,6255331.294138737,19.0,1
103,29,260301.68872484713,6255333.5647297865,19.0,1
104,29,260302.14988336133,6255335.624643476,19.0,1
104,30,260298.90573094017,6255338.471815077,19.0,1
105,30,260299.06648377285,6255339.289672236,19.0,1
106,30,260299.74771426473,6255340.722435888,19.0,1
107,30,260299.5683729442,6255341.234492775,19.0,1
108,31,260303.0773429769,6255347.034568679,19.0,1
109,31,260301.48901819804,6255347.412830738,19.0,1
110,31,260300.9328157888,6255347.591794053,19.0,1
110,32,260307.94740719278,6255356.418677595,19.0,1
111,32,260307.71168534853,6255356.257877778,19.0,1
112,32,260306.0688764817,6255355.734153968,19.0,1
113,32,260304.79288271937,6255355.107542109,19.0,1
113,33,260306.39875380063,6255317.18206161,19.0,1
114,33,260306.55702930727,6255316.424807107,19.0,1
115,33,260307.02220279817,6255315.97344898,19.0,1
116,33,260305.6176785267,6255315.820837153,19.0,1
116,34,260346.2858899779,6255316.907225776,19.0,1
117,34,260346.0123590127,6255317.188711949,19.0,1
118,34,260345.9446852992,6255316.819195277,19.0,1
119,34,260348.05297518705,6255315.918439528,19.0,1
120,34,260348.20894421774,6255315.297305549,19.0,1
120,35,260354.24598276505,6255316.504764941,19.0,1
121,35,260353.7887196325,6255315.814455903,19.0,1
122,35,260353.71127329487,6255316.4374927245,19.0,1
123,35,260353.26643096254,6255318.610750488,19.0,1
124,35,260352.5857642759,6255318.667566679,19.0,1
124,36,260346.00060452777,6255322.2113901265,19.0,1
125,36,260344.85452516013,6255323.03545555,19.0,1
126,36,260344.4232995785,6255324.985062026,19.0,1
127,36,260343.6350998566,6255326.352302541,19.0,1
128,36,260343.39913882222,6255326.2869523885,19.0,1
128,37,260343.9763387053,6255326.412270917,19.0,1
129,37,260345.04451044012,6255326.1692644525,19.0,1
130,37,260345.5331929009,6255324.606396334,19.0,1
130,38,260358.5562396352,6255317.44346222,19.0,1
131,38,260358.65422215144,6255316.720362782,19.0,1
132,38,260357.86937109093,6255315.012551869,19.0,1
133,38,260356.80897303438,6255314.0421789875,19.0,1
134,38,260357.58007066412,6255314.64795568,19.0,1
134,39,260356.47974494574,6255315.090645302,19.0,1
135,39,260356.91037255208,6255315.333632546,19.0,1
136,39,260357.311477266,6255314.569554718,19.0,1
137,39,260357.23657659444,6255313.61450068,19.0,1
137,40,260370.73052029702,6255321.828284468,19.0,1
138,40,260370.95091688985,6255321.271328183,19.0,1
139,40,260370.86308286784,6255321.054788531,19.0,1
140,40,260370.12371209648,6255320.43788309,19.0,1
141,40,260370.1897969043,6255320.160625458,19.0,1
141,41,260372.98799646768,6255318.103633304,19.0,1
142,41,260373.49730053218,6255317.838427009,19.0,1
143,41,260374.2736603441,6255317.811056827,19.0,1
144,41,260374.5172754617,6255317.927341658,19.0,1
145,41,260375.55850414018,6255317.3810143825,19.0,1
145,42,260369.93176204065,6255316.7823685445,19.0,1
146,42,260370.15808713096,6255316.12769456,19.0,1
147,42,260369.64396509447,6255315.880786308,19.0,1
148,43,260389.3168554141,6255363.957432749,19.0,1
149,43,260389.20089947028,6255364.273170088,19.0,1
150,43,260388.4007060733,6255364.382151078,19.0,1
150,44,260389.2793025683,6255390.353185839,19.0,1
151,44,260388.19472922655,6255389.68621065,19.0,1
152,44,260387.80672871316,6255389.5294856075,19.0,1
153,44,260387.57466306043,6255388.985560912,19.0,1
154,44,260387.47809859976,6255388.856033065,19.0,1
154,45,260377.284380312,6255390.890633182,19.0,1
155,45,260377.02379978224,6255391.087913759,19.0,1
156,45,260376.25709299938,6255391.421468626,19.0,1
157,45,260376.0056529485,6255391.103751561,19.0,1
158,45,260375.736154045,6255391.377318832,19.0,1
159,46,260338.03014114124,6255384.414260081,19.0,1
160,46,260336.86801895185,6255383.602438201,19.0,1
161,46,260336.5250545174,6255383.645742287,19.0,1
162,46,260335.9622231254,6255384.129564064,19.0,1
163,46,260334.6469338465,6255385.200537739,19.0,1
164,47,260270.60498032713,6255315.078651627,19.0,1
165,47,260270.60870485872,6255315.81134216,19.0,1
166,47,260270.3455274079,6255316.170979426,19.0,1
166,48,260267.4680534111,6255302.782203553,19.0,1
167,48,260267.26012033105,6255303.054329277,19.0,1
168,48,260267.356163699,6255303.100602951,19.0,1
169,48,260266.94991639792,6255303.104725776,19.0,1
170,48,260265.85240970572,6255302.819789501,19.0,1
170,49,260264.0789517889,6255306.833720803,19.0,1
171,49,260263.05298002184,6255306.951254975,19.0,1
172,49,260262.7038137298,6255307.2648684345,19.0,1
173,49,260262.30035128488,6255307.394780694,19.0,1
173,50,260259.74788538,6255309.932807632,19.0,1
174,50,260259.91942739475,6255309.270214747,19.0,1
175,50,260259.06149521595,6255309.072030799,19.0,1
176,50,260258.05207882085,6255308.983750432,19.0,1
177,50,260257.04332019854,6255309.272540444,19.0,1
177,51,260254.60170182033,6255323.335970148,19.0,1
178,51,260255.32296248406,6255323.629988173,19.0,1
178,52,260254.6856917157,6255332.294111394,19.0,1
179,52,260254.80809724974,6255332.392290388,19.0,1
180,52,260254.2872180929,6255332.257745956,19.0,1
181,52,260253.51061909087,6255331.934051274,19.0,1
181,53,260220.62992476913,6255359.914103488,19.0,1
182,53,260220.76366620546,6255359.682610183,19.0,1
183,53,260221.3108477309,6255359.621680777,19.0,1
183,54,260209.90904004185,6255356.108898652,19.0,1
184,54,260210.14998135582,6255356.270275087,19.0,1
185,54,260210.1264467584,6255356.304910668,19.0,1
185,55,260188.854275899,6255366.862650662,19.0,1
186,55,260188.91647386772,6255366.778867922,19.0,1
187,55,260188.38827805652,6255366.495267481,19.0,1
187,56,260180.74355314593,6255361.45188868,19.0,1
188,56,260180.71864320544,6255360.492106367,19.0,1
189,56,260181.23138135637,6255359.145412709,19.0,1
189,57,260197.79530864552,6255372.0774582885,19.0,1
190,57,260197.47665617632,6255371.698715713,19.0,1
191,57,260196.30078909863,6255371.831991583,19.0,1
