world_index,id_fixation,x,y,zoom,etape
33,11,0.0,0.0,0,1
192,53,260310.96063865672,6255378.503281124,19.0,1
193,53,260310.74005412884,6255378.152639114,19.0,1
194,53,260309.0081469495,6255377.7875047475,19.0,1
195,53,260307.97315429864,6255377.514302668,19.0,1
196,53,260305.53015203483,6255376.974914041,19.0,1
196,54,260308.93257996265,6255365.937042633,19.0,1
197,54,260307.4805252012,6255365.629012767,19.0,1
198,54,260303.6147006232,6255362.943602015,19.0,1
199,54,260302.37950585803,6255362.446921635,19.0,1
200,54,260301.76162657284,6255361.801973292,19.0,1
201,55,260324.32678650547,6255355.784319821,19.0,1
202,55,260322.82838011946,6255354.922274427,19.0,1
203,55,260321.55378732772,6255354.201385361,19.0,1
204,55,260318.65071999017,6255353.438441551,19.0,1
205,55,260315.5602301237,6255352.856056369,19.0,1
206,56,260336.1025593745,6255341.583097397,19.0,1
207,56,260325.36579413302,6255344.454025701,19.0,1
208,56,260325.18841758833,6255340.532055518,19.0,1
208,57,260348.17412497307,6255341.719698437,19.0,1
209,57,260344.7875177619,6255341.67458761,19.0,1
210,57,260340.3647902894,6255339.124124923,19.0,1
211,57,260339.03682393517,6255337.16067959,19.0,1
212,57,260339.4134970888,6255333.760876346,19.0,1
213,58,260361.4822863074,6255333.90485811,19.0,1
214,58,260362.43932007044,6255333.439142169,19.0,1
215,58,260354.26299943222,6255336.725216927,19.0,1
216,58,260366.15869196673,6255331.747611133,19.0,1
217,58,260369.06165679422,6255331.35466451,19.0,1
218,58,260374.40461692426,6255332.163641737,19.0,1
218,59,260358.58273848135,6255335.879547512,19.0,1
219,59,260360.93599320235,6255337.193008695,19.0,1
219,60,260341.2101222754,6255335.897365039,19.0,1
220,60,260343.75020155008,6255336.85101597,19.0,1
221,60,260342.97920643038,6255338.37626931,19.0,1
222,60,260340.96346602653,6255340.998694048,19.0,1
223,60,260341.2046550731,6255345.031048327,19.0,1
224,60,260341.46392005726,6255344.496849271,19.0,1
224,61,260354.43952172657,6255335.1398991095,19.0,1
