world_index,id_fixation,x,y,zoom,etape,id_zoom
242,55,260323.1618350388,6255344.973896979,19.0,1,0
243,55,260323.62758941995,6255345.034576518,19.0,1,0
244,55,260323.13492615247,6255343.802610819,19.0,1,0
245,55,260322.7042472911,6255343.6858646935,19.0,1,0
246,55,260322.2553216421,6255344.220525045,19.0,1,0
247,56,260224.2599604341,6255352.213282899,19.008647456281032,1,0
248,56,260225.3373984889,6255351.665787954,19.008647456281032,1,0
249,56,260256.0247546956,6255343.956314778,19.742854173197312,1,0
250,56,260255.5804226752,6255344.771008984,19.742854173197312,1,0
251,57,260253.1499870619,6255347.764202635,19.990445472968663,1,0
252,57,260252.21558654783,6255347.863004973,19.990445472968663,1,0
253,57,260252.09842612548,6255347.61650493,20.0,1,0
254,57,260252.13212630217,6255347.211862552,20.0,1,0
254,58,260254.2542422321,6255346.972488787,20.0,1,0
255,58,260253.7017728969,6255346.839837587,20.0,1,0
256,58,260253.34842932064,6255346.928627303,20.0,1,0
257,59,260290.99030937863,6255348.867470224,20.0,1,0
258,59,260291.04466532904,6255348.649469804,20.0,1,0
259,59,260291.13781278825,6255348.796228948,20.0,1,0
260,59,260291.06850745657,6255349.244415671,20.0,1,0
261,59,260290.99499067065,6255349.706768,20.0,1,0
261,60,260296.11076291747,6255344.002439679,20.0,1,0
262,60,260295.7418207296,6255344.186063997,20.0,1,0
263,60,260295.6033894588,6255343.964680745,20.0,1,0
264,60,260295.58403214565,6255344.0109640295,20.0,1,0
265,60,260296.67717769928,6255342.3441422,20.27406516067585,1,0
265,61,260295.4487899816,6255337.1170948185,20.27406516067585,1,0
266,61,260295.3021303177,6255337.271874278,20.27406516067585,1,0
267,61,260296.8478311691,6255335.449565664,20.86263112008027,1,0
267,62,260294.11325981977,6255332.414783125,20.86263112008027,1,0
268,62,260294.09001911795,6255332.47441582,20.86263112008027,1,0
269,62,260294.8177222662,6255332.821590041,20.99962185571317,1,0
269,63,260287.69065256108,6255336.620130959,20.99962185571317,1,0
270,63,260287.5480707076,6255336.813180734,20.99962185571317,1,0
271,63,260287.25166412635,6255336.872426904,21.0,1,0
271,64,260277.42835733705,6255339.790623549,21.0,1,0
272,64,260277.155778861,6255339.800642304,21.0,1,0
273,64,260276.96582347972,6255339.869183081,21.0,1,0
274,65,260298.1239958984,6255336.40431031,21.7178567712185,1,0
275,65,260298.04671152667,6255336.303476408,21.7178567712185,1,0
275,66,260298.76487966743,6255333.914322961,21.7178567712185,1,0
276,66,260299.1312086946,6255333.465381878,21.964520946938467,1,0
277,66,260299.1256633068,6255333.229328792,22.0,1,0
278,66,260299.03537117937,6255333.142732631,22.0,1,0
279,66,260299.03310741595,6255333.118838982,22.0,1,0
297,72,260297.85402778743,6255338.71787219,22.0,1,1
298,72,260297.9488944255,6255338.792505909,22.0,1,1
299,72,260295.6905832186,6255341.867080467,21.441746192368697,1,1
300,72,260295.7281495539,6255341.866383527,21.441746192368697,1,1
