world_index,id_fixation,x,y,zoom,etape,id_zoom
280,44,260297.2666295199,6255365.448646347,19.0,1,0
281,44,260295.103616354,6255365.672451398,19.0,1,0
282,44,260294.5991815166,6255366.088770311,19.0,1,0
283,44,260296.93467389132,6255366.017925976,19.017277252772164,1,0
285,45,260305.3366407248,6255337.139297581,19.017277252772164,1,0
286,45,260311.1417561263,6255347.561192258,19.742854173197312,1,0
287,45,260309.67889331872,6255347.240335994,19.742854173197312,1,0
289,46,260305.7996734444,6255352.069966941,20.08129606896091,1,0
290,46,260307.29556104817,6255352.008660717,20.08129606896091,1,0
291,46,260308.88370724657,6255352.100779018,20.08129606896091,1,0
292,46,260313.5944108829,6255356.548564419,20.72009477107576,1,0
293,46,260313.04031944164,6255357.170301269,20.72009477107576,1,0
294,46,260312.3813349974,6255357.805293,20.72009477107576,1,0
294,47,260319.8333120772,6255353.260011646,20.72009477107576,1,0
295,47,260320.032778472,6255355.678688213,20.9919057633478,1,0
296,47,260320.71900147395,6255356.203208307,20.9919057633478,1,0
297,47,260321.67562113111,6255356.029548941,20.9919057633478,1,0
298,47,260322.11324174385,6255355.550383815,20.9919057633478,1,0
298,48,260315.22266285616,6255353.482910552,20.9919057633478,1,0
299,48,260315.0000126256,6255353.030818428,21.0,1,0
300,48,260314.5908010757,6255352.193188042,21.0,1,0
301,48,260314.44521545817,6255351.558753385,21.0,1,0
302,48,260314.56519919244,6255351.540931053,21.0,1,0
303,48,260314.77659625773,6255351.738514356,21.0,1,0
304,48,260314.939343765,6255351.732690505,21.0,1,0
328,54,260324.3954254097,6255340.962528879,21.0,1,1
329,54,260322.98090640895,6255340.946508481,21.0,1,1
330,54,260322.191959218,6255340.9851852,21.0,1,1
331,54,260323.0606293238,6255340.797529355,21.0,1,1
332,54,260325.23938205256,6255340.504083144,21.0,1,1
332,55,260321.663054379,6255339.059743864,21.0,1,1
333,55,260323.8131897207,6255339.286936553,21.0,1,1
334,55,260325.96840571472,6255331.842592231,20.601071791685484,1,1
338,56,260317.2563929479,6255366.888484562,20.070071794497384,1,1
339,56,260318.3844632094,6255366.78725192,20.070071794497384,1,1
340,56,260319.97407971288,6255367.173444218,20.000316689005125,1,1
341,56,260319.7811639936,6255367.977132318,20.000316689005125,1,1
342,56,260319.69031732692,6255368.480150789,20.000316689005125,1,1
342,57,260319.70704841844,6255363.969241633,20.000316689005125,1,1
343,57,260319.4344547825,6255364.122131799,20.0,1,1
344,57,260319.67586593417,6255364.043577071,20.0,1,1
345,57,260320.100513788,6255363.769298637,20.0,1,1
346,57,260320.91080442423,6255363.415004708,20.0,1,1
347,57,260321.82883311584,6255363.179936365,20.0,1,1
348,57,260322.5096877376,6255363.042518449,20.0,1,1
349,57,260322.9982078908,6255362.724484243,20.0,1,1
349,58,260317.3549958443,6255373.151841072,20.0,1,1
350,58,260317.65164282423,6255372.963305882,20.0,1,1
351,58,260317.90244218736,6255372.976250978,20.0,1,1
352,58,260318.01621125024,6255373.186822624,20.0,1,1
354,59,260311.58343268128,6255337.346050432,20.0,1,1
355,59,260311.67261641883,6255335.896161195,20.0,1,1
356,59,260312.0705176939,6255333.1406239625,20.0,1,1
357,59,260312.7346802636,6255329.553482013,20.0,1,1
357,60,260304.59082113905,6255336.565058447,20.0,1,1
358,60,260305.62374650405,6255333.046697534,20.0,1,1
359,60,260306.1749344637,6255330.922822381,20.0,1,1
367,61,260318.43099140076,6255353.984602734,19.049843160994648,1,1
368,61,260324.92445102704,6255351.65560918,19.049843160994648,1,1
369,61,260331.0863122481,6255350.599094178,19.049843160994648,1,1
370,61,260335.10252768235,6255350.109643844,19.00000036932997,1,1
733,123,260327.08152361837,6255283.039556693,20.16603215487551,1,2
734,123,260326.7223629249,6255283.787113849,20.16603215487551,1,2
735,123,260326.32799958024,6255284.608626268,20.16603215487551,1,2
736,123,260340.91144308672,6255297.328522416,20.829459483647263,1,2
737,124,260345.86460595188,6255292.760024287,20.829459483647263,1,2
738,124,260345.68623687312,6255293.251670149,20.829459483647263,1,2
739,124,260345.71445278515,6255293.857946308,20.829459483647263,1,2
740,124,260347.91213957517,6255296.797372208,20.99999197042158,1,2
741,125,260343.68551378316,6255296.557437307,20.99999197042158,1,2
742,125,260343.6659257133,6255296.584247837,20.99999197042158,1,2
743,125,260343.6045291385,6255296.351143288,21.0,1,2
752,126,260348.6937662336,6255304.322694242,21.0,1,2
753,126,260348.7931475848,6255304.4656164665,21.0,1,2
754,126,260348.74985417657,6255304.541732577,21.0,1,2
754,127,260345.3769106999,6255300.476244329,21.0,1,2
755,127,260345.4553693242,6255300.990136785,21.0,1,2
756,127,260345.47959800003,6255301.505600529,21.0,1,2
757,127,260345.548085387,6255302.027659352,21.0,1,2
759,128,260353.4277590453,6255302.534281605,21.0,1,2
760,128,260353.6985051543,6255302.846566438,21.0,1,2
761,128,260353.95161526464,6255303.224367202,21.0,1,2
765,129,260356.1692790973,6255295.636320735,21.0,1,2
766,129,260356.3606653479,6255295.88602559,21.0,1,2
767,129,260356.61568897904,6255296.137880753,21.0,1,2
771,131,260345.6762891041,6255287.097182557,20.434128410656847,1,2
772,131,260346.72530611453,6255286.443964946,20.434128410656847,1,2
773,131,260341.80180395508,6255273.936112695,20.02383289214845,1,2
786,132,260367.2142472796,6255293.53411874,20.0,1,2
787,132,260368.6266904519,6255292.897747604,20.0,1,2
788,132,260370.44179307373,6255291.476304905,20.0,1,2
