world_index,id_fixation,x,y,zoom,etape,id_zoom
418,112,260355.2158473685,6255347.24741797,19.0,1,0
419,112,260354.110498658,6255348.739746365,19.0,1,0
420,112,260354.2797085693,6255349.600446315,19.0,1,0
421,112,260353.7189957181,6255349.093290689,19.0,1,0
422,112,260356.79325482776,6255350.80256237,19.0,1,0
422,113,260351.0452775172,6255337.033900294,19.0,1,0
423,113,260345.30346741408,6255336.19163597,18.665160902924185,1,0
424,114,260349.3956061137,6255328.962968668,18.14809068469246,1,0
425,114,260345.0682857989,6255325.918790828,18.14809068469246,1,0
426,115,260328.3301434604,6255341.444713466,17.309126000102808,1,0
427,115,260329.21859474076,6255340.273191414,17.309126000102808,1,0
428,115,260323.28995817917,6255334.640573837,17.025484612758426,1,0
428,116,260245.87002457067,6255318.984832542,17.025484612758426,1,0
429,116,260246.6750071552,6255316.452476108,17.025484612758426,1,0
430,116,260242.32356763043,6255319.049899931,17.0,1,0
431,116,260243.36199436773,6255319.7666757805,17.0,1,0
432,116,260243.7498923711,6255319.47398398,17.0,1,0
432,117,260220.32320386564,6255331.9281854,17.0,1,0
433,117,260224.52461215493,6255329.706510861,17.0,1,0
434,117,260224.60060626693,6255329.496544666,17.0,1,0
435,117,260223.7437589861,6255329.173176735,17.0,1,0
435,118,260307.65725020377,6255354.783209564,17.0,1,0
436,118,260269.13707630892,6255363.442009311,16.25155036356271,1,0
437,118,260252.149852624,6255365.600228274,16.024745648595673,1,0
438,118,260252.55802512268,6255363.374693925,16.024745648595673,1,0
439,118,260253.91899871008,6255362.540370078,16.0,1,0
480,131,260322.6134388787,6255341.892797182,16.0,1,1
481,131,260389.9625372408,6255297.601077811,16.0,1,1
482,131,260384.35678980895,6255297.263519747,16.068665476627437,1,1
483,131,260388.33059390288,6255287.699627249,16.068665476627437,1,1
484,131,260366.75674971484,6255308.256027115,16.75724455120144,1,1
484,132,260401.15554152688,6255329.401484652,16.75724455120144,1,1
485,132,260400.4022183852,6255331.370012389,16.75724455120144,1,1
486,132,260390.5343535555,6255333.928036059,16.99365034667569,1,1
487,132,260395.79469282503,6255332.061897499,16.99365034667569,1,1
488,132,260396.28533776692,6255331.307716029,17.0,1,1
724,198,260551.45525482416,6255734.662806162,17.0,1,2
725,198,260486.3466159656,6255745.991139777,17.0,1,2
726,198,260552.8918989092,6255741.673493641,17.0,1,2
727,198,260557.12891240112,6255746.342674245,16.96605409386268,1,2
728,198,260557.8386586957,6255746.37439558,16.96605409386268,1,2
729,199,260661.4497213206,6255832.195111726,16.158006508833466,1,2
730,199,260654.3214971661,6255827.179237556,16.158006508833466,1,2
731,199,260696.0104906455,6255853.265593857,16.000427608925268,1,2
732,199,260695.4282695138,6255852.111467879,16.000427608925268,1,2
733,199,260693.2482953606,6255849.908301323,16.0,1,2
888,246,259593.07009726507,6246776.582504642,19.0,2,3
889,246,259592.4059859504,6246785.545835459,19.0,2,3
890,246,259588.63297567403,6246780.110336523,19.0,2,3
891,246,259586.25104376845,6246779.853452762,19.0,2,3
891,247,259573.12637541135,6246764.255428489,19.0,2,3
892,247,259572.0733068229,6246764.6420515245,19.0,2,3
893,247,259534.4085087736,6246687.497984099,18.9334132701188,2,3
894,247,259563.92896403623,6246768.704438122,18.9334132701188,2,3
895,247,259426.2208596587,6246638.748783907,18.14809068469246,2,3
895,248,259440.2685231796,6246627.65242247,18.14809068469246,2,3
896,248,259513.8040901264,6246792.394043179,18.14809068469246,2,3
897,248,259497.92433428083,6246800.84230458,18.001126388060122,2,3
897,249,259615.3460854749,6246783.200932537,18.001126388060122,2,3
898,249,259617.6637652927,6246783.338098893,18.0,2,3
899,249,259614.6512001441,6246782.142959927,18.0,2,3
900,249,259622.2659195108,6246789.75636802,18.0,2,3
901,249,259622.99685028856,6246792.511953304,18.0,2,3
902,249,259624.75161720757,6246788.259849527,18.0,2,3
921,254,259696.5533759747,6246797.997675754,18.0,2,4
922,254,259694.4661348157,6246796.707240889,18.0,2,4
923,254,259698.66446780373,6246801.043723245,18.0,2,4
924,254,259700.31535787892,6246796.713391492,18.0,2,4
925,254,259704.66892524232,6246794.100769277,18.0,2,4
925,255,259696.09331090096,6246787.2384266425,18.0,2,4
926,255,259693.22982952508,6246787.991644813,18.0,2,4
927,255,259716.73658954585,6246823.441545801,17.298005672555234,2,4
927,256,259714.90480391303,6246816.397044892,17.298005672555234,2,4
928,256,259402.00875849932,6246485.990660366,17.298005672555234,2,4
929,256,259335.7236450813,6246431.827328018,17.021231881920365,2,4
930,256,259722.2830743592,6246846.926298166,17.021231881920365,2,4
931,256,259734.19425184955,6246874.124532897,17.0,2,4
956,263,259794.2306299881,6247006.534694638,17.0,2,5
957,263,259787.38316412448,6247000.069950021,17.0,2,5
958,263,259808.1067311316,6247012.733195046,17.0,2,5
959,263,259156.49317000064,6246405.442178105,16.232834769001837,2,5
960,264,259685.54408441065,6246771.735269079,16.01524630368,2,5
961,264,259680.4968067897,6246780.981037763,16.01524630368,2,5
962,264,259692.1021681869,6246769.535357205,16.0,2,5
962,265,259829.3713167937,6246875.745346617,16.0,2,5
963,265,259819.00181086687,6246883.322120183,16.0,2,5
964,265,259806.1147949599,6246890.206950957,16.0,2,5
