id_pan,pourcentage,nbr_point_t
0,0.08823529411764706,34
1,0.4,20
2,0.40625,32
3,0.47368421052631576,19
4,0.07352941176470588,68
5,0.22727272727272727,22
6,0.37037037037037035,27
7,0.25,12
8,0.2037037037037037,54
9,0.1956521739130435,92
11,0.03125,64
12,0.7931034482758621,29
13,0.2608695652173913,46
14,0.06666666666666667,30
15,0.6,25
16,0.09523809523809523,21
17,0.039603960396039604,101
19,0.25,48
20,0.1506849315068493,73
21,0.0761904761904762,105
22,0.25,12
23,0.20408163265306123,49
25,0.896551724137931,29
26,1.0,14
27,0.10714285714285714,28
28,0.3333333333333333,33
29,0.5652173913043478,23
30,0.09523809523809523,63
32,0.06741573033707865,89
33,0.6363636363636364,22
34,0.04,100
35,0.375,16
36,0.13793103448275862,58
37,0.36363636363636365,11
38,0.022222222222222223,45
39,0.4,15
40,0.1076923076923077,65
41,0.09302325581395349,43
43,0.4642857142857143,28
44,0.675,40
45,0.6,15
46,0.20689655172413793,29
47,0.8666666666666667,15
